"SiteID","Primary_Panel","Electrical_Panel_Label","Electrical_Panel_Type","Electrical_Panel_Brand","Electrical_Panel_Brand_Other","Electrical_Panel_Vintage","Electrical_Panel_Capacity"
"SITE_254","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2007","200"
"SITE_255","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_256","Primary",NA,"Breaker Panel","Federal Pacific/FPE/Noark",NA,"1973","200"
"SITE_259","Primary",NA,"Breaker Panel","General Electric",NA,"2017","200"
"SITE_26","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_260","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","Unknown"
"SITE_261","Primary",NA,"Breaker Panel","Square D",NA,"2012","200"
"SITE_262","Primary",NA,"Breaker Panel","Sylvania (non-Challenger)",NA,"1983","200"
"SITE_262","Secondary",NA,"Breaker Panel","Siemens",NA,"Unknown","125"
"SITE_262","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","Unknown"
"SITE_263","Primary",NA,"Breaker Panel","Square D",NA,"2007","200"
"SITE_264","Primary",NA,"Unknown","Square D",NA,"Unknown","200"
"SITE_265","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","200"
"SITE_266","Primary",NA,"Breaker Panel","Federal Pacific/FPE/Noark",NA,"1977","125"
"SITE_267","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","200"
"SITE_268","Secondary",NA,"Breaker Panel","Square D",NA,"Unknown","100"
"SITE_268","Primary",NA,"Breaker Panel","Westinghouse",NA,"Unknown","200"
"SITE_269","Primary",NA,"Breaker Panel","General Electric",NA,"1979","125"
"SITE_27","Primary",NA,"Breaker Panel","Bryant",NA,"Unknown","200"
"SITE_270","Primary",NA,"Breaker Panel","Homeline",NA,"2004","200"
"SITE_271","Primary",NA,"Breaker Panel","Challenger/Zinsco/Magnetrip",NA,"Unknown","150"
"SITE_272","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_272","Secondary",NA,"Breaker Panel","Square D",NA,"Unknown","Unknown"
"SITE_273","Primary",NA,"Breaker Panel","Siemens",NA,"1999","125"
"SITE_274","Secondary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2007","125"
"SITE_274","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"1978","200"
"SITE_274","Primary",NA,"Fuse Panel","Unknown",NA,"Unknown","Unknown"
"SITE_275","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","125"
"SITE_276","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_277","Primary",NA,"Breaker Panel","Challenger/Zinsco/Magnetrip",NA,"Unknown","100"
"SITE_278","Primary",NA,"Breaker Panel","Federal Pacific/FPE/Noark",NA,"1973","200"
"SITE_279","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","Unknown"
"SITE_28","Primary",NA,"Breaker Panel","Siemens",NA,"2004","200"
"SITE_280","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_281","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_282","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","200"
"SITE_283","Primary",NA,"Breaker Panel","Challenger/Zinsco/Magnetrip",NA,"Unknown","200"
"SITE_284","Primary",NA,"Breaker Panel","Sylvania (non-Challenger)",NA,"1976","200"
"SITE_285","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_286","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","100"
"SITE_287","Primary",NA,"Breaker Panel","Murray",NA,"Unknown","125"
"SITE_288","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","200"
"SITE_289","Primary",NA,"Breaker Panel","Underwriters Laboratories Inc",NA,"Unknown","200"
"SITE_29","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_29","Secondary",NA,"Breaker Panel","Siemens",NA,"2000","125"
"SITE_290","Primary",NA,"Breaker Panel","American Switch",NA,"Unknown","200"
"SITE_291","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_292","Primary",NA,"Breaker Panel","Bryant",NA,"1973","200"
"SITE_294","Primary",NA,"Breaker Panel","Pushmatic",NA,"Unknown","125"
"SITE_295","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_296","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","200"
"SITE_297","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","225"
"SITE_298","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","100"
"SITE_298","Primary",NA,"Breaker Panel","Challenger/Zinsco/Magnetrip",NA,"Unknown","225"
"SITE_299","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2019","200"
"SITE_3","Primary",NA,"Breaker Panel","Westinghouse",NA,"1989","200"
"SITE_30","Primary",NA,"Breaker Panel","Siemens",NA,"2016","200"
"SITE_300","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","200"
"SITE_301","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2009","200"
"SITE_301","Secondary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2009","200"
"SITE_302","Primary",NA,"Breaker Panel","Square D",NA,"2019","200"
"SITE_303","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_304","Primary",NA,"Breaker Panel","Sylvania (non-Challenger)",NA,"Unknown","200"
"SITE_305","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","125"
"SITE_306","Primary",NA,"Unknown","Unknown",NA,"Unknown","Unknown"
"SITE_307","Primary",NA,"Breaker Panel","Westinghouse",NA,"Unknown","200"
"SITE_308","Primary",NA,"Breaker Panel","Square D",NA,"1992","200"
"SITE_309","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","125"
"SITE_31","Primary",NA,"Breaker Panel","Gould",NA,"Unknown","200"
"SITE_310","Primary",NA,"Breaker Panel","I-T-E/Imperial/Siemens",NA,"Unknown","200"
"SITE_311","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_312","Primary",NA,"Breaker Panel","Square D",NA,"2019","200"
"SITE_313","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_314","Primary",NA,"Breaker Panel","Square D",NA,"2013","200"
"SITE_315","Primary",NA,"Breaker Panel","Siemens",NA,"2016","200"
"SITE_316","Primary",NA,"Breaker Panel","Siemens",NA,"2009","200"
"SITE_317","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_319","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","125"
"SITE_319","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","225"
"SITE_32","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"1992","200"
"SITE_320","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_321","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","200"
"SITE_322","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_323","Primary",NA,"Breaker Panel","Siemens",NA,"1989","200"
"SITE_324","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_325","Primary",NA,"Breaker Panel","I-T-E/Imperial/Siemens",NA,"Unknown","200"
"SITE_326","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","225"
"SITE_327","Primary",NA,"Breaker Panel","Unknown",NA,"1983","200"
"SITE_328","Primary",NA,"Breaker Panel","Underwriters Laboratories Inc",NA,"Unknown","200"
"SITE_329","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2000","200"
"SITE_33","Primary",NA,"Breaker Panel","Underwriters Laboratories Inc",NA,"Unknown","Unknown"
"SITE_330","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","Unknown"
"SITE_331","Primary",NA,"Breaker Panel","Unknown",NA,"2009","200"
"SITE_332","Primary",NA,"Breaker Panel","Westinghouse",NA,"Unknown","200"
"SITE_333","Primary",NA,"Breaker Panel","Arrow-Hart/Murray",NA,"Unknown","200"
"SITE_334","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_335","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_335","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_335","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","200"
"SITE_336","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"1972","Unknown"
"SITE_337","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2018","200"
"SITE_338","Primary",NA,"Breaker Panel","Square D",NA,"2001","200"
"SITE_339","Primary",NA,"Breaker Panel","Westinghouse",NA,"Unknown","200"
"SITE_34","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_340","Primary",NA,"Breaker Panel","Square D",NA,"2003","200"
"SITE_341","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","Unknown"
"SITE_342","Primary",NA,"Breaker Panel","Siemens",NA,"2019","200"
"SITE_343","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2002","200"
"SITE_344","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2009","100"
"SITE_344","Primary",NA,"Breaker Panel","Square D",NA,"2016","Unknown"
"SITE_345","Primary",NA,"Breaker Panel","Westinghouse",NA,"Unknown","200"
"SITE_346","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_347","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","200"
"SITE_348","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_348","Secondary",NA,"Breaker Panel","Square D",NA,"Unknown","100"
"SITE_349","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2017","200"
"SITE_35","Primary",NA,"Breaker Panel","Underwriters Laboratories Inc",NA,"1982","200"
"SITE_351","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_352","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2017","200"
"SITE_353","Primary",NA,"Breaker Panel","General Electric",NA,"1972","200"
"SITE_354","Primary",NA,"Breaker Panel","Siemens",NA,"2021","200"
"SITE_355","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_356","Primary",NA,"Breaker Panel","Siemens",NA,"2006","200"
"SITE_357","Primary",NA,"Breaker Panel","Underwriters Laboratories Inc",NA,"Unknown","200"
"SITE_358","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_358","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_359","Primary",NA,"Breaker Panel","Square D",NA,"1999","200"
"SITE_36","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_360","Primary",NA,"Breaker Panel","Siemens",NA,"1993","200"
"SITE_364","Primary",NA,"Breaker Panel","Square D",NA,"2018","200"
"SITE_365","Primary",NA,"Breaker Panel","Square D",NA,"2000","400"
"SITE_366","Primary",NA,"Breaker Panel","I-T-E/Imperial/Siemens",NA,"Unknown","200"
"SITE_367","Primary",NA,"Unknown","Murray",NA,"Unknown","200"
"SITE_368","Primary",NA,"Breaker Panel","Siemens",NA,"2018","200"
"SITE_368","Secondary",NA,"Breaker Panel","Square D",NA,"2018","100"
"SITE_369","Primary",NA,"Breaker Panel","Westinghouse",NA,"1992","200"
"SITE_37","Primary",NA,"Breaker Panel","Westinghouse",NA,"1992","200"
"SITE_370","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_371","Primary",NA,"Breaker Panel","Siemens",NA,"2016","200"
"SITE_372","Primary",NA,"Breaker Panel","Arrow-Hart/Murray",NA,"Unknown","Unknown"
"SITE_373","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2015","200"
"SITE_374","Primary",NA,"Breaker Panel","Murray",NA,"Unknown","200"
"SITE_375","Unknown","MAIN 1","Breaker Panel","Eaton/Cutler Hammer",NA,"2007","200"
"SITE_375","Unknown","MAIN 2","Breaker Panel","Eaton/Cutler Hammer",NA,"2007","200"
"SITE_376","Secondary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2001","125"
"SITE_376","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_377","Primary",NA,"Breaker Panel","Challenger/Zinsco/Magnetrip",NA,"Unknown","200"
"SITE_378","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_379","Primary",NA,"Breaker Panel","Siemens",NA,"2019","200"
"SITE_38","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_380","Unknown","Unknown","Breaker Panel","Murray",NA,"Unknown","200"
"SITE_380","Unknown","Unknown","Breaker Panel","Square D",NA,"Unknown","200"
"SITE_381","Primary",NA,"Breaker Panel","Murray",NA,"Unknown","200"
"SITE_382","Secondary",NA,"Breaker Panel","I-T-E/Imperial/Siemens",NA,"Unknown","125"
"SITE_382","Primary",NA,"Breaker Panel","I-T-E/Imperial/Siemens",NA,"Unknown","200"
"SITE_383","Primary",NA,"Breaker Panel","Siemens",NA,"2002","200"
"SITE_384","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","200"
"SITE_385","Primary",NA,"Breaker Panel","Grouse-Hinds",NA,"Unknown","200"
"SITE_386","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_387","Primary",NA,"Breaker Panel","Square D",NA,"2019","200"
"SITE_389","Primary",NA,"Breaker Panel","Murray",NA,"Unknown","200"
"SITE_39","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_391","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_392","Primary",NA,"Breaker Panel","Siemens",NA,"2006","200"
"SITE_392","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_393","Secondary",NA,"Breaker Panel","Siemens",NA,"2020","125"
"SITE_393","Primary",NA,"Breaker Panel","Siemens",NA,"2020","200"
"SITE_394","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2003","200"
"SITE_395","Primary",NA,"Breaker Panel","Gould",NA,"Unknown","200"
"SITE_397","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"1992","200"
"SITE_398","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","Unknown"
"SITE_4","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"1991","200"
"SITE_4","Secondary",NA,"Breaker Panel","Federal Pacific/FPE/Noark",NA,"1990","100"
"SITE_4","Primary",NA,"Breaker Panel","General Electric",NA,"2002","Unknown"
"SITE_40","Primary",NA,"Breaker Panel","Challenger/Zinsco/Magnetrip",NA,"Unknown","Unknown"
"SITE_400","Primary",NA,"Breaker Panel","Gould",NA,"Unknown","70"
"SITE_401","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_402","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","Unknown"
"SITE_403","Primary",NA,"Breaker Panel","Underwriters Laboratories Inc",NA,"1993","200"
"SITE_404","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","Unknown"
"SITE_405","Primary",NA,"Breaker Panel","Siemens",NA,"2006","200"
"SITE_407","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_408","Primary",NA,"Breaker Panel","Unknown",NA,"1979","150"
"SITE_409","Primary",NA,"Breaker Panel","Square D",NA,"1972","125"
"SITE_41","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_41","Secondary",NA,"Breaker Panel","Unknown",NA,"Unknown","100"
"SITE_410","Primary",NA,"Breaker Panel","Unknown",NA,"1999","200"
"SITE_411","Primary",NA,"Breaker Panel","Square D",NA,"1979","200"
"SITE_412","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_413","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_414","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_415","Primary",NA,"Breaker Panel","Siemens",NA,"1992","200"
"SITE_416","Unknown","MAIN 1","Breaker Panel","Eaton/Cutler Hammer",NA,"2017","200"
"SITE_416","Unknown","MAIN 2","Breaker Panel","Eaton/Cutler Hammer",NA,"2017","200"
"SITE_417","Primary",NA,"Breaker Panel","Square D",NA,"1995","200"
"SITE_418","Primary",NA,"Breaker Panel","Square D",NA,"2004","200"
"SITE_419","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_42","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_420","Primary",NA,"Breaker Panel","Homeline",NA,"2012","200"
"SITE_421","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_422","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_423","Primary",NA,"Breaker Panel","Murray",NA,"Unknown","200"
"SITE_424","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2015","200"
"SITE_425","Primary",NA,"Breaker Panel","General Electric",NA,"1980","200"
"SITE_426","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2016","200"
"SITE_427","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","125"
"SITE_428","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_429","Primary",NA,"Breaker Panel","Square D",NA,"1975","200"
"SITE_429","Secondary",NA,"Breaker Panel","Square D",NA,"2014","200"
"SITE_43","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_430","Primary",NA,"Breaker Panel","Bryant",NA,"Unknown","225"
"SITE_431","Primary",NA,"Breaker Panel","Square D",NA,"2014","200"
"SITE_432","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_432","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2015","Unknown"
"SITE_433","Primary",NA,"Breaker Panel","Arrow-Hart/Murray",NA,"2007","200"
"SITE_434","Primary",NA,"Breaker Panel","Crouse-Hinds",NA,"1983","200"
"SITE_435","Primary",NA,"Breaker Panel","Siemens",NA,"2006","200"
"SITE_436","Primary",NA,"Breaker Panel","Square D",NA,"2006","200"
"SITE_437","Primary",NA,"Breaker Panel","Siemens",NA,"2000","200"
"SITE_438","Primary",NA,"Breaker Panel","Unknown",NA,"2006","200"
"SITE_439","Primary",NA,"Breaker Panel","Other","Leviton","Unknown","200"
"SITE_44","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_440","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_441","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_442","Primary",NA,"Breaker Panel","Square D",NA,"2013","200"
"SITE_443","Primary",NA,"Breaker Panel","Siemens",NA,"2013","200"
"SITE_444","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","200"
"SITE_444","Secondary",NA,"Breaker Panel","Unknown",NA,"Unknown","Unknown"
"SITE_445","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","100"
"SITE_446","Primary",NA,"Breaker Panel","Square D",NA,"2007","200"
"SITE_446","Secondary",NA,"Breaker Panel","Siemens",NA,"2007","125"
"SITE_446","Secondary",NA,"Breaker Panel","Siemens",NA,"2007","125"
"SITE_447","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","200"
"SITE_448","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_45","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2000","200"
"SITE_450","Primary",NA,"Breaker Panel","Challenger/Zinsco/Magnetrip",NA,"1997","200"
"SITE_451","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","125"
"SITE_452","Primary",NA,"Breaker Panel","Square D",NA,"2019","200"
"SITE_453","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","Unknown"
"SITE_453","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","Unknown"
"SITE_454","Primary",NA,"Breaker Panel","Square D",NA,"2005","200"
"SITE_455","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","Unknown"
"SITE_456","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_456","Secondary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_457","Primary",NA,"Breaker Panel","Square D",NA,"1990","200"
"SITE_458","Primary",NA,"Breaker Panel","Square D",NA,"2018","200"
"SITE_459","Unknown","Panel 1","Breaker Panel","Eaton/Cutler Hammer",NA,"2021","200"
"SITE_459","Unknown","Panel 2","Breaker Panel","Eaton/Cutler Hammer",NA,"2021","200"
"SITE_46","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","200"
"SITE_460","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"1987","200"
"SITE_461","Primary",NA,"Breaker Panel","General Electric",NA,"2020","200"
"SITE_462","Primary",NA,"Breaker Panel","Siemens",NA,"2002","200"
"SITE_463","Primary",NA,"Breaker Panel","Siemens",NA,"2007","200"
"SITE_464","Primary",NA,"Breaker Panel","Unknown",NA,"1996","400"
"SITE_465","Primary",NA,"Breaker Panel","Square D",NA,"2011","200"
"SITE_466","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_467","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_468","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_470","Primary",NA,"Breaker Panel","Siemens",NA,"1993","200"
"SITE_471","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","Unknown"
"SITE_472","Primary",NA,"Breaker Panel","Bryant",NA,"Unknown","Unknown"
"SITE_473","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","200"
"SITE_474","Primary",NA,"Breaker Panel","Gould",NA,"Unknown","200"
"SITE_475","Primary",NA,"Breaker Panel","Square D",NA,"2003","200"
"SITE_475","Secondary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_476","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_477","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_477","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_478","Primary",NA,"Breaker Panel","Challenger/Zinsco/Magnetrip",NA,"1988","200"
"SITE_478","Primary",NA,"Breaker Panel","Unknown",NA,"2017","Unknown"
"SITE_479","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","100"
"SITE_48","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_480","Primary",NA,"Breaker Panel","Challenger/Zinsco/Magnetrip",NA,"1997","200"
"SITE_481","Primary",NA,"Breaker Panel","Westinghouse",NA,"Unknown","200"
"SITE_481","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_481","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","Unknown"
"SITE_482","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","Unknown"
"SITE_483","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2007","200"
"SITE_484","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","Unknown"
"SITE_485","Primary",NA,"Breaker Panel","Siemens",NA,"2010","200"
"SITE_486","Primary",NA,"Breaker Panel","I-T-E/Imperial/Siemens",NA,"2012","200"
"SITE_487","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_488","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","200"
"SITE_489","Secondary",NA,"Breaker Panel","Square D",NA,"2001","200"
"SITE_489","Secondary",NA,"Breaker Panel","Square D",NA,"2000","200"
"SITE_489","Primary",NA,"Breaker Panel","Siemens",NA,"2000","100"
"SITE_49","Secondary",NA,"Breaker Panel","Arrow-Hart/Murray",NA,"Unknown","100"
"SITE_49","Primary",NA,"Breaker Panel","Arrow-Hart/Murray",NA,"Unknown","200"
"SITE_49","Primary",NA,"Breaker Panel","General Electric",NA,"1983","Unknown"
"SITE_490","Primary",NA,"Breaker Panel","Siemens",NA,"2009","125"
"SITE_490","Secondary",NA,"Breaker Panel","Siemens",NA,"2009","200"
"SITE_490","Secondary",NA,"Breaker Panel","Siemens",NA,"2009","200"
"SITE_491","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","200"
"SITE_492","Primary",NA,"Breaker Panel","Homeline",NA,"2017","125"
"SITE_493","Primary",NA,"Breaker Panel","General Electric",NA,"2016","200"
"SITE_494","Primary",NA,"Breaker Panel","Gould",NA,"Unknown","200"
"SITE_494","Primary",NA,"Breaker Panel","Cooper Industries",NA,"1991","200"
"SITE_497","Primary",NA,"Breaker Panel","Square D",NA,"2005","200"
"SITE_498","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_499","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","225"
"SITE_5","Unknown","left","Breaker Panel","General Electric",NA,"Unknown","200"
"SITE_5","Unknown","right","Breaker Panel","General Electric",NA,"Unknown","200"
"SITE_50","Primary",NA,"Breaker Panel","Underwriters Laboratories Inc",NA,"Unknown","200"
"SITE_500","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_500","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","Unknown"
"SITE_501","Primary",NA,"Breaker Panel","Siemens",NA,"1990","200"
"SITE_502","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","200"
"SITE_502","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_504","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","200"
"SITE_505","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2017","200"
"SITE_507","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_508","Primary",NA,"Breaker Panel","Siemens",NA,"2011","200"
"SITE_509","Primary",NA,"Breaker Panel","Square D",NA,"2003","200"
"SITE_51","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_510","Primary",NA,"Breaker Panel","Challenger/Zinsco/Magnetrip",NA,"1997","200"
"SITE_511","Primary",NA,"Breaker Panel","Square D",NA,"2007","200"
"SITE_511","Primary",NA,"Breaker Panel","Square D",NA,"2015","125"
"SITE_512","Primary",NA,"Breaker Panel","Arrow-Hart/Murray",NA,"Unknown","200"
"SITE_513","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","125"
"SITE_514","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","200"
"SITE_515","Primary",NA,"Breaker Panel","Square D",NA,"1992","200"
"SITE_516","Secondary",NA,"Breaker Panel","Square D",NA,"2019","200"
"SITE_516","Secondary",NA,"Breaker Panel","Square D",NA,"2019","200"
"SITE_516","Primary",NA,"Breaker Panel","Square D",NA,"2019","400"
"SITE_517","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_518","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","125"
"SITE_519","Primary",NA,"Breaker Panel","Arrow-Hart/Murray",NA,"Unknown","200"
"SITE_52","Primary",NA,"Breaker Panel","Siemens",NA,"1992","200"
