"SiteID","Primary_Panel","Electrical_Panel_Label","Electrical_Panel_Type","Electrical_Panel_Brand","Electrical_Panel_Brand_Other","Electrical_Panel_Vintage","Electrical_Panel_Capacity"
"SITE_1106","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1107","Primary",NA,"Breaker Panel","Square D",NA,"2001","200"
"SITE_1108","Primary",NA,"Breaker Panel","Square D",NA,"2000","200"
"SITE_1109","Primary",NA,"Breaker Panel","Westinghouse",NA,"1993","200"
"SITE_111","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_1110","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_1111","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1112","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1113","Secondary",NA,"Breaker Panel","Square D",NA,"Unknown","100"
"SITE_1113","Primary",NA,"Breaker Panel","Square D",NA,"1999","200"
"SITE_1114","Primary",NA,"Breaker Panel","Homeline",NA,"Unknown","100"
"SITE_1115","Unknown","PANEL 1","Breaker Panel","Square D",NA,"2015","200"
"SITE_1115","Unknown","PANEL 2","Breaker Panel","Square D",NA,"2015","200"
"SITE_1116","Primary",NA,"Unknown","Westinghouse",NA,"Unknown","Unknown"
"SITE_1117","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","200"
"SITE_1118","Primary",NA,"Breaker Panel","Underwriters Laboratories Inc",NA,"1997","200"
"SITE_1119","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_112","Primary",NA,"Breaker Panel","Square D",NA,"2005","125"
"SITE_112","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","Unknown"
"SITE_1120","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2003","225"
"SITE_1121","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","Unknown"
"SITE_1121","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","Unknown"
"SITE_1122","Primary",NA,"Breaker Panel","Square D",NA,"2019","100"
"SITE_1122","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","100"
"SITE_1123","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1124","Primary",NA,"Breaker Panel","Challenger/Zinsco/Magnetrip",NA,"1990","200"
"SITE_1125","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1126","Secondary",NA,"Breaker Panel","Square D",NA,"Unknown","100"
"SITE_1126","Secondary",NA,"Breaker Panel","Square D",NA,"Unknown","Unknown"
"SITE_1127","Primary",NA,"Breaker Panel","I-T-E/Imperial/Siemens",NA,"Unknown","200"
"SITE_1128","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1129","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_113","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","Unknown"
"SITE_1130","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","200"
"SITE_1130","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","200"
"SITE_1131","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","250"
"SITE_1131","Secondary",NA,"Breaker Panel","General Electric",NA,"Unknown","250"
"SITE_1132","Primary",NA,"Breaker Panel","Westinghouse",NA,"Unknown","Unknown"
"SITE_1133","Primary",NA,"Breaker Panel","Square D",NA,"1994","200"
"SITE_1134","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1135","Primary",NA,"Breaker Panel","General Electric",NA,"1994","Unknown"
"SITE_1136","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","125"
"SITE_1137","Primary",NA,"Breaker Panel","Square D",NA,"2020","200"
"SITE_1138","Primary",NA,"Breaker Panel","Siemens",NA,"1993","200"
"SITE_1139","Primary",NA,"Breaker Panel","General Electric",NA,"1998","200"
"SITE_114","Primary",NA,"Breaker Panel","Color panel",NA,"Unknown","125"
"SITE_1140","Primary",NA,"Breaker Panel","Homeline",NA,"Unknown","Unknown"
"SITE_1140","Primary",NA,"Breaker Panel","Challenger/Zinsco/Magnetrip",NA,"Unknown","200"
"SITE_1141","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","150"
"SITE_1142","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_1143","Primary",NA,"Breaker Panel","I-T-E/Imperial/Siemens",NA,"Unknown","200"
"SITE_1144","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_1145","Primary",NA,"Breaker Panel","Underwriters Laboratories Inc",NA,"Unknown","100"
"SITE_1146","Primary",NA,"Breaker Panel","Square D",NA,"1980","200"
"SITE_1146","Secondary",NA,"Breaker Panel","Square D",NA,"1980","100"
"SITE_1147","Primary",NA,"Breaker Panel","Crouse-Hinds",NA,"Unknown","200"
"SITE_1148","Primary",NA,"Breaker Panel","Unknown",NA,"1977","150"
"SITE_1149","Primary",NA,"Breaker Panel","Unknown",NA,"1992","200"
"SITE_115","Primary",NA,"Breaker Panel","Westinghouse",NA,"Unknown","200"
"SITE_1150","Primary",NA,"Breaker Panel","Homeline",NA,"Unknown","125"
"SITE_1150","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1151","Primary",NA,"Breaker Panel","Bryant",NA,"Unknown","200"
"SITE_1152","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","70"
"SITE_1153","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1154","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2010","200"
"SITE_1154","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2010","200"
"SITE_1155","Secondary",NA,"Breaker Panel","General Electric",NA,"Unknown","125"
"SITE_1155","Secondary",NA,"Breaker Panel","Bryant",NA,"Unknown","225"
"SITE_1156","Primary",NA,"Breaker Panel","Square D",NA,"2016","200"
"SITE_1157","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_1158","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_1158","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","Unknown"
"SITE_1159","Primary",NA,"Breaker Panel","Square D",NA,"1972","200"
"SITE_116","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"1995","200"
"SITE_1160","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1161","Primary",NA,"Breaker Panel","Square D",NA,"2020","200"
"SITE_1161","Primary",NA,"Breaker Panel","Square D",NA,"2020","200"
"SITE_1162","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1163","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1164","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_1165","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1165","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1166","Primary",NA,"Breaker Panel","Federal Pacific/FPE/Noark",NA,"Unknown","125"
"SITE_1167","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","Unknown"
"SITE_1168","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","200"
"SITE_1169","Primary",NA,"Breaker Panel","Siemens",NA,"2017","200"
"SITE_117","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_1170","Primary",NA,"Breaker Panel","Square D",NA,"2015","200"
"SITE_1171","Primary",NA,"Breaker Panel","Square D",NA,"2010","Unknown"
"SITE_1172","Primary",NA,"Breaker Panel","Square D",NA,"2020","200"
"SITE_1173","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1174","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","400"
"SITE_1174","Secondary",NA,"Breaker Panel","Unknown",NA,"Unknown","200"
"SITE_1174","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","Unknown"
"SITE_1175","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2006","200"
"SITE_1175","Secondary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","Unknown"
"SITE_1176","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","150"
"SITE_1177","Unknown","MAIN1","Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_1177","Unknown","MAIN2","Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_1178","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_1179","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","125"
"SITE_1179","Secondary",NA,"Breaker Panel","Unknown",NA,"Unknown","100"
"SITE_1179","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","400"
"SITE_1179","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","Unknown"
"SITE_118","Primary",NA,"Unknown","Siemens",NA,"Unknown","Unknown"
"SITE_1180","Primary",NA,"Breaker Panel","Underwriters Laboratories Inc",NA,"Unknown","Unknown"
"SITE_1181","Primary",NA,"Breaker Panel","Square D",NA,"2017","200"
"SITE_1181","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1182","Primary",NA,"Breaker Panel","Other","Electri-Center","Unknown","200"
"SITE_1183","Primary",NA,"Breaker Panel","Pushmatic",NA,"Unknown","100"
"SITE_1184","Primary",NA,"Breaker Panel","Square D",NA,"1991","100"
"SITE_1184","Secondary",NA,"Fuse Panel","Federal Pacific/FPE/Noark",NA,"Unknown","Unknown"
"SITE_1185","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","100"
"SITE_1186","Unknown","Federal pacific","Breaker Panel","Federal Pacific/FPE/Noark",NA,"Unknown","70"
"SITE_1186","Unknown","General Electric","Breaker Panel","General Electric",NA,"Unknown","Unknown"
"SITE_1187","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_1188","Primary",NA,"Breaker Panel","Sylvania (non-Challenger)",NA,"1999","200"
"SITE_1189","Primary",NA,"Breaker Panel","Homeline",NA,"Unknown","100"
"SITE_119","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1190","Primary",NA,"Breaker Panel","Arrow-Hart/Murray",NA,"Unknown","200"
"SITE_1191","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","200"
