"SiteID","Meter_ID","Meter_Type","Smart_Meter","Meter_Serves"
"SITE_1209","MTR_2","Gas","No","Whole house"
"SITE_121","MTR_1","Gas","No","Whole house"
"SITE_121","MTR_2","Electric","No","Whole house"
"SITE_1210","MTR_1","Electric","Yes","House and garage (garage has an apartment unit upstairs that is rented out)"
"SITE_1211","MTR_1","Electric","Yes","House"
"SITE_1212","MTR_1","Gas","No","House"
"SITE_1212","MTR_2","Electric","Yes","House"
"SITE_1213","MTR_1","Electric","Yes","House,  shop"
"SITE_1214","MTR_1","Electric","Yes","Residence"
"SITE_1215","MTR_1","Electric","No","House"
"SITE_1215","MTR_2","Gas","No","Unknown"
"SITE_1216","MTR_1","Electric","Yes","House"
"SITE_1216","MTR_2","Gas","No","House"
"SITE_1217","MTR_1","Electric","No","House and outbuilding"
"SITE_1217","MTR_2","Gas","No","House"
"SITE_1218","MTR_1","Electric","Yes","Whole property"
"SITE_1219","MTR_1","Gas","No","Whole house"
"SITE_1219","MTR_2","Electric","Yes","Whole house"
"SITE_122","MTR_1","Electric","Yes","Whole house"
"SITE_1220","MTR_1","Electric","Yes","Unknown"
"SITE_1221","MTR_1","Electric","Yes","House"
"SITE_1222","MTR_1","Electric","Yes","Home"
"SITE_1223","MTR_1","Electric","Yes","House"
"SITE_1223","MTR_2","Gas","No","House"
"SITE_1224","MTR_1","Electric","Yes","House"
"SITE_1225","MTR_1","Electric","Yes","Either upstairs or rest of housr"
"SITE_1225","MTR_2","Electric","Yes","Either upstairs or rest of house"
"SITE_1225","MTR_3","Gas","Yes","Equipment either for upstsirs or rest of housr"
"SITE_1225","MTR_4","Gas","Yes","Equipment either for basement or redt of housr"
"SITE_1226","MTR_1","Gas","No","House"
"SITE_1226","MTR_2","Electric","Yes","House"
"SITE_1227","MTR_1","Electric","Yes","House,  detached garage,  tin shed,  pump house"
"SITE_1228","MTR_1","Electric","Yes","The whole house"
"SITE_1228","MTR_2","Gas","No","The whole house"
"SITE_1229","MTR_1","Electric","Yes","House"
"SITE_1229","MTR_2","Gas","No","House"
"SITE_123","MTR_1","Electric","Yes","Whole house"
"SITE_123","MTR_2","Gas","No","Whole house"
"SITE_1230","MTR_1","Electric","Yes","Whole house"
"SITE_1231","MTR_1","Electric","Yes","Whole house"
"SITE_1232","MTR_1","Electric","Yes","Unknown"
"SITE_1232","MTR_2","Gas","No","Unknown"
"SITE_1233","MTR_1","Electric","No","House"
"SITE_1233","MTR_2","Gas","No","House"
"SITE_1234","MTR_1","Gas","No","House"
"SITE_1234","MTR_2","Electric","Yes","House"
"SITE_1235","MTR_1","Electric","Yes","House and shop"
"SITE_1236","MTR_1","Electric","Yes","Residence"
"SITE_1237","MTR_1","Electric","Yes","House"
