"Building_ID","Type_of_Ceiling","Data_Collection_Type"
"BLDG_0157","Attic","Full Survey"
"BLDG_0158","Other","Full Survey"
"BLDG_0159","Attic","Full Survey"
"BLDG_0160","Attic","Full Survey"
"BLDG_0161","Roof Deck","Partial/Remote Survey"
"BLDG_0162","Roof Deck","Full Survey"
"BLDG_0163","Roof Deck","Full Survey"
"BLDG_0164","Roof Deck","Partial/Remote Survey"
"BLDG_0165","Roof Deck","Full Survey"
"BLDG_0167","Roof Deck","Partial/Remote Survey"
"BLDG_0169","Adiabatic","Full Survey"
"BLDG_0170","Roof Deck","Partial/Remote Survey"
"BLDG_0171","Roof Deck","Full Survey"
"BLDG_0172","Attic","Full Survey"
"BLDG_0173","Attic","Full Survey"
"BLDG_0174","Roof Deck","Partial/Remote Survey"
"BLDG_0176","Roof Deck","Partial/Remote Survey"
"BLDG_0177","Attic","Partial/Remote Survey"
"BLDG_0178","Attic","Partial/Remote Survey"
"BLDG_0180","Attic","Full Survey"
"BLDG_0180","Sloped / Vaulted (no attic)","Full Survey"
"BLDG_0181","Roof Deck","Full Survey"
"BLDG_0182","Roof Deck","Partial/Remote Survey"
"BLDG_0184","Roof Deck","Full Survey"
"BLDG_0185","Roof Deck","Full Survey"
"BLDG_0186","Adiabatic","Full Survey"
"BLDG_0187","Roof Deck","Full Survey"
"BLDG_0188","Roof Deck","Full Survey"
"BLDG_0189","Roof Deck","Full Survey"
"BLDG_0190","Roof Deck","Full Survey"
"BLDG_0191","Roof Deck","Full Survey"
"BLDG_0192","Roof Deck","Full Survey"
"BLDG_0193","Roof Deck","Partial/Remote Survey"
"BLDG_0194","Attic","Full Survey"
"BLDG_0195","Roof Deck","Full Survey"
"BLDG_0196","Roof Deck","Full Survey"
"BLDG_0197","Attic","Full Survey"
"BLDG_0198","Roof Deck","Partial/Remote Survey"
"BLDG_0200","Roof Deck","Partial/Remote Survey"
"BLDG_0201","Roof Deck","Partial/Remote Survey"
"BLDG_0202","Attic","Full Survey"
"BLDG_0202","Adiabatic","Full Survey"
"BLDG_0203","Attic","Full Survey"
"BLDG_0204","Roof Deck","Full Survey"
"BLDG_0205","Attic","Partial/Remote Survey"
"BLDG_0206","Roof Deck","Partial/Remote Survey"
"BLDG_0207","Roof Deck","Full Survey"
"BLDG_0208","Roof Deck","Partial/Remote Survey"
"BLDG_0209","Roof Deck","Full Survey"
"BLDG_0210","Roof Deck","Full Survey"
"BLDG_0211","Roof Deck","Partial/Remote Survey"
"BLDG_0212","Attic","Partial/Remote Survey"
"BLDG_0213","Roof Deck","Partial/Remote Survey"
"BLDG_0214","Roof Deck","Partial/Remote Survey"
"BLDG_0215","Roof Deck","Partial/Remote Survey"
"BLDG_0216","Attic","Partial/Remote Survey"
"BLDG_0216","Sloped / Vaulted (no attic)","Partial/Remote Survey"
"BLDG_0217","Attic","Partial/Remote Survey"
"BLDG_0218","Roof Deck","Partial/Remote Survey"
"BLDG_0219","Roof Deck","Partial/Remote Survey"
"BLDG_0220","Roof Deck","Partial/Remote Survey"
"BLDG_0221","Roof Deck","Partial/Remote Survey"
"BLDG_0222","Attic","Partial/Remote Survey"
"BLDG_0223","Attic","Partial/Remote Survey"
"BLDG_0224","Roof Deck","Partial/Remote Survey"
"BLDG_0225","Attic","Partial/Remote Survey"
"BLDG_0226","Roof Deck","Partial/Remote Survey"
"BLDG_0228","Roof Deck","Partial/Remote Survey"
"BLDG_0229","Roof Deck","Partial/Remote Survey"
"BLDG_0230","Attic","Partial/Remote Survey"
"BLDG_0231","Attic","Partial/Remote Survey"
"BLDG_0232","Attic","Partial/Remote Survey"
"BLDG_0233","Roof Deck","Partial/Remote Survey"
"BLDG_0234","Roof Deck","Partial/Remote Survey"
"BLDG_0235","Attic","Partial/Remote Survey"
"BLDG_0236","Roof Deck","Partial/Remote Survey"
