SiteID,Mechanical_ID,System_Type,Ventilation_Controls
SITE_1249,MECH_163706,High Capacity Exhaust,On/off
SITE_1250,MECH_170321,Recirculating Only,On/off
SITE_1251,MECH_106635,High Capacity Exhaust,On/off
SITE_1252,MECH_122927,Recirculating Only,On/off
SITE_1253,MECH_70637,High Capacity Exhaust,On/off
SITE_1254,MECH_149458,Small Capacity Exhaust,On/off
SITE_1255,MECH_130084,Small Capacity Exhaust,Manual thermostat - Analog
SITE_1256,MECH_54106,Recirculating Only,On/off
SITE_1257,MECH_135391,Recirculating Only,On/off
SITE_1258,MECH_137898,Recirculating Only,On/off
SITE_1259,MECH_76045,Small Capacity Exhaust,Manual thermostat - Digital
SITE_1260,MECH_6474,Recirculating Only,On/off
SITE_1261,MECH_168140,Small Capacity Exhaust,On/off
SITE_1262,MECH_129983,Recirculating Only,Unknown
SITE_1263,MECH_100897,Recirculating Only,Manual thermostat - Analog
SITE_1264,MECH_5898,High Capacity Exhaust,On/off
SITE_1265,MECH_75784,Small Capacity Exhaust,On/off
SITE_1266,MECH_38967,Recirculating Only,On/off
SITE_1267,MECH_22525,Small Capacity Exhaust,On/off
SITE_1267,MECH_82588,Small Capacity Exhaust,Unknown
SITE_1268,MECH_144720,Small Capacity Exhaust,On/off
SITE_1270,MECH_83317,Small Capacity Exhaust,On/off
SITE_1271,MECH_9070,Recirculating Only,On/off
SITE_1272,MECH_111735,Recirculating Only,On/off
SITE_1273,MECH_100691,Recirculating Only,On/off
SITE_1274,MECH_160613,Recirculating Only,On/off
SITE_1275,MECH_144654,Small Capacity Exhaust,On/off
SITE_1276,MECH_448,Small Capacity Exhaust,On/off
SITE_1278,MECH_41602,Small Capacity Exhaust,On/off
SITE_1279,MECH_75969,High Capacity Exhaust,On/off
SITE_1280,MECH_15684,Recirculating Only,On/off
SITE_1281,MECH_142480,Small Capacity Exhaust,On/off
SITE_1283,MECH_132120,Small Capacity Exhaust,On/off
SITE_1284,MECH_70285,High Capacity Exhaust,On/off
SITE_1287,MECH_104004,Small Capacity Exhaust,On/off
SITE_1288,MECH_127292,Small Capacity Exhaust,On/off
SITE_1289,MECH_68468,Recirculating Only,On/off
SITE_129,MECH_106994,Small Capacity Exhaust,On/off
SITE_1290,MECH_158899,Small Capacity Exhaust,On/off
SITE_1291,MECH_96136,Unknown,On/off
SITE_1292,MECH_7600,Small Capacity Exhaust,Manual thermostat - Analog
SITE_1293,MECH_147498,Small Capacity Exhaust,On/off
SITE_1295,MECH_129075,High Capacity Exhaust,On/off
SITE_1295,MECH_74132,Small Capacity Exhaust,On/off
SITE_1297,MECH_132261,Small Capacity Exhaust,On/off
SITE_1298,MECH_25988,Small Capacity Exhaust,On/off
SITE_1299,MECH_19097,Small Capacity Exhaust,On/off
SITE_1300,MECH_5708,Small Capacity Exhaust,On/off
SITE_1301,MECH_105503,Small Capacity Exhaust,On/off
SITE_1302,MECH_26172,Recirculating Only,On/off
SITE_1304,MECH_60002,Recirculating Only,Manual thermostat - Digital
SITE_1306,MECH_72396,Small Capacity Exhaust,On/off
SITE_1307,MECH_157287,Small Capacity Exhaust,On/off
SITE_1309,MECH_82186,Small Capacity Exhaust,On/off
SITE_131,MECH_47933,Small Capacity Exhaust,On/off
SITE_1310,MECH_16458,High Capacity Exhaust,On/off
SITE_1312,MECH_114788,High Capacity Exhaust,On/off
SITE_1313,MECH_27435,Recirculating Only,On/off
SITE_1314,MECH_77200,Small Capacity Exhaust,On/off
SITE_1315,MECH_57568,Small Capacity Exhaust,On/off
SITE_1316,MECH_67829,Recirculating Only,Manual thermostat - Analog
SITE_132,MECH_171864,Small Capacity Exhaust,On/off
SITE_1320,MECH_95374,Recirculating Only,On/off
