"SiteID","RoomID","ApplianceID","Type","Type_Other","Make","Model","Vintage","Energy_Star","Room_Type"
"SITE_155","ROOM_4866","APPL_155042","Garage door opener","Garage door","LiftMaster","41D7675","2016","No","Garage"
"SITE_1552","ROOM_6951","APPL_54175","Exercise Equipment","Treadmill","ProForm","Unknown","Unknown","Unknown","Bedroom"
"SITE_1557","ROOM_11539","APPL_59723","Exercise Equipment","Stationary Bike","Peloton","Unknown","Unknown","No","Bedroom"
"SITE_1559","ROOM_38327","APPL_19183","Hot Tub",NA,"Unknown","Unknown","Unknown","Unknown","Outbuilding / Addition"
"SITE_1563","ROOM_532","APPL_28197","Hot Tub",NA,"Viking Spas","Unknown","Unknown","No","Outside"
"SITE_157","ROOM_38902","APPL_118837","Hot Tub",NA,"BESTWAY","S100105","Unknown","No","Garage"
"SITE_1572","ROOM_16370","APPL_148619","Water Circulator Pump",NA,"Asurity","CP-22","Unknown","No","Basement"
"SITE_1584","ROOM_17050","APPL_11401","Kiln (Electric)",NA,"Skutt","KM1227","Unknown","Unknown","Other"
"SITE_1584","ROOM_17050","APPL_67971","Kiln (Electric)",NA,"Skutt","Unknown","Unknown","No","Other"
"SITE_159","ROOM_37605","APPL_24440","Garage door opener","Garage door opener","Chamberlain","Unknown","Unknown","Unknown","Garage"
"SITE_160","ROOM_2348","APPL_55947","Other","Heat Lamp","Unknown","Unknown","Unknown","No","Garage"
"SITE_160","ROOM_2348","APPL_127218","Garage door opener","Garage door opener","LiftMaster","FORMULA1","Unknown","No","Garage"
"SITE_160","ROOM_2348","APPL_138464","Garage door opener","Garage door opener","LiftMaster","FORMULA1","Unknown","No","Garage"
"SITE_160","ROOM_2348","APPL_73892","Garage door opener","Garage door opener","LiftMaster","FORMULA1","Unknown","No","Garage"
"SITE_1613","ROOM_37288","APPL_118718","Water feature",NA,"Unknown","Unknown","Unknown","Unknown","Outside"
"SITE_1625","ROOM_14493","APPL_23515","Irrigation Pump",NA,"Unknown","Unknown","Unknown","Unknown","Basement"
"SITE_1632","ROOM_3514","APPL_37428","Sauna",NA,"Unknown","Unknown","Unknown","No","Bathroom"
"SITE_1636","ROOM_4341","APPL_60440","Exercise Equipment","Treadmill","Spirit","XT685","Unknown","No","Other"
"SITE_1636","ROOM_18189","APPL_95355","Other","Generator","Generac","GUARDIAN 10 KW","Unknown","Unknown","Outside"
"SITE_1637","ROOM_33647","APPL_107527","Water Circulator Pump",NA,"Grundfos","52722355P1","Unknown","Unknown","Basement"
"SITE_17","ROOM_42503","APPL_90678","Garage door opener","Garage door","Craftsman","Unknown","Unknown","Unknown","Garage"
"SITE_17","ROOM_42503","APPL_37362","Garage door opener","Garage door","Craftsman","Unknown","Unknown","Unknown","Garage"
"SITE_1730","ROOM_4677","APPL_79783","Other","Garage Door","Overhead Door","LEGACY","Unknown","No","Garage"
"SITE_1730","ROOM_4677","APPL_59152","Other","Garage Door","Overhead Door","LEGACY","Unknown","Unknown","Garage"
"SITE_1730","ROOM_4677","APPL_92975","Power Tool","Band Saw","Unknown","Unknown","Unknown","No","Garage"
"SITE_1730","ROOM_13773","APPL_21472","Other","treadmill","AFG","71AT","Unknown","No","Family Room"
"SITE_1735","ROOM_27967","APPL_152988","Other","garage door","LiftMaster","Unknown","Unknown","Unknown","Garage"
"SITE_1739","ROOM_22905","APPL_35171","Other","garage door","Craftsman","Unknown","Unknown","Unknown","Garage"
"SITE_1739","ROOM_22905","APPL_125871","Other","garage door","Craftsman","Unknown","Unknown","Unknown","Garage"
"SITE_1741","ROOM_23294","APPL_68446","Sauna",NA,"saunalogic","Unknown","Unknown","No","Basement"
"SITE_1745","ROOM_8893","APPL_16962","Kiln (Electric)",NA,"Skuit","KMT-822","Unknown","No","Garage"
"SITE_1756","ROOM_11773","APPL_126769","Hot Tub",NA,"Master Spa","DOWN EAST","Unknown","No","Bedroom"
"SITE_1773","ROOM_18892","APPL_41567","Other","GARAGE DOOR OPENER","LiftMaster","Unknown","Unknown","Unknown","Garage"
"SITE_1774","ROOM_37641","APPL_87232","Sauna",NA,"Health Mate","PROFESSIONAL EDITION","Unknown","No","Family Room"
"SITE_1781","ROOM_15796","APPL_52358","Other","Garage Door Opener","LiftMaster","Unknown","Unknown","No","Garage"
"SITE_179","ROOM_8775","APPL_76943","Garage door opener","Garage door opener","Odyssey 1000","Unknown","Unknown","Unknown","Garage"
