"SiteID","System_Type","Evidence_of_Duct_Sealing","Duct_Sealing_Material","Duct_Sealing_Material_Other","Cavity_Used_for_Air_Transport","Duct_Location_Supply","Duct_Location_Return","Percentage_of_Supply_Ducts_in_Conditioned_Space","Percentage_of_Return_Ducts_in_Conditioned_Space","Percentage_of_Supply_Ducts_in_Unconditioned_and_Inaccessible_Sp","Percentage_Ducts_In_Good_Condition","Crossover_Present","Crossover_Condition","Flex_Run_Insulation_Type","Insulation_Present","Insulation_Type","Insulation_Thickness","Insulation_Condition","Ductboard_P_Thickness"
"SITE_2028","Metal Plenum, Flex Runs","Unknown",NA,NA,"No","Crawlspace / Basement, In Walls and Ceilings","In Walls and Ceilings, Crawlspace / Basement","0","25","25","90","No","Unknown","R4","Yes","Unknown","0","Unknown",NA
"SITE_2029","All Metal","No",NA,NA,"No","In Walls and Ceilings","In Walls and Ceilings","100","100","0","90","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_203","90 Flex (spider system)","No",NA,NA,"No","Crawlspace, In Walls","Attic, In Walls","30","29","0","95","No","Unknown","R8","Yes",NA,NA,"90",NA
"SITE_2030","Metal Plenum, Flex Runs","No",NA,NA,"No","Attic, In Walls and Ceilings","In Walls and Ceilings","50","75","50","90","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA
"SITE_2031","All Metal","No",NA,NA,"No","Crawlspace / Basement, In Walls and Ceilings","Crawlspace / Basement, In Walls and Ceilings","50","50","50","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_2033","Metal Plenum, Flex Runs","No",NA,NA,"No","Crawlspace / Basement","Attic, In Walls and Ceilings","0","0","0","90","No","Unknown","R8","Yes","Unknown","0","Unknown",NA
"SITE_2035","All Metal","No",NA,NA,"No","Crawlspace / Basement, In Walls and Ceilings","In Walls and Ceilings, Crawlspace / Basement","50","90","50","90","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_2036","Metal Plenum, Flex Runs","No",NA,NA,"No","Crawlspace / Basement, In Walls and Ceilings","In Walls and Ceilings","75","75","25","90","No","Unknown","R8","Yes","Fiberglass batts","4","Unknown",NA
"SITE_2038","All Metal","No",NA,NA,"No","In Walls and Ceilings, Crawlspace / Basement","In Walls and Ceilings","75","75","25","90","No","Unknown",NA,"Yes","Fiberglass batts","4","75",NA
"SITE_2039","All Metal","No",NA,NA,"No","Crawlspace / Basement, In Walls and Ceilings","Crawlspace / Basement, In Walls and Ceilings","100","100","0","90","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_204","All Metal","No",NA,NA,"No","Attic","Attic","0","0","80","100","No","Unknown",NA,"Yes","Foil-faced fiberglass","2","Unknown",NA
"SITE_2040","All Metal","Unknown",NA,NA,"No","Crawlspace / Basement","Crawlspace / Basement","0","0","0","100","No","Unknown",NA,"Yes","Fiberglass batts","4","100",NA
"SITE_2041","90 Flex (spider system)","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement, In Walls and Ceilings","In Walls and Ceilings, Crawlspace / Basement","25","25","75","100","No","Unknown","Unknown","Yes",NA,NA,"100",NA
"SITE_2043","All Metal","No",NA,NA,"No","Crawlspace / Basement, In Walls and Ceilings","Crawlspace / Basement","25","0","75","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_2044","All Metal","Yes","Duct or Foil tape",NA,"Unknown","Crawlspace / Basement, Attic","Attic","0","50","25","75","No","Unknown",NA,"Unknown","Unknown","Unknown","Unknown",NA
"SITE_205","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement","Attic","100","0","0","100","No","Unknown",NA,"Yes","Foil-faced fiberglass","4","100",NA
"SITE_206","Metal Plenum, Flex Runs","No",NA,NA,"No","Attic, Crawlspace / Basement","Attic, Crawlspace / Basement","25","25","0","75","No","Unknown","Unknown","No","Unknown","Unknown","Unknown",NA
"SITE_207","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace, Attic","Attic, Crawlspace","0","0","0","80","No","Unknown",NA,"Yes","Fiberglass batts","2","90",NA
"SITE_208","All Metal","Yes","Duct or Foil tape, Caulking",NA,"Unknown","Crawlspace / Basement","In Walls and Ceilings","25","90","75","Unknown","Unknown","Unknown",NA,"Unknown","Unknown","Unknown","Unknown",NA
"SITE_209","All Metal","No",NA,NA,"No","In Walls and Ceilings","In Walls and Ceilings","100","100","0","90","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_21","90 Flex (spider system)","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement","Crawlspace / Basement","0","0","100","100","No","Unknown","R4","Yes",NA,NA,"100",NA
"SITE_210","90 Flex (spider system)","No",NA,NA,"No","Crawlspace, In Walls, Garage","Attic, In Walls, Garage","20","30","0","100","No","Unknown","R8","Yes",NA,NA,"100",NA
"SITE_211","All Metal","No",NA,NA,"No","Crawlspace / Basement, In Walls and Ceilings","Crawlspace / Basement, In Walls and Ceilings","90","90","0","Unknown","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_213","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement","Attic","0","0","0","100","No","Unknown",NA,"Yes","Fiberglass batts","1","75",NA
"SITE_214","All Metal","Yes","Duct or Foil tape",NA,"Unknown","Crawlspace / Basement","In Walls and Ceilings","0","25","Unknown","Unknown","No","Unknown",NA,"Unknown","Unknown","Unknown","Unknown",NA
"SITE_216","90 Flex (spider system)","Yes","Duct or Foil tape",NA,"No","Garage, Crawlspace / Basement, Attic","Garage, In Walls and Ceilings","25","90","0","90","No","Unknown","Unknown","Yes",NA,NA,"90",NA
"SITE_218","All Metal","Yes","Mastic",NA,"Unknown","In Walls","In Walls","100","100","0","100","No","Unknown",NA,"Yes","Unknown","None","0",NA
"SITE_219","All Metal","Yes","Duct or Foil tape, Unknown",NA,"Unknown","In Walls, Crawlspace","In Walls, Crawlspace","70","85","30","95","No","Unknown",NA,"Yes","Unknown","Unknown","Unknown",NA
"SITE_220","Metal Plenum, Flex Runs","No",NA,NA,"No","Crawlspace / Basement","Crawlspace / Basement","0","0","100","100","No","Unknown","Unknown","No","Unknown","Unknown","Unknown",NA
"SITE_222","All Metal","No",NA,NA,"No","Crawlspace / Basement","Crawlspace / Basement","0","0","0","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_225","90 Flex (spider system)","No",NA,NA,"No","Crawlspace / Basement, In Walls and Ceilings, Attic","Attic, In Walls and Ceilings","25","90","0","100","No","Unknown","R4","Yes",NA,NA,"100",NA
"SITE_227","90 Flex (spider system)","No",NA,NA,"No","Crawlspace, Garage","Attic, Garage","0","0","0","94","No","Unknown","R8","Yes",NA,NA,"90",NA
"SITE_23","All Metal","Yes","Duct or Foil tape",NA,"No","Garage, In Walls and Ceilings","Crawlspace / Basement, Garage","90","0","0","Unknown","No","Unknown",NA,"Yes","Fiberglass batts","1","100",NA
"SITE_230","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement","Attic","0","100","0","100","No","Unknown",NA,"Yes","Fiberglass batts","4","100",NA
"SITE_231","90 Flex (spider system)","Yes","Duct or Foil tape",NA,"No","Crawlspace, In Walls","Attic","16","20","0","94","No","Unknown","R8","Yes",NA,NA,"100",NA
"SITE_234","Metal Plenum, Flex Runs","Yes","Duct or Foil tape",NA,"No","Attic, Crawlspace","Attic","0","0","0","90","No","Unknown","Unknown","Yes","Unknown","Unknown","0",NA
"SITE_235","Metal Plenum, Flex Runs","No",NA,NA,"No","Crawlspace / Basement, In Walls and Ceilings, Garage, Attic","Garage, Attic, In Walls and Ceilings","25","25","0","100","No","Unknown","R8","Yes","Fiberglass batts","2","100",NA
"SITE_236","All Metal","No",NA,NA,"No","Attic, Garage, In Walls and Ceilings, Crawlspace / Basement","Attic, Crawlspace / Basement, Garage, In Walls and Ceilings","25","25","0","Unknown","No","Unknown",NA,"Yes","Foil-faced fiberglass","2","100",NA
"SITE_238","Metal Plenum, Flex Runs","No",NA,NA,"No","Crawlspace / Basement","Attic","0","0","0","90","No","Unknown","R8","Yes","Foil-faced fiberglass","2","75",NA
"SITE_240","All Metal","Yes","Duct or Foil tape",NA,"No","In Walls","In Walls","100","100","0","91","No","Unknown",NA,"Yes","Unknown","Unknown","Unknown",NA
"SITE_241","Metal Plenum, Flex Runs","No",NA,NA,"No","Attic","Crawlspace / Basement","0","0","100","100","No","Unknown","Unknown","No","Unknown","Unknown","Unknown",NA
"SITE_244","Metal Plenum, Flex Runs","No",NA,NA,"Unknown","Crawlspace / Basement, In Walls and Ceilings, Attic","Attic, In Walls and Ceilings","0","0","0","90","No","Unknown","Unknown","Yes","Fiberglass batts","Unknown","Unknown",NA
"SITE_245","90 Flex (spider system)","No",NA,NA,"No","Attic","Attic","0","0","0","90","No","Unknown","R8","Yes",NA,NA,"90",NA
"SITE_246","90 Flex (spider system)","No",NA,NA,"No","Crawlspace","Attic","35","0","65","90","No","Unknown","R4","Yes",NA,NA,"25",NA
"SITE_247","All Metal","Yes","Duct or Foil tape",NA,"Unknown","Crawlspace / Basement","Attic","0","0","Unknown","90","No","Unknown",NA,"Yes","Foil-faced fiberglass","2","Unknown",NA
"SITE_248","90 Flex (spider system)","Yes","Duct or Foil tape",NA,"No","In Walls, Crawlspace","Attic","19","0","0","100","No","Unknown","R8","Yes",NA,NA,"100",NA
"SITE_249","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace","Attic","0","0","0","100","No","Unknown",NA,"Yes","Fiberglass batts","2","90",NA
"SITE_25","90 Flex (spider system)","No",NA,NA,"No","Crawlspace","Attic","0","0","0","99","No","Unknown","R4","Yes",NA,NA,"90",NA
"SITE_250","90 Flex (spider system)","Yes","Duct or Foil tape, Mastic",NA,"No","Attic","Attic","0","0","0","99","No","Unknown","R8","Yes",NA,NA,"100",NA
"SITE_251","All Metal","Yes","Duct or Foil tape",NA,"No","In Walls and Ceilings, Crawlspace / Basement","In Walls and Ceilings","100","90","0","100","No","Unknown","Unknown","Yes","Foil-faced fiberglass","1","100",NA
"SITE_252","All Metal","Yes","Duct or Foil tape",NA,"No","In Walls","In Walls","70","71","0","80","No","Unknown",NA,"Yes","Unknown","Unknown","0",NA
"SITE_255","All Metal","Unknown",NA,NA,"No","Attic","Attic","0","0","0","100","No","Unknown",NA,"Yes","Foil-faced fiberglass","1.5","100",NA
"SITE_256","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace, In Walls","Crawlspace","0","0","50","100","No","Unknown",NA,"Yes","Unknown","None","Unknown",NA
"SITE_259","90 Flex (spider system)","Yes","Duct or Foil tape",NA,"No","Attic, Crawlspace / Basement, In Walls and Ceilings","In Walls and Ceilings, Crawlspace / Basement","75","100","0","100","No","Unknown","R6","Yes",NA,NA,"75",NA
"SITE_26","All Metal","No",NA,NA,"No","Crawlspace / Basement, Garage","Attic, Garage","0","0","0","90","No","Unknown",NA,"Yes","Fiberglass batts","0.25","75",NA
"SITE_261","Unknown","Unknown",NA,NA,"Unknown","In Walls and Ceilings","In Walls and Ceilings","100","100","0","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_262","All Metal","Unknown",NA,NA,"No","Crawlspace / Basement, In Walls and Ceilings","In Walls and Ceilings, Crawlspace / Basement","25","75","0","100","No","Unknown",NA,"Yes","Fiberglass batts","1.5","100",NA
"SITE_263","All Metal","No",NA,NA,"Yes","Crawlspace / Basement","Crawlspace / Basement","100","100","0","75","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_264","Metal Plenum, Flex Runs","Unknown",NA,NA,"No","Crawlspace / Basement, In Walls and Ceilings","In Walls and Ceilings","25","50","75","Unknown","No","Unknown","Unknown","Yes","Fiberglass batts","4","100",NA
"SITE_265","All Metal","Unknown",NA,NA,"Unknown","In Walls","In Walls","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Yes","Unknown","Unknown","Unknown",NA
"SITE_266","All Metal","No",NA,NA,"No","Crawlspace","Attic","0","0","0","80","No","Unknown",NA,"Yes","Fiberglass batts","1","25",NA
"SITE_268","All Metal","Yes","Duct or Foil tape",NA,"Unknown","Crawlspace / Basement, In Walls and Ceilings, Attic","Crawlspace / Basement, In Walls and Ceilings, Attic","75","75","0","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_269","All Metal","No",NA,NA,"No","Crawlspace / Basement, In Walls and Ceilings","Crawlspace / Basement, In Walls and Ceilings","100","100","0","Unknown","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_27","Metal Plenum, Flex Runs","No",NA,NA,"No","Attic","Attic","0","0","0","100","No","Unknown","Unknown","No","Unknown","Unknown","Unknown",NA
"SITE_272","90 Flex (spider system)","No",NA,NA,"No","Attic","Attic","0","0","0","100","No","Unknown","R8","Yes",NA,NA,"100",NA
"SITE_273","Unknown","No",NA,NA,"No","In Walls and Ceilings, Garage, Crawlspace / Basement","Garage, In Walls and Ceilings, Crawlspace / Basement","50","50","25","100","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_274","All Metal","No",NA,NA,"No","Crawlspace / Basement, Outside, In Walls and Ceilings","In Walls and Ceilings","50","100","25","75","No","Unknown",NA,"Yes","Foam board","2","50",NA
"SITE_275","Unknown","No",NA,NA,"No","In Walls","In Walls","0","100","100","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_276","Metal Plenum, Flex Runs","No",NA,NA,"Yes","Attic, Crawlspace / Basement, Garage, In Walls and Ceilings","In Walls and Ceilings, Garage","50","75","0","90","No","Unknown","Unknown","No","Unknown","Unknown","Unknown",NA
"SITE_279","All Metal","Yes","Caulking",NA,"No","In Walls","In Walls","100","100","0","100","No","Unknown",NA,"Yes","Unknown","Unknown","0",NA
"SITE_28","All Metal","Unknown",NA,NA,"No","Crawlspace / Basement","In Walls and Ceilings, Crawlspace / Basement","25","25","75","100","No","Unknown",NA,"Unknown","Unknown","Unknown","Unknown",NA
"SITE_280","All Metal","No",NA,NA,"No","Crawlspace / Basement","In Walls and Ceilings","0","100","0","90","No","Unknown",NA,"Yes","Fiberglass batts","4","100",NA
"SITE_281","Unknown","No",NA,NA,"No","Crawlspace, In Walls","In Walls","50","100","50","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_282","All Metal","Yes","Duct or Foil tape",NA,"No","In Walls","In Walls","40","10","0","100","No","Unknown",NA,"Yes","Fiberglass batts","1","90",NA
"SITE_283","Metal Plenum, Flex Runs","Yes","Duct or Foil tape",NA,"No","Attic, Crawlspace / Basement, In Walls and Ceilings","Attic, Crawlspace / Basement, In Walls and Ceilings","50","50","0","90","No","Unknown","R4","Yes","Fiberglass batts","0","100",NA
"SITE_284","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement, In Walls and Ceilings","In Walls and Ceilings, Crawlspace / Basement","100","100","0","75","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_285","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace","Attic","0","0","0","90","No","Unknown",NA,"Yes","Fiberglass batts","2","75",NA
"SITE_286","90 Flex (spider system)","No",NA,NA,"No","Crawlspace / Basement","Crawlspace / Basement","Unknown","Unknown","Unknown","Unknown","No","Unknown","R4","Yes",NA,NA,"Unknown",NA
"SITE_287","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement","Attic, In Walls and Ceilings","0","25","100","90","No","Unknown",NA,"Yes","Fiberglass batts","0.25","25",NA
"SITE_288","All Metal","No",NA,NA,"No","Attic, Crawlspace / Basement, In Walls and Ceilings","Crawlspace / Basement","25","0","25","75","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_289","All Metal","No",NA,NA,"No","Crawlspace / Basement","Crawlspace / Basement","0","0","0","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_29","All Metal","No",NA,NA,"No","In Walls and Ceilings, Crawlspace / Basement","Crawlspace / Basement, In Walls and Ceilings","0","0","100","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_292","Metal Plenum, Flex Runs","No",NA,NA,"No","Crawlspace / Basement","Crawlspace / Basement","Unknown","0","100","100","No","Unknown","Unknown","No","Unknown","Unknown","Unknown",NA
"SITE_293","Metal Plenum, Flex Runs","No",NA,NA,"No","Attic","In Walls and Ceilings","0","0","100","90","No","Unknown","Unknown","No","Unknown","Unknown","Unknown",NA
"SITE_297","90 Flex (spider system)","Unknown",NA,NA,"No","Crawlspace, Garage, In Walls","In Walls, Garage","30","88","0","97","No","Unknown","R8","Yes",NA,NA,"90",NA
"SITE_298","All Metal","No",NA,NA,"No","Crawlspace / Basement","Crawlspace / Basement","0","100","0","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_299","Metal Plenum, Flex Runs","Yes","Unknown",NA,"Unknown","In Walls","Attic","100","20","0","100","No","Unknown","Unknown","Yes","Unknown","Unknown","Unknown",NA
"SITE_3","90 Flex (spider system)","No",NA,NA,"No","Attic, Crawlspace, In Walls","Attic, In Walls","20","65","0","95","No","Unknown","R8","Yes",NA,NA,"100",NA
"SITE_30","All Metal","No",NA,NA,"No","Attic","Crawlspace / Basement","0","0","0","Unknown","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_300","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement","Attic","0","100","0","100","No","Unknown",NA,"Yes","Fiberglass batts","2","100",NA
"SITE_301","Metal Plenum, Flex Runs","Yes","Duct or Foil tape",NA,"No","In Walls and Ceilings, Crawlspace / Basement","In Walls and Ceilings, Crawlspace / Basement","75","100","0","100","No","Unknown","R8","Yes","Unknown","Unknown","Unknown",NA
"SITE_302","Metal Plenum, Flex Runs","No",NA,NA,"No","Attic, In Walls and Ceilings","Attic","50","0","0","100","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA
"SITE_303","Metal Plenum, Flex Runs","No",NA,NA,"No","Crawlspace / Basement","Attic","0","0","100","100","Yes","Connected","R4","Yes","Foil-faced fiberglass","2.5","100",NA
"SITE_304","All Metal","No",NA,NA,"No","Crawlspace / Basement, In Walls and Ceilings","In Walls and Ceilings","25","100","0","90","No","Unknown","Unknown","Yes","Fiberglass batts","Unknown","75",NA
"SITE_306","Unknown","No",NA,NA,"No","In Walls and Ceilings","In Walls and Ceilings","100","100","0","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_307","All Metal","No",NA,NA,"Yes","Crawlspace / Basement","Crawlspace / Basement","100","100","0","75","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_308","All Metal","Yes","Caulking",NA,"No","Crawlspace / Basement","In Walls and Ceilings, Attic","0","90","100","Unknown","No","Unknown",NA,"Unknown","Unknown","Unknown","Unknown",NA
"SITE_311","Unknown","Unknown",NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Unknown",NA,NA,NA,NA
"SITE_311","Metal Plenum, Flex Runs","No",NA,NA,"No","In Walls and Ceilings, Crawlspace / Basement","Crawlspace / Basement, In Walls and Ceilings","50","50","0","100","No","Unknown","R8","Yes","Fiberglass batts","4","100",NA
"SITE_312","Metal Plenum, Flex Runs","Yes","Duct or Foil tape",NA,"No","Attic","Attic","0","0","0","100","No","Unknown","R8","Yes","Unknown","Unknown","0",NA
"SITE_314","All Metal","Yes","Duct or Foil tape",NA,"No","In Walls and Ceilings","Garage, In Walls and Ceilings","100","50","0","Unknown","No","Unknown",NA,"Yes","Fiberglass batts","1","100",NA
"SITE_315","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement","Crawlspace / Basement","0","0","25","75","No","Unknown",NA,"Yes","Unknown","1","25",NA
"SITE_316","90 Flex (spider system)","No",NA,NA,"No","Crawlspace, In Walls","Crawlspace, In Walls","100","100","0","95","No","Unknown","R8","Yes",NA,NA,"90",NA
"SITE_317","Metal Plenum, Flex Runs","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement","Attic","0","0","0","100","No","Unknown","R8","Yes","Unknown","0","0",NA
"SITE_319","Metal Plenum, Flex Runs","Yes","Duct or Foil tape",NA,"No","Attic","Crawlspace / Basement","100","0","0","Unknown","No","Unknown","Unknown","Yes","Fiberglass batts","1","100",NA
"SITE_32","All Metal","Unknown",NA,NA,"No","Crawlspace / Basement, In Walls and Ceilings","Crawlspace / Basement","25","0","75","90","No","Unknown",NA,"Yes","Fiberglass batts","3","25",NA
"SITE_320","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement","In Walls and Ceilings","0","0","0","100","No","Unknown",NA,"Yes","Fiberglass batts","4","90",NA
"SITE_322","Metal Plenum, Flex Runs","No",NA,NA,"No","Crawlspace / Basement","In Walls and Ceilings","0","100","100","100","No","Unknown","Unknown","No","Unknown","Unknown","Unknown",NA
"SITE_323","All Metal","No",NA,NA,"No","In Walls and Ceilings","In Walls and Ceilings","0","0","100","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_324","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement, In Walls and Ceilings","In Walls and Ceilings, Crawlspace / Basement","100","100","0","90","No","Unknown",NA,"Yes","Unknown","Unknown","Unknown",NA
"SITE_326","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement","Crawlspace / Basement","50","50","0","90","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_327","All Metal","No",NA,NA,"No","Attic, Crawlspace / Basement, In Walls and Ceilings","Attic, In Walls and Ceilings","75","75","0","90","No","Unknown",NA,"Yes","Foil-faced fiberglass","3","90",NA
"SITE_329","90 Flex (spider system)","Yes","Mastic",NA,"No","Crawlspace / Basement","Garage, In Walls and Ceilings","0","50","0","90","No","Unknown","R6","Yes",NA,NA,"100",NA
"SITE_331","Metal Plenum, Flex Runs","Yes","Duct or Foil tape",NA,"No","Attic, Crawlspace / Basement, Garage, In Walls and Ceilings","Attic, Garage","25","0","0","100","No","Unknown","R8","Yes","Foil-faced fiberglass","0.25","100",NA
"SITE_332","Unknown","Unknown",NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Unknown",NA,NA,NA,NA
"SITE_332","Metal Plenum, Flex Runs","Yes","Mastic",NA,"No","Attic, Crawlspace / Basement, In Walls and Ceilings","In Walls and Ceilings","50","90","25","100","No","Unknown","R8","Yes","Fiberglass batts","0.25","100",NA
"SITE_333","All Metal","No",NA,NA,"No","Garage, In Walls","Garage, In Walls","75","50","25","95","No","Unknown",NA,"Yes","Unknown","Unknown","0",NA
"SITE_334","All Metal","Yes","Duct or Foil tape",NA,"No","Attic","In Walls and Ceilings","0","0","0","100","No","Unknown",NA,"Yes","Fiberglass batts","4","100",NA
"SITE_336","All Metal","No",NA,NA,"No","Crawlspace / Basement, In Walls and Ceilings","Crawlspace / Basement, In Walls and Ceilings","100","100","0","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_337","All Metal","Yes","Duct or Foil tape",NA,"Yes","Crawlspace / Basement, Garage","Crawlspace / Basement","25","0","25","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_338","All Metal","No",NA,NA,"No","Garage, In Walls and Ceilings","Crawlspace / Basement, Garage, In Walls and Ceilings","90","50","0","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_339","Unknown","Unknown",NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Unknown",NA,NA,NA,NA
"SITE_339","Unknown","Unknown",NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Unknown",NA,NA,NA,NA
"SITE_34","All Metal","No",NA,NA,"Unknown","Attic, Crawlspace, In Walls","Attic","60","10","40","95","No","Unknown",NA,"Yes","Fiberglass batts","1","Unknown",NA
"SITE_340","Metal Plenum, Flex Runs","Yes","Duct or Foil tape",NA,"No","In Walls and Ceilings, Garage, Crawlspace / Basement","In Walls and Ceilings, Garage","50","90","0","100","No","Unknown","R8","Yes","Unknown","Unknown","100",NA
"SITE_342","90 Flex (spider system)","No",NA,NA,"No","Attic, In Walls and Ceilings","In Walls and Ceilings","75","75","25","100","No","Unknown","R4","Yes",NA,NA,"100",NA
"SITE_343","90 Flex (spider system)","No",NA,NA,"No","Crawlspace","Attic","0","0","0","96","No","Unknown","R8","Yes",NA,NA,"100",NA
"SITE_344","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement","In Walls and Ceilings","50","100","0","Unknown","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_345","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement","Attic","0","0","0","100","No","Unknown",NA,"Yes","Fiberglass batts","2","100",NA
"SITE_346","Unknown","Yes","Mastic",NA,"No","Attic, Crawlspace / Basement, In Walls and Ceilings","In Walls and Ceilings, Attic","25","25","0","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_354","All Metal","Yes","Unknown, Duct or Foil tape, Mortite",NA,"No","In Walls and Ceilings, Attic","Attic, In Walls and Ceilings","0","0","90","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_355","Metal Plenum, Flex Runs","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement, Garage","Attic","0","0","0","100","No","Unknown","R8","Yes","Unknown","Unknown","100",NA
"SITE_356","90 Flex (spider system)","No",NA,NA,"No","In Walls and Ceilings, Crawlspace / Basement, Attic","Attic, In Walls and Ceilings","25","50","0","100","No","Unknown","Unknown","Yes",NA,NA,"100",NA
"SITE_36","Metal Plenum, Flex Runs","No",NA,NA,"No","Crawlspace","In Walls","0","100","100","0","No","Unknown","Unknown","Yes","Unknown","Unknown","Unknown",NA
"SITE_362","All Metal","Yes","Mastic",NA,"No","Crawlspace / Basement, Garage","Crawlspace / Basement","100","100","0","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_364","90 Flex (spider system)","Yes","Duct or Foil tape",NA,"No","Attic, In Walls and Ceilings","Attic, In Walls and Ceilings","0","0","100","100","No","Unknown","R8","Yes",NA,NA,"100",NA
"SITE_365","All Metal","Yes","Mastic",NA,"No","Crawlspace / Basement","Crawlspace / Basement","0","0","100","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_368","Metal Plenum, Flex Runs","Yes","Duct or Foil tape",NA,"Yes","Crawlspace / Basement, In Walls and Ceilings","In Walls and Ceilings","25","25","75","75","No","Unknown","R6","Yes","Fiberglass batts","8","90",NA
"SITE_369","90 Flex (spider system)","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement, Attic, Garage, In Walls and Ceilings","Attic, Crawlspace / Basement, Garage, In Walls and Ceilings","0","0","100","100","No","Unknown","R8","Yes",NA,NA,"100",NA
"SITE_37","Metal Plenum, Flex Runs","No",NA,NA,"Unknown","Crawlspace, In Walls, Garage","In Walls, Attic","10","10","5","90","No","Unknown","R4","Yes","Fiberglass batts","3","90",NA
"SITE_371","90 Flex (spider system)","No",NA,NA,"No","Attic, In Walls and Ceilings, Crawlspace / Basement","Attic, In Walls and Ceilings","50","50","0","100","No","Unknown","Unknown","Yes",NA,NA,"100",NA
"SITE_375","Unknown","No",NA,NA,"No","Attic","Attic","0","0","0","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
