"SiteID","System_Type","Evidence_of_Duct_Sealing","Duct_Sealing_Material","Duct_Sealing_Material_Other","Cavity_Used_for_Air_Transport","Duct_Location_Supply","Duct_Location_Return","Percentage_of_Supply_Ducts_in_Conditioned_Space","Percentage_of_Return_Ducts_in_Conditioned_Space","Percentage_of_Supply_Ducts_in_Unconditioned_and_Inaccessible_Sp","Percentage_Ducts_In_Good_Condition","Crossover_Present","Crossover_Condition","Flex_Run_Insulation_Type","Insulation_Present","Insulation_Type","Insulation_Thickness","Insulation_Condition","Ductboard_P_Thickness"
"SITE_1045","All Metal","Unknown",NA,NA,"No","Crawlspace / Basement","In Walls and Ceilings","0","100","100","Unknown","No","Unknown",NA,"Unknown","Unknown","Unknown","Unknown",NA
"SITE_1048","All Metal","No",NA,NA,"No","Attic","Attic","0","0","Unknown","Unknown","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1049","90 Flex (spider system)","No",NA,NA,"No","Crawlspace / Basement","Attic, In Walls and Ceilings","0","25","0","90","No","Unknown","R8","Yes",NA,NA,"90",NA
"SITE_105","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement","Attic","0","0","0","100","No","Unknown",NA,"Yes","Fiberglass batts","6","90",NA
"SITE_1050","Metal Plenum, Flex Runs","Yes","Duct or Foil tape",NA,"Yes","Crawlspace / Basement, In Walls and Ceilings","In Walls and Ceilings, Crawlspace / Basement","75","75","25","90","No","Unknown","Unknown","Yes","Fiberglass batts","2","100",NA
"SITE_1052","Metal Plenum, Flex Runs","No",NA,NA,"No","Attic, Crawlspace / Basement, In Walls and Ceilings","In Walls and Ceilings","75","Unknown","25","100","No","Unknown","R8","Yes","Fiberglass batts","4","100",NA
"SITE_1053","All Metal","No",NA,NA,"No","Crawlspace / Basement","Attic","0","0","0","100","No","Unknown","Unknown","Yes","Unknown","Unknown","Unknown",NA
"SITE_1055","Metal Plenum, Flex Runs","Unknown",NA,NA,"No","Attic","Attic","0","25","100","90","No","Unknown","Unknown","Yes","Unknown","Unknown","Unknown",NA
"SITE_1056","All Metal","Yes","Duct or Foil tape",NA,"No","In Walls and Ceilings","In Walls and Ceilings","75","Unknown","25","90","No","Unknown",NA,"Unknown","Unknown","Unknown","Unknown",NA
"SITE_1057","All Metal","No",NA,NA,"No","Attic, Crawlspace / Basement, In Walls and Ceilings","In Walls and Ceilings","25","25","75","Unknown","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
