"SiteID","RoomID","ApplianceID","Make","Model","Vintage","Energy_Star","Audio_Wifi_Enabled","Audio_Voice_Assistant","Audio_Connected_to_TV","Contains_Subwoofer","Does_Subwoofer_have_indicator_light_or_warm_to_touch"
"SITE_1367","ROOM_7067","APPL_13440","Yamaha","YAS-107","Unknown","No","Unknown","Unknown","Yes","No",NA
"SITE_137","ROOM_31917","APPL_76960","Sonos","ZONEPLAYER ZP90","Unknown","No","Yes","No","No","No",NA
"SITE_137","ROOM_5961","APPL_43152","Bose","#418775","Unknown","No","Unknown","No","Yes","No",NA
"SITE_137","ROOM_45124","APPL_121990","Polk Audio","D581 SOUND BAR","Unknown","Yes","Yes","No","Yes","No",NA
"SITE_137","ROOM_31917","APPL_89013","Integra","DTM-59","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_137","ROOM_31917","APPL_152303","Integra","ADM 301","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1373","ROOM_46499","APPL_7867","Yamaha","ATS-2090","Unknown","Unknown","Yes","Yes","Yes","Yes","No"
"SITE_1382","ROOM_7750","APPL_154343","Samsung","Unknown","Unknown","No","No","No","Yes","Yes","No"
"SITE_1383","ROOM_28682","APPL_110355","ILive","ITB260B","Unknown","No","No","No","Yes","No",NA
"SITE_1392","ROOM_21846","APPL_47425","Rif6","Unknown","Unknown","No","Unknown","Unknown","No","No",NA
"SITE_1393","ROOM_46472","APPL_133924","ILive","ITB031B","Unknown","No","Unknown","No","Yes","No",NA
"SITE_1395","ROOM_15970","APPL_61451","Polk Audio","DBXR1","Unknown","Unknown","No","No","Yes","No",NA
"SITE_1395","ROOM_41157","APPL_72014","LG","SL6Y","Unknown","Unknown","No","No","Yes","No",NA
"SITE_1399","ROOM_38706","APPL_58570","Mission","MC50","Unknown","No","Yes","Yes","Unknown","No",NA
"SITE_1399","ROOM_32811","APPL_135756","Bose","SOLO SOUND BAR SERIES II","Unknown","No","Unknown","No","Yes","Yes","No"
"SITE_14","ROOM_9150","APPL_171601","Amazon","ALEXA ECHO DOT","Unknown","No","No","Yes","No","No",NA
"SITE_1401","ROOM_38965","APPL_11844","Sony","SA-S400","Unknown","No","Unknown","Unknown","Yes","No",NA
"SITE_1403","ROOM_32769","APPL_29832","Samsung","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","No",NA
"SITE_1403","ROOM_31498","APPL_131316","RCA","#RTS7010B-E1","Unknown","No","Unknown","Unknown","Yes","No",NA
"SITE_1406","ROOM_2435","APPL_70459","Yamaha","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","No",NA
"SITE_1406","ROOM_8369","APPL_52599","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","No",NA
"SITE_141","ROOM_19318","APPL_162155","Bose","Unknown","Unknown","No","No","No","No","No",NA
"SITE_141","ROOM_38014","APPL_25362","Logitech","#00024","Unknown","No","No","No","No","No",NA
"SITE_142","ROOM_42889","APPL_32942","Samsung","Unknown","Unknown","Unknown","No","No","Yes","Yes","Yes"
"SITE_1420","ROOM_1502","APPL_25840","Bose","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","No",NA
"SITE_1423","ROOM_35955","APPL_33053","Amazon","ALEXA ECHO","Unknown","No","Yes","Yes","No","No",NA
"SITE_1423","ROOM_6830","APPL_116640","Amazon","ALEXA ECHO","Unknown","No","Yes","Yes","No","No",NA
"SITE_1423","ROOM_6830","APPL_23351","Google","Unknown","Unknown","No","Yes","Yes","No","No",NA
"SITE_1423","ROOM_10833","APPL_23714","Amazon","ALEXA ECHO","Unknown","No","Yes","Yes","No","No",NA
"SITE_1427","ROOM_39294","APPL_41989","Bose","#424096","Unknown","Yes","No","Yes","Yes","No",NA
"SITE_143","ROOM_17431","APPL_107218","Behranger","ULTRA TONE K450FX","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_143","ROOM_17431","APPL_172939","Fender","MUSTANG 1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1433","ROOM_19938","APPL_72111","Yamaha","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","No",NA
"SITE_1435","ROOM_7894","APPL_163354","Vizio","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","No",NA
"SITE_1436","ROOM_26764","APPL_59306","Sony","SA-RT5","Unknown","No","Unknown","Unknown","Yes","No",NA
"SITE_144","ROOM_16634","APPL_37363","Sonos","S14","Unknown","No","Yes","No","Yes","Yes","Yes"
"SITE_144","ROOM_46334","APPL_56917","Technics","SL-190P","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_144","ROOM_46334","APPL_50153","Bose","#418392","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_144","ROOM_26036","APPL_10091","Bose","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1443","ROOM_45128","APPL_157307","ILive","ITB037BO","Unknown","No","No","No","Yes","No",NA
"SITE_1444","ROOM_3205","APPL_82817","Polk Audio","DBRX1","Unknown","Unknown","No","No","Yes","Yes","Yes"
"SITE_1444","ROOM_15578","APPL_140536","Vizio","V21-H8R","Unknown","Unknown","Unknown","No","Yes","No",NA
"SITE_1445","ROOM_16838","APPL_617","Samsung","HW-Q800A/ZA","Unknown","No","Unknown","Unknown","Yes","Yes","No"
"SITE_1445","ROOM_38401","APPL_150519","Polk Audio","SIGNA S2","Unknown","Yes","Unknown","Unknown","Yes","No",NA
"SITE_146","ROOM_7111","APPL_145717","Samsung","HW-N95","2018","No","Unknown","Unknown","Yes","Yes","No"
"SITE_1462","ROOM_15392","APPL_34798","Polk Audio","DBRX1 SOUND BAR","Unknown","No","Unknown","No","Yes","Yes","No"
"SITE_1463","ROOM_43072","APPL_21979","Vizio","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","No",NA
"SITE_1464","ROOM_27461","APPL_151909","Vizio","SB2020N-G6","Unknown","No","No","No","Yes","No",NA
"SITE_147","ROOM_38909","APPL_160626","Bose","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"SITE_1471","ROOM_28575","APPL_163113","Bose","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","No"
"SITE_1473","ROOM_28283","APPL_85232","ONN","#100019624","Unknown","No","No","No","Yes","No",NA
"SITE_1474","ROOM_10639","APPL_132266","Vizio","Unknown","Unknown","Unknown","Unknown","No","Yes","No",NA
"SITE_1476","ROOM_35820","APPL_4821","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"SITE_1478","ROOM_24070","APPL_112689","Kitsch","R-10B","Unknown","No","Unknown","Unknown","Yes","No",NA
"SITE_1478","ROOM_9120","APPL_154149","Bose","VCS-10","Unknown","No","Unknown","Unknown","Yes","Yes","No"
"SITE_1478","ROOM_41532","APPL_44722","Sonos","S19","Unknown","No","Unknown","Yes","Yes","Yes","No"
"SITE_148","ROOM_40353","APPL_127671","Amazon","ALEXA","Unknown","No","Yes","Yes","No","No",NA
"SITE_1480","ROOM_18015","APPL_48475","Samsung","HW-MM55","Unknown","Yes","No","No","Yes","Yes","No"
"SITE_1486","ROOM_30124","APPL_21775","Bestisan","ST08","Unknown","No","Unknown","No","Yes","No",NA
"SITE_1487","ROOM_7414","APPL_71223","Vizio","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes"
"SITE_149","ROOM_23590","APPL_21949","Sony","SA-CT60","Unknown","No","No","No","Yes","No",NA
"SITE_1491","ROOM_46788","APPL_26568","ONN","#10002421","Unknown","No","Yes","No","Yes","No",NA
"SITE_1493","ROOM_16028","APPL_103479","Yamaha","ATS-1080","Unknown","No","Unknown","No","Yes","Yes","No"
"SITE_1498","ROOM_22258","APPL_90000","Bose","#418775","Unknown","No","Unknown","Unknown","Yes","No",NA
"SITE_150","ROOM_35575","APPL_12113","Samsung","HW-N550","2018","No","No","No","Yes","Yes","No"
"SITE_150","ROOM_35575","APPL_66429","NAD","AV713","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_150","ROOM_35575","APPL_6786","Sony","TC-WR535","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_150","ROOM_35575","APPL_127219","BIC","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1500","ROOM_13207","APPL_119783","Samsung","Unknown","Unknown","No","Unknown","Unknown","Yes","Unknown","Unknown"
"SITE_1504","ROOM_17867","APPL_5159","Vizio","SB2920-C6","Unknown","Yes","Yes","Unknown","Yes","No",NA
"SITE_1514","ROOM_21640","APPL_135430","Samsung","HW-H550/ZA","2014","No","Unknown","Unknown","Yes","Yes","Yes"
"SITE_1517","ROOM_8826","APPL_166633","Polk Audio","DBRX1","Unknown","No","Unknown","No","Yes","No",NA
"SITE_1518","ROOM_39088","APPL_110678","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","No",NA
"SITE_152","ROOM_4229","APPL_97216","Vizio","#10612170241","Unknown","No","No","No","Yes","Yes","No"
"SITE_152","ROOM_21353","APPL_157375","Definitive","Unknown","Unknown","No","No","No","Yes","Yes","No"
"SITE_1522","ROOM_8198","APPL_13264","Polk Audio","DSB1 SOUND BAR","Unknown","Yes","No","No","Yes","No",NA
"SITE_1525","ROOM_26734","APPL_20096","Polk Audio","Unknown","Unknown","No","No","No","Yes","No",NA
"SITE_1527","ROOM_8041","APPL_129641","Samsung","HW-M360","2017","Yes","Unknown","No","Yes","Yes","Unknown"
"SITE_1528","ROOM_1131","APPL_16080","Vizio","SB2920-C6","Unknown","Yes","No","No","Yes","No",NA
"SITE_153","ROOM_42521","APPL_83425","Bose","#404600","Unknown","No","No","No","No","No",NA
"SITE_1530","ROOM_34921","APPL_112426","JBL","CINEMA SB250","Unknown","No","Unknown","Unknown","Unknown","No",NA
"SITE_1532","ROOM_17513","APPL_110890","Polk Audio","DBRX1","Unknown","No","Unknown","Yes","Yes","No",NA
"SITE_1535","ROOM_25579","APPL_168880","Vizio","SB2920-D6","Unknown","Unknown","No","No","Yes","No",NA
"SITE_154","ROOM_8311","APPL_132199","LG","Unknown","2012","Unknown","No","No","Yes","Yes","Yes"
"SITE_1548","ROOM_5270","APPL_116319","Samsung","HW-F550","Unknown","Yes","No","No","Yes","Yes","No"
"SITE_1551","ROOM_18345","APPL_151718","Bose","Unknown","Unknown","Unknown","No","No","Yes","No",NA
"SITE_1555","ROOM_16933","APPL_70788","LG","Unknown","Unknown","Unknown","Unknown","No","Yes","Yes","No"
"SITE_1561","ROOM_44042","APPL_24580","Bose","#418775","Unknown","No","Yes","No","Yes","No",NA
"SITE_1562","ROOM_31242","APPL_68308","LG","SH3K","2017","No","Unknown","No","Yes","No",NA
