"SiteID","Outbuilding_Description","Outbuilding_Type","Is_Outbuilding_Occupied","Outbuilding_Occupants","Outbuilding_Sq_Ft","Outbuilding_Sq_Ft_is_Estimated","Outbuilding_Heating_Fuel_Type","Outbuilding_Heating_Fuel_Type_-_Other","Is_Outbuilding_Attached","Outbuilding_Meter_Shared_with_Home","Outbuilding_Meter_Shared_Type","Outbuilding_Meter_Shared_Type_-_Other"
"SITE_1118","Shed 2","Shed","No",NA,"16","Estimated","Unknown",NA,"No","No meter/No power",NA,NA
"SITE_1118","Shed 3","Shed","No",NA,"60","Estimated","Unknown",NA,"No","No meter/No power",NA,NA
"SITE_112","Shed","Shed","No",NA,"640",NA,"Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1121","Two car garage","Garage","No",NA,"Unknown",NA,"Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1121","Shed 1","Shed","No",NA,"Unknown",NA,"Unknown",NA,"No","No meter/No power",NA,NA
"SITE_1121","Shed 2","Shed","No",NA,"Unknown",NA,"Unknown",NA,"No","No meter/No power",NA,NA
"SITE_1122","Shed","Shed","No",NA,"130","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1122","Farm equipment","Other","No",NA,"1125","Measured or Known","Wood",NA,"No","No meter/No power",NA,NA
"SITE_1123","Garage","Garage","No",NA,"625","Estimated","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1123","Shop","Shop","No",NA,"1250","Estimated","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1124","Boathouse","Boat house","No",NA,"200","Estimated","None",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1126","Shed","Shed","No",NA,"288","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1126","Detached","Other","No",NA,"775","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric, Water",NA
"SITE_1127","Shed","Shed","No",NA,"36","Measured or Known","Wood",NA,"No","No meter/No power",NA,NA
"SITE_1128","Pool house","Pool house","No",NA,"240","Estimated","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1132","Storage","Other","No",NA,"50","Measured or Known","Wood",NA,"Yes","No meter/No power",NA,NA
"SITE_1133","Wood shop","Shop","No",NA,"240","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1133","Garage","Garage","No",NA,"792","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1133","Shed","Shed","No",NA,"80","Measured or Known","Unknown",NA,"No","No meter/No power",NA,NA
"SITE_1133","Greenhouse","Greenhouse","No",NA,"104","Measured or Known","Unknown",NA,"No","No meter/No power",NA,NA
"SITE_1134","Garage","Garage","No",NA,"1200","Estimated","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1134","Stove house","Other","No",NA,"100","Estimated","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1135","Garage","Garage","No",NA,"462","Measured or Known","Electric",NA,"Yes","Meter shared with main residence","Electric",NA
"SITE_1136","Shed","Shed","No",NA,"50","Estimated","Unknown",NA,"No","No meter/No power",NA,NA
"SITE_1138","Pump house","Pump Room","No",NA,"700","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1138","Garage","Garage","No",NA,"700","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1139","Greenhouse","Greenhouse","No",NA,"Unknown",NA,"Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1139","Shop","Shop","No",NA,"Unknown",NA,"Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1140","Barn","Barn","No",NA,"1032","Measured or Known","Electric",NA,"Yes","Meter shared with main residence","Electric",NA
"SITE_1140","Chicken coop","Coop","No",NA,"77","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1140","Goat shed","Shed","No",NA,"74","Measured or Known","Unknown",NA,"No","No meter/No power",NA,NA
"SITE_1140","Cistern","Other","No",NA,"47","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1140","Greenhouse","Greenhouse","No",NA,"85","Measured or Known","Unknown",NA,"No","No meter/No power",NA,NA
"SITE_1142","Sauna","Other","No",NA,"120","Estimated","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1143","Shed","Shed","No",NA,"Unknown",NA,"Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1144","Shed","Shed","No",NA,"112","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1147","Shed","Shed","No",NA,"Unknown",NA,"Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1147","Garage","Garage","No",NA,"Unknown",NA,"Unknown",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1149","Shed","Shed","No",NA,"180","Estimated","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_115","Garage","Garage","No",NA,"Unknown",NA,"Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1150","Garage","Garage","No",NA,"336","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1150","Garage 2","Garage","No",NA,"240","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1151","Garage","Garage","No",NA,"1728","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1153","Wood shed","Shed","No",NA,"196","Measured or Known","None",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1155","Shed","Shed","No",NA,"81","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1159","Shop","Shop","No",NA,"750","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1159","Barn","Barn","No",NA,"2000","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_116","Garage","Garage","No",NA,"360","Estimated","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1160","Barn","Barn","No",NA,"1440","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1160","Detatched garage","Garage","No",NA,"878","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1163","She-shed","Shed","No",NA,"96","Measured or Known","Unknown",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1163","Mancave","Other","No",NA,"372","Measured or Known","Unknown",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1167","Shed","Shed","No",NA,"Unknown",NA,"Wood",NA,"No","No meter/No power",NA,NA
"SITE_1167","Car port","Garage","No",NA,"Unknown",NA,"Wood",NA,"No","No meter/No power",NA,NA
