"SiteID","Mechanical_ID","Ventilation_Grade","Ventilation_Working","Ventilation_Controls","Ventilation_Use"
"SITE_1065","MECH_172445","Builder Grade","Yes","On/off","0"
"SITE_1068","MECH_13666","Builder Grade","Yes","On/off","0.25"
"SITE_1069","MECH_154512","Builder Grade","Yes","On/off","0"
"SITE_1069","MECH_173759","Builder Grade","Yes","On/off","0.17"
"SITE_1069","MECH_104709","Builder Grade","Yes","On/off","1"
"SITE_1069","MECH_65806","Builder Grade","Yes","On/off","0.25"
"SITE_107","MECH_92198","Builder Grade","Yes","On/off","1"
"SITE_1070","MECH_63909","Builder Grade","Yes","Unknown","Unknown"
"SITE_1071","MECH_173201","Builder Grade","Yes","On/off","0.5"
"SITE_1071","MECH_53117","Builder Grade","Yes","Manual thermostat - Analog","0"
"SITE_1071","MECH_17543","Builder Grade","Yes","On/off","0"
"SITE_1072","MECH_79324","Builder Grade","Yes","On/off","Unknown"
"SITE_1072","MECH_6921","Builder Grade","Yes","On/off","Unknown"
"SITE_1073","MECH_67706","Builder Grade","Yes","On/off","0.33"
"SITE_1073","MECH_71102","Builder Grade","Yes","On/off","0"
"SITE_1074","MECH_86293","Builder Grade","Yes","On/off","0"
"SITE_1076","MECH_70237","Builder Grade","Yes","On/off","1"
"SITE_1077","MECH_122513","Builder Grade","Yes","On/off","0"
"SITE_1077","MECH_26967","Builder Grade","Yes","On/off","0.5"
"SITE_1078","MECH_92917","Builder Grade","Yes","On/off","0"
"SITE_1078","MECH_37819","Builder Grade","Yes","On/off","0.5"
"SITE_1078","MECH_72708","Builder Grade","Yes","On/off","0"
"SITE_1079","MECH_103560","Builder Grade","Yes","On/off","0.17"
"SITE_108","MECH_161896","Builder Grade","Yes","Timer","Unknown"
"SITE_108","MECH_28372","Builder Grade","Yes","Timer","Unknown"
"SITE_108","MECH_156469","Panasonic or equivalent","Yes","Timer","Unknown"
"SITE_1080","MECH_90485","Builder Grade","Yes","On/off","0.25"
"SITE_1080","MECH_144560","Builder Grade","Yes","On/off","0.5"
"SITE_1081","MECH_55549","Builder Grade","Yes","On/off","0"
"SITE_1082","MECH_3978","Builder Grade","Yes","On/off","2"
"SITE_1083","MECH_34225","Builder Grade","Yes","On/off","0"
"SITE_1084","MECH_171313","Builder Grade","Yes","Timer","1"
"SITE_1084","MECH_158933","Builder Grade","Yes","Timer","0"
"SITE_1085","MECH_11826","Builder Grade","Yes","On/off","0"
"SITE_1086","MECH_95079","Builder Grade","Yes","On/off","0"
"SITE_1087","MECH_143900","Builder Grade","Yes","On/off","0.1"
"SITE_1087","MECH_62902","Builder Grade","Yes","On/off","0.5"
"SITE_1087","MECH_173242","Builder Grade","Yes","On/off","1"
"SITE_1087","MECH_69518","Builder Grade","Yes","On/off","1"
"SITE_1088","MECH_127020","Builder Grade","Yes","On/off","0.2"
"SITE_1088","MECH_77718","Builder Grade","Yes","Timer","1"
"SITE_109","MECH_173282","Builder Grade","Yes","On/off","24"
"SITE_109","MECH_109815","Builder Grade","Yes","On/off","24"
"SITE_109","MECH_90940","Builder Grade","Yes","On/off","1"
"SITE_109","MECH_171037","Builder Grade","Yes","On/off","1"
"SITE_1090","MECH_32245","Builder Grade","Yes","On/off","0"
"SITE_1091","MECH_13068","Builder Grade","Yes","On/off","1"
"SITE_1091","MECH_13068","Builder Grade","Yes","On/off","0.5"
"SITE_1091","MECH_54095","Builder Grade","Yes","On/off","0"
"SITE_1092","MECH_39922","Builder Grade","Yes","On/off","0"
"SITE_1092","MECH_173650","Builder Grade","Yes","On/off","1.5"
"SITE_1092","MECH_141280","Builder Grade","Yes","On/off","0.5"
"SITE_1093","MECH_100928","Builder Grade","Yes","On/off","2"
"SITE_1093","MECH_51956","Builder Grade","No","On/off","2"
"SITE_1094","MECH_118403","Builder Grade","Yes","On/off","0.25"
"SITE_1094","MECH_115411","Builder Grade","Yes","On/off","0.5"
"SITE_1094","MECH_114863","Builder Grade","Yes","On/off","0.01"
