"SiteID","Floor_Type","Floor_Area","Is_Space_Conditioned","Floor_Area_Is_Estimated","Perimeter","Perimeter_Is_Estimated","Type_of_Area_Below","Area_Below_Heated","Framing_Type","Framing_Size","Framing_Spacing","Framing_Spacing_Other","Crawlspace_Vents_Present","Crawlspace_Vents_Blocked","Basement_Percent_Below_Grade","Central_Heating_Equipment_in_Basement","Ducting_in_Basement","Slab_Heated","Slab_Insulated","Slab_Insulation_Position","Slab_Insulation_Type","Slab_Insulation_Thickness","Slab_Insulation_Condition","Slab_Insulation_Source","Slab_Insulation_Source_Other","Floor_Insulated","Floor_Insulation_Type","Floor_Insulation_Thickness","Floor_Insulation_Condition","Crawlspace_Walls_Insulated","Crawlspace_Wall_Insulation_Type","Crawlspace_Wall_Insulation_Condition","Crawlspace_Wall_Insulation_Thickness","Crawlspace_Wall_Insulation_Source","Crawlspace_Wall_Insulation_Source_Other","Crawlspace_Wall_Exteriors_Insulated","Crawlspace_Wall_Exterior_Insulation_Type","Crawlspace_Wall_Exterior_Insulation_Thickness","Crawlspace_Wall_Exterior_Insulation_Condition","Crawlspace_Wall_Exterior_Insulation_Source","Crawlspace_Wall_Exterior_Insulation_Source_Other","Basement_Floor_Above_Insulated","Basement_Floor_Above_Insulation_Type","Basement_Floor_Above_Insulation_Thickness","Basement_Floor_Above_Insulation_Condition","Floor_Above_Insulation_Source","Floor_Above_Insulation_Source_Other","Basement_Floor_Above_Insulation_Source","Basement_Floor_Above_Insulation_Source_Other","Floor_Insulation_U-Value","Floor_Insulation_R-Value","Floor_U-Value_for_Heat_Loss","Slab_F-Value_for_Heat_Loss","Floor_Heat_Loss_Rate_UA"
"SITE_1789","Basement","1092","Yes","Measured or Known","136","Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,"80","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0.73","62.56"
"SITE_179","Floor over other - Frame","1750",NA,"Estimated",NA,NA,"Residential Occupancy","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"SITE_179","Crawlspace","2200","No","Estimated","220","Unknown",NA,NA,"Post and Beam","2x6 or 4x6","24 inches on center",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1791","Floor over other - Frame","1005",NA,"Measured or Known",NA,NA,"Storage","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"SITE_1791","Basement","1005","No","Unknown","124","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,"75","Yes","Uninsulated","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0900696517412935","0.73","90.52"
"SITE_1792","Basement","2000","Yes","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,"90","Yes","Insulated","No","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0.73","Unknown"
"SITE_1793","Crawlspace","1044","No","Measured or Known","138","Measured or Known",NA,NA,"Unknown",NA,"Unknown",NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1794","Basement","606","Yes","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","No",NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0.73","Unknown"
"SITE_1795","Crawlspace","2536","No","Estimated","217","Estimated",NA,NA,"Joist","2x6 or 4x6","12 inches on center",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","6","1","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual inspection",NA,NA,NA,"0.0472056536206935","20.46","0.0472056536206935",NA,"119.713537582079"
"SITE_1795","Floor over other - Frame","1895",NA,"Measured or Known",NA,NA,"Residential Occupancy","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"SITE_1796","Crawlspace","Unknown","No",NA,"Unknown",NA,NA,NA,"Joist","2x12 or 4x12","16 inches on center",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","12","0.9","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual inspection",NA,NA,NA,"0.0445643909880442","36.828","Unknown",NA,"Unknown"
"SITE_1797","Crawlspace","1440","Yes","Unknown","194","Unknown",NA,NA,"Post and Beam","Unknown","Unknown",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,"0.9","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.229846494698528",NA,"0.229846494698528",NA,"330.978952365881"
"SITE_1798","Crawlspace","1050","No","Estimated","150","Measured or Known",NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_18","Basement","1107","Yes","Unknown","160","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,"60","Yes","Uninsulated","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"0.37538219070134",NA,"0","0.73","84.8"
"SITE_180","Crawlspace","1590","No","Measured or Known","188","Measured or Known",NA,NA,"Joist","2x8 or 4x8","16 inches on center",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","8","1","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual inspection",NA,NA,NA,"0.0372003006406628","27.28","0.0372003006406628",NA,"59.1484780186538"
"SITE_1800","Crawlspace","1328","No","Estimated","124","Unknown",NA,NA,"Post and Beam","2x6 or 4x6","16 inches on center",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","5.5","0.9","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual inspection",NA,NA,NA,"0.0669905829625723","16.8795","0.0669905829625723",NA,"88.963494174296"
"SITE_1802","Crawlspace","Unknown","No",NA,"Unknown",NA,NA,NA,"Post and Beam","2x6 or 4x6","16 inches on center",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","8","0.9","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual inspection",NA,NA,NA,"0.0546980683920504","24.552","Unknown",NA,"Unknown"
"SITE_1805","Crawlspace","880","No","Measured or Known","134","Unknown",NA,NA,NA,"2x6 or 4x6","24 inches on center",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1805","Floor over other - Frame","880",NA,"Measured or Known",NA,NA,"Storage","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"SITE_1806","Crawlspace","728","No","Measured or Known","108","Unknown",NA,NA,"Post and Beam","2x8 or 4x8","24 inches on center",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1807","Crawlspace","910","No","Estimated","120","Estimated",NA,NA,"Post and Beam","2x6 or 4x6","24 inches on center",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1809","Crawlspace","1500","No","Unknown","208","Measured or Known",NA,NA,"Joist","2x8 or 4x8","16 inches on center",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","7.5","0.75","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual inspection",NA,NA,NA,"0.0825905904358535","19.18125","0.0825905904358535",NA,"123.88588565378"
"SITE_181","Crawlspace","1215","No","Measured or Known","198","Measured or Known",NA,NA,"Post and Beam","2x8 or 4x8","Other","48 inches","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_181","Floor over other - Frame","810",NA,"Measured or Known",NA,NA,"Storage","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"SITE_1810","Crawlspace","1850","No","Measured or Known","255","Unknown",NA,NA,"Post and Beam","2x8 or 4x8","16 inches on center",NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1810","Slab","250",NA,"Measured or Known","64","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0.73","46.72"
"SITE_1811","Crawlspace","1040","No","Measured or Known","179","Unknown",NA,NA,"Joist","2x6 or 4x6","16 inches on center",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","5.5","0.5","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual inspection",NA,NA,NA,"0.13246912483231","9.3775","0.13246912483231",NA,"137.767889825602"
"SITE_1811","Floor over other - Slab","572",NA,"Measured or Known",NA,NA,"Garage","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"SITE_1812","Crawlspace","Unknown","No",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,"Unknown"
"SITE_1813","Crawlspace","Unknown","No",NA,"Unknown",NA,NA,NA,"Post and Beam","2x8 or 4x8","24 inches on center",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Expanded polystyrene foam board (white)","8","0.9","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual inspection",NA,NA,NA,"0.0504187486200287","29.88","Unknown",NA,"Unknown"
"SITE_1814","Floor over other - Frame","150.5",NA,"Measured or Known",NA,NA,"Garage","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"SITE_1814","Basement","990","Yes","Measured or Known","127.5","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,"80","Yes","Uninsulated","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","7.5","1",NA,NA,"IR Camera",NA,"0.0391006842619746","25.575","0","0.73","58.65"
"SITE_1815","Basement","1198","Yes","Measured or Known","140","Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,"50","Yes","Uninsulated","No","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"0.243711022272987",NA,"0","0.73","74.2"
"SITE_1816","Slab","1071",NA,"Unknown","190","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0.73","138.7"
"SITE_1817","Crawlspace","1026","No","Unknown","130","Unknown",NA,NA,"Unknown","Unknown","Unknown",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","3.5",NA,"Unknown",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual inspection",NA,NA,NA,"0.0859772453887405",NA,"0.0859772453887405",NA,"88.2126537688477"
"SITE_1817","Slab","610",NA,"Measured or Known","105","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0.73","76.65"
"SITE_1818","Crawlspace","Unknown","No",NA,"Unknown",NA,NA,NA,"Post and Beam","2x8 or 4x8","16 inches on center",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","8","0.9","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual inspection",NA,NA,NA,"0.0546980683920504","24.552","Unknown",NA,"Unknown"
"SITE_1819","Basement","1000","No","Measured or Known","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Yes","Uninsulated","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","0.73","Unknown"
"SITE_182","Slab","977",NA,"Estimated","23","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0.73","16.79"
"SITE_1820","Slab","496.3",NA,"Measured or Known","89.2","Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0.73","65.116"
"SITE_1820","Crawlspace","1198.6","No","Measured or Known","144.2","Measured or Known",NA,NA,"Joist","2x12 or 4x12","30 inches on center",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","10","0.9","Unknown",NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual inspection",NA,NA,NA,"0.0487459383800359","30.69","0.0487459383800359",NA,"58.4268817423111"
"SITE_1821","Floor over other - Frame","1882",NA,"Measured or Known",NA,NA,"Residential Occupancy","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"SITE_1821","Basement","1368","Yes","Estimated","144","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,"50","Yes","Uninsulated","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0.73","76.32"
"SITE_1822","Slab","693",NA,"Measured or Known","106","Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0.73","77.38"
"SITE_1822","Basement","2073","Yes","Measured or Known","203","Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,"50","Yes","Uninsulated","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"0.0730911012849704",NA,"0","0.73","107.59"
"SITE_1823","Floor over other - Frame","1072",NA,"Measured or Known",NA,NA,"Residential Occupancy","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"SITE_1823","Basement","1072","Yes","Unknown","134","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,"100","Yes","Uninsulated","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0.73","61.64"
"SITE_1824","Basement","1484","No","Measured or Known","138","Estimated",NA,NA,NA,NA,NA,NA,NA,NA,"90","Yes","Uninsulated","No","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0678840970350404","0.73","100.74"
"SITE_1825","Basement","1350","Yes","Measured or Known","154","Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,"75","Yes","Uninsulated","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"0.319804964539007",NA,"0","0.73","70.84"
"SITE_1826","Slab","Unknown",NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0.73","Unknown"
"SITE_1827","Crawlspace","1016","No","Estimated","128","Estimated",NA,NA,"Post and Beam","2x6 or 4x6","24 inches on center",NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","6","0.9","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual inspection",NA,NA,NA,"0.0638650043593839","18.414","0.0638650043593839",NA,"64.886844429134"
"SITE_1828","Crawlspace","1150","No","Measured or Known","146","Measured or Known",NA,NA,"Post and Beam","2x10 or 4x10","24 inches on center",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","6","0.9","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual inspection",NA,NA,NA,"0.0638650043593839","18.414","0.0638650043593839",NA,"73.4447550132915"
"SITE_1829","Slab","1300",NA,"Measured or Known","154","Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0.73","112.42"
"SITE_183","Crawlspace","823","No","Measured or Known","126","Measured or Known",NA,NA,"Post and Beam","2x8 or 4x8","16 inches on center",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","8","1","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","Input from homeowner",NA,NA,"0.0372003006406628","27.28","0.0372003006406628",NA,"30.6158474272655"
"SITE_183","Floor over other - Frame","150",NA,"Measured or Known",NA,NA,"Garage","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"SITE_1830","Crawlspace","700","No","Measured or Known","120","Estimated",NA,NA,"Joist","2x10 or 4x10","16 inches on center",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","10","0.9","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual inspection",NA,NA,NA,"0.0325839035516455","30.69","0.0431427684097103",NA,"30.1999378867972"
"SITE_1831","Slab","756",NA,"Measured or Known","112","Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0.73","81.76"
"SITE_1831","Crawlspace","3027","No","Measured or Known","220","Estimated",NA,NA,"Post and Beam","2x12 or 4x12","24 inches on center",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","12",NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","Unable to enter",NA,NA,"0.0445643909880442",NA,"0.0445643909880442",NA,"134.89641152081"
"SITE_1832","Floor over other - Frame","984",NA,"Measured or Known",NA,NA,"Garage","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","5","0.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IR Camera",NA,NA,NA,"0.065167807103291","15.345","0",NA,"64.1251221896383"
"SITE_1832","Floor over other - Frame","675",NA,"Measured or Known",NA,NA,"Residential Occupancy","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"SITE_1832","Crawlspace","3457","No","Measured or Known","285","Unknown",NA,NA,"Post and Beam","2x10 or 4x10","24 inches on center",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","9.5","1","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual inspection",NA,NA,NA,"0.0308689612594536","32.395","0.0272619553000768",NA,"94.2445794723654"
"SITE_1833","Floor over other - Frame","Unknown",NA,NA,NA,NA,"Residential Occupancy","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Open-cell spray foam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"Unknown"
"SITE_1833","Cantilever","Unknown",NA,"Estimated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"Unknown"
"SITE_1833","Crawlspace","1920","No","Measured or Known","184","Unknown",NA,NA,"Joist","2x6 or 4x6","16 inches on center",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Open-cell spray foam",NA,NA,"No",NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.109688463789372",NA,"210.601850475594"
"SITE_1834","Basement","1572","No","Measured or Known","183","Estimated",NA,NA,NA,NA,NA,NA,NA,NA,"100","Yes","Uninsulated","No","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0849809160305344","0.73","133.59"
"SITE_1835","Crawlspace","1843","No","Unknown","180","Unknown",NA,NA,"Post and Beam","2x12 or 4x12","24 inches on center",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","12","0.9","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual inspection",NA,NA,NA,"0.0445643909880442","36.828","0.0445643909880442",NA,"82.1321725909654"
