"SiteID","RoomID","ApplianceID","TV_Screen_Type","TV_Screen_Type_Other","Make","Make_Other","Model","Vintage","Energy_Star","Primary","TV_Screen_Surface","TV_Resolution","Size","Size_Is_Estimated","Wattage","Wattage_Is_Estimated","TV_Wifi","TV_Qty_of_Streaming_Devices","TV_Qty_of_External_Media_Devices","STB_Present","DVR_Present","Room_Type"
"SITE_1942","ROOM_1859","APPL_124195","LCD – LED",NA,"Vizio",NA,"P65-C1","Unknown","Unknown","Primary","Flat","UHD (4080p) – 4K","65","Measured or Known","122","Measured or Known","Yes","2","Unknown","No","No","Living Room"
"SITE_1943","ROOM_5999","APPL_40912","LCD – LED",NA,"Samsung",NA,"UN43NU6950F","2018","No","Primary","Flat","UHD (4080p) – 4K","55","Measured or Known","90","Measured or Known","Yes","1","1","Yes","No","Living Room"
"SITE_1943","ROOM_39585","APPL_86474","LCD – Fluorescent",NA,"Vizio",NA,"E371VA","2010","No","Secondary","Flat","FHD (1080p)","37","Measured or Known","Unknown","Unknown","No","0","0","Yes","No","Bedroom"
"SITE_1944","ROOM_3070","APPL_172276","LCD – LED",NA,"Vizio",NA,"E400I-B2","Unknown","No","Primary","Flat","High Definition (720p)","32","Measured or Known","Unknown","Unknown","No","Unknown","1","No","No","Family Room"
"SITE_1946","ROOM_12405","APPL_1086","LCD – LED",NA,"TCL",NA,"55S421","2018","No","Primary","Flat","Unknown","55","Measured or Known","Unknown","Unknown","Yes","0","1","Yes","No","Living Room"
"SITE_1946","ROOM_30657","APPL_147122","Unknown",NA,"Vizio",NA,"E390-B0","Unknown","Unknown","Secondary","Flat","Unknown","39","Measured or Known","Unknown","Unknown","No","0","0","Yes","No","Bedroom"
"SITE_1947","ROOM_15398","APPL_56708","LCD – LED",NA,"Samsung",NA,"QN82Q6DTAF","Unknown","No","Secondary","Flat","Unknown","80","Measured or Known","260","Measured or Known","Unknown","0","0","No","No","Basement"
"SITE_1947","ROOM_15398","APPL_117233","Unknown",NA,"LG",NA,"32LJ500B-UB","2018","No","Used less","Flat","Unknown","32","Measured or Known","55","Measured or Known","Yes","0","1","Yes","No","Basement"
"SITE_1947","ROOM_25108","APPL_12888","LCD – LED",NA,"Samsung",NA,"UN60F6350","2013","No","Primary","Flat","Unknown","52","Estimated","182","Measured or Known","Unknown","0","0","No","No","Family Room"
"SITE_1947","ROOM_15735","APPL_132700","LCD – LED",NA,"TCL",NA,"65S433","2021","Unknown","All used about the same","Flat","UHD (4080p) – 4K","64","Measured or Known","160","Estimated","Yes","1","0","No","No","Bedroom"
"SITE_1948","ROOM_16839","APPL_3720","LCD – LED",NA,"Hitachi",NA,"Unknown","2016","Unknown","Primary","Flat","High Definition (720p)","50","Measured or Known","100","Estimated","Yes","0","0","No","No","Family Room"
"SITE_1948","ROOM_22797","APPL_81727","LCD – LED",NA,"Insignia",NA,"NS-32D311NA17","2016","No","Secondary","Flat","High Definition (720p)","32","Measured or Known","50","Measured or Known","Yes","0","1","No","No","Bedroom"
"SITE_1949","ROOM_30528","APPL_47","LCD – LED",NA,"Nexus",NA,"NX2404L/C1Z1","Unknown","Unknown","Secondary","Flat","High Definition (720p)","24","Unknown","75","Estimated","Yes","1","0","No","No","Bedroom"
"SITE_1949","ROOM_19786","APPL_4634","LCD – LED",NA,"Sanyo",NA,"Unknown","Unknown","Unknown","Primary","Flat","High Definition (720p)","47","Measured or Known","200","Estimated","Yes","0","2","No","No","Family Room"
"SITE_1949","ROOM_3391","APPL_42630","LCD – LED",NA,"Nexus",NA,"NX2404L/C3Z1","Unknown","No","Used less","Flat","High Definition (720p)","24","Measured or Known","110","Estimated","Yes","0","0","No","No","Bedroom"
"SITE_195","ROOM_8957","APPL_96492","LCD – LED",NA,"LG",NA,"Unknown","Unknown","Unknown","Primary","Flat","Unknown","41","Measured or Known","Unknown","Unknown","No","1","1","No","No","Living Room"
"SITE_195","ROOM_40360","APPL_164277","LCD – Fluorescent",NA,"Dynex",NA,"Unknown","Unknown","Unknown","Primary","Flat","Unknown","31","Measured or Known","Unknown","Unknown","No","1","0","No","No","Bedroom"
"SITE_195","ROOM_16427","APPL_109365","LCD – LED",NA,"Insignia",NA,"Unknown","Unknown","Yes","Secondary","Flat","Unknown","31","Measured or Known","Unknown","Unknown","No","0","0","No","No","Bedroom"
"SITE_1950","ROOM_40835","APPL_132313","LCD – LED",NA,"HiSense",NA,"50K2203WUS","Unknown","No","Primary","Flat","FHD (1080p)","50","Measured or Known","Unknown","Unknown","No","Unknown","1","No","No","Living Room"
"SITE_1950","ROOM_22870","APPL_53018","LCD – LED",NA,"Samsung",NA,"Unknown","Unknown","No","Secondary","Flat","High Definition (720p)","32","Unknown","Unknown","Unknown","No","Unknown","1","No","No","Bedroom"
"SITE_1952","ROOM_22612","APPL_25543","LCD – LED",NA,"Vizio",NA,"VO400E","Unknown","Yes","Primary","Flat","FHD (1080p)","40","Measured or Known","120","Estimated","No","0","1","No","No","Living Room"
"SITE_1952","ROOM_38605","APPL_67275","LCD – LED",NA,"Vizio",NA,"E321V2","Unknown","Yes","Secondary","Flat","High Definition (720p)","32","Measured or Known","80","Estimated","No","Unknown","1","No","No","Other"
"SITE_1953","ROOM_44654","APPL_95310","LCD – LED",NA,"Samsung",NA,"LN32C350D1DXZA","Unknown","No","Used less","Flat","FHD (1080p)","32","Measured or Known","60","Estimated","No","0","0","Yes","No","Bedroom"
"SITE_1953","ROOM_42214","APPL_127716","LCD – LED",NA,"Toshiba",NA,"32C120U1","2012","No","Secondary","Flat","High Definition (720p)","32","Measured or Known","150","Measured or Known","No","0","0","Yes","No","Bedroom"
"SITE_1953","ROOM_1999","APPL_30567","LCD – LED",NA,"Seiki",NA,"SE50FY33","Unknown","No","Primary","Flat","UHD (4080p) – 4K","50","Measured or Known","130","Measured or Known","Yes","0","1","Yes","No","Living Room"
"SITE_1954","ROOM_10593","APPL_13458","Unknown",NA,"Samsung",NA,"Unknown","Unknown","Unknown","Primary","Flat","Unknown","64","Measured or Known","Unknown","Unknown","Unknown","1","1","Yes","No","Kitchen"
"SITE_1955","ROOM_22648","APPL_165744","LCD – LED",NA,"Samsung",NA,"Unknown","Unknown","No","Primary","Flat","Unknown","55","Estimated","Unknown","Unknown","No","0","0","Yes","No","Living Room"
"SITE_1956","ROOM_25302","APPL_78720","LCD – LED",NA,"HiSense",NA,"Unknown","Unknown","Unknown","Primary","Flat","Unknown","48","Measured or Known","Unknown","Unknown","Yes","Unknown","1","No","No","Living Room"
"SITE_1958","ROOM_28079","APPL_115926","LCD – LED",NA,"HiSense",NA,"55A6104EUR G1928G4","Unknown","No","Primary","Flat","Unknown","55","Measured or Known","Unknown","Unknown","Yes","0","0","Yes","No","Living Room"
"SITE_1958","ROOM_34416","APPL_58847","LCD – Fluorescent",NA,"Toshiba",NA,"37HL67","2007","No","Used less","Flat","Unknown","37","Measured or Known","116","Measured or Known","No","0","0","No","No","Bedroom"
"SITE_1958","ROOM_13137","APPL_76221","LCD – LED",NA,"TCL",NA,"50S431","Unknown","No","Secondary","Flat","Unknown","55","Measured or Known","95","Measured or Known","Yes","0","0","Yes","No","Bedroom"
"SITE_1958","ROOM_25069","APPL_170624","LCD – LED",NA,"Other","CARPO","Unknown","Unknown","No","Primary","Flat","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","1","1","No","No","Bedroom"
"SITE_196","ROOM_9605","APPL_99966","LCD – LED",NA,"Samsung",NA,"Unknown","Unknown","No","Used less","Flat","High Definition (720p)","55","Measured or Known","Unknown","Unknown","No","0","0","No","No","Garage"
