"SiteID","Performed_Conservation_Measures_on_Their_Own_in_Last_2_Years","Participated_in_Utility_Conservation_Program_in_Last_2_Years","Received_Tax_Credit_for_Conservation","Federal_Tax_Credit","State_Tax_Credit","Other_Tax_Credit","Conservation_Air_Sealing","Conservation_Energy_Audit","Conservation_Cooling_Equipment","Conservation_Door_Replacement","Conservation_Heating_Equipment","Conservation_Lighting","Conservation_Major_Appliance","Conservation_Major_Appliance_Type","Conservation_Replacement_Windows","Conservation_Showerhead","Conservation_Water_Heating","Conservation_Weatherization","Conservation_Ceiling_Insulation","Conservation_Duct_Insulation","Conservation_Duct_Sealing","Conservation_Floor_Insulation","Conservation_Wall_Insulation"
"SITE_1438","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1439","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_144","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No",NA,"No","No","Yes","No","No","No","No","No","No"
"SITE_1440","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1441","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1442","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1443","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1444","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1445","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Clothes Washer, Dryer","No","No","No","No","No","No","No","No","No"
"SITE_1446","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1447","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1448","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1449","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_145","Yes","No","Yes","No","Yes","No","No","No","Yes","No","Yes","Yes","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1450","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1451","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1452","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1453","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1454","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1455","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Refrigerator / Freezer, Dishwasher","No","No","Yes","No","No","No","No","No","No"
"SITE_1456","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No",NA,"No","No","Yes","No","No","No","No","No","No"
"SITE_1457","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1458","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","No","No","No","No","No",NA,"Yes","No","No","No","No","No","No","No","No"
"SITE_1459","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_146","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No",NA,"No","No","Yes","No","No","No","No","No","No"
"SITE_1460","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1461","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","No",NA,"Yes","No","No","No","No","No","No","No","Yes"
"SITE_1462","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1463","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,"Yes","No","No","No","No","No","No","No","No"
"SITE_1464","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1465","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1466","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1467","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1468","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","No",NA,"No","No","Yes","No","No","Yes","No","No","No"
"SITE_1469","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","No",NA,"Yes","No","No","No","Yes","No","No","Yes","Yes"
"SITE_147","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1470","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1471","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1472","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1473","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1474","Yes","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Dishwasher, Refrigerator / Freezer, Clothes Washer, Dryer, Stove / Oven","No","No","No","No","No","No","No","Yes","No"
"SITE_1475","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1476","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1477","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1478","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","Yes","No","Yes","No","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1479","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_148","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1480","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Clothes Washer, Dryer, Dishwasher","No","No","No","No","No","No","No","No","No"
"SITE_1481","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,"Yes","No","No","No","No","No","No","No","No"
"SITE_1482","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1483","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","Yes","Refrigerator / Freezer","Yes","No","Yes","No","No","No","No","No","No"
"SITE_1484","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1485","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1486","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,"Yes","Yes","No","No","No","No","No","No","Yes"
"SITE_1487","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1488","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1489","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,"Yes","No","No","No","No","No","No","Yes","Yes"
"SITE_149","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1490","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1491","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1492","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1493","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","No","No","No","No","No",NA,"Yes","No","No","No","No","No","No","No","No"
"SITE_1494","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1495","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1496","Yes","No","Yes","No","Yes","No","No","No","Yes","No","Yes","No","Yes","Refrigerator / Freezer, Dishwasher, Dryer, Stove / Oven, Clothes Washer","Yes","No","No","No","Yes","No","No","Yes","Yes"
"SITE_1497","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1498","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1499","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_15","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_150","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","No","No","No","No","No",NA,"No","No","No","No","Yes","No","No","No","No"
"SITE_1500","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1501","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1502","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Stove / Oven","No","No","No","No","No","No","No","No","No"
"SITE_1503","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1504","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1505","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1506","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1507","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1509","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_151","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No",NA,"No","No","Yes","No","No","No","No","No","No"
"SITE_1510","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1511","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1512","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1513","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1514","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","Yes","No","Yes","Yes","Yes","Clothes Washer","No","No","No","No","No","No","No","No","No"
"SITE_1515","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,"Yes","No","No","No","No","No","No","No","No"
"SITE_1516","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","No",NA,"Yes","No","No","No","No","No","No","No","No"
"SITE_1517","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1518","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1519","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","No",NA,"No","No","Yes","No","No","No","No","No","No"
"SITE_152","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1520","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1521","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1522","Yes","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Clothes Washer, Dryer, Refrigerator / Freezer, Stove / Oven, Dishwasher, Other","Yes","No","No","No","No","No","No","No","No"
"SITE_1523","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1524","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1525","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1526","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1527","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1528","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","No",NA,"No","No","Yes","No","No","No","No","No","No"
"SITE_1529","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_153","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No",NA,"No","No","No","No","Yes","No","No","No","Yes"
"SITE_1530","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","Yes","Refrigerator / Freezer, Dishwasher, Clothes Washer, Dryer","No","Yes","Yes","No","No","No","No","No","No"
"SITE_1531","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1532","Yes","No","Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","Dishwasher","Yes","No","No","No","No","No","No","No","Yes"
"SITE_1533","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1534","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1535","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1536","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1537","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1538","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,"Yes","No","No","No","No","No","No","No","No"
"SITE_1539","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_154","Yes","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Clothes Washer","No","No","No","No","No","No","No","No","No"
"SITE_1540","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1541","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Dishwasher, Stove / Oven","Yes","No","No","No","Yes","No","No","Yes","Yes"
"SITE_1542","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","No",NA,"No","No","No","No","Yes","No","No","No","No"
"SITE_1543","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1544","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1545","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1546","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1547","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No",NA,"Yes","No","No","No","No","No","No","No","No"
"SITE_1548","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1549","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","No","No","Yes","No","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_155","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1550","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","No","No","Yes","No","No",NA,"No","No","Yes","No","No","No","No","No","No"
"SITE_1551","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1552","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1553","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1554","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","Yes","Refrigerator / Freezer, Dryer, Clothes Washer","No","No","No","No","No","No","No","No","No"
"SITE_1555","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1556","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1557","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1558","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1559","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_156","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1560","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1561","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1562","Yes","No","Yes","Yes","No","No","No","No","Yes","No","Yes","No","Yes","Refrigerator / Freezer, Stove / Oven, Dishwasher, Other, Clothes Washer, Dryer","Yes","Yes","No","No","No","No","No","No","No"
"SITE_1563","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1564","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No",NA,"No","No","Yes","No","No","No","No","No","No"
"SITE_1565","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","No","No","No","No","Yes","Dishwasher, Clothes Washer, Refrigerator / Freezer","No","No","No","No","No","No","No","No","No"
"SITE_1566","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1567","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1568","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_157","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Clothes Washer, Dryer","No","No","No","No","No","No","No","No","No"
"SITE_1571","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1572","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1573","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1574","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No",NA,"No","No","Yes","No","No","No","No","No","No"
"SITE_1575","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","No","No","No","No","Yes","Clothes Washer, Dryer","No","No","No","No","No","No","No","No","No"
"SITE_1576","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","No","No","No","No","Yes","Refrigerator / Freezer","No","No","No","No","No","No","No","No","No"
"SITE_1577","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,"Yes","No","No","No","No","No","No","No","No"
"SITE_1578","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1579","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","No","No","No","No","Yes","Refrigerator / Freezer, Stove / Oven","No","No","No","No","No","No","No","No","No"
"SITE_158","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1580","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_1581","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1582","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","No",NA,"No","No","Yes","No","No","No","No","No","No"
"SITE_1583","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1584","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1585","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,"Yes","No","No","No","Yes","No","No","No","Yes"
"SITE_1586","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","No","No","No","No","No",NA,"Yes","No","No","No","Yes","No","No","No","No"
"SITE_1587","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1588","Yes","No","No","No","No","No","No","No","No","No","Yes","No","Yes","Dishwasher","No","No","Yes","No","No","No","No","No","No"
"SITE_1589","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_159","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1590","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1592","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","No","No","Yes","No","No",NA,"Yes","No","Yes","No","No","No","No","No","No"
"SITE_1593","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1594","Yes","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Stove / Oven","No","No","No","No","No","No","No","No","No"
"SITE_1595","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1596","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1597","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,"Yes","No","No","No","No","No","No","No","No"
"SITE_1598","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,"Yes","No","No","No","No","No","No","No","No"
"SITE_1599","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,"No","No","No","No","Yes","No","No","No","No"
"SITE_16","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_160","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","No","No","Yes","No","No",NA,"No","No","Yes","No","Yes","No","No","No","Yes"
"SITE_1600","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1601","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","No",NA,"Yes","No","No","No","No","No","No","Yes","No"
"SITE_1602","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1603","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1604","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1605","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Refrigerator / Freezer","No","No","No","No","No","No","No","No","No"
"SITE_1606","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No",NA,"Yes","No","No","No","Yes","No","No","No","No"
"SITE_1607","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1608","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
