"SiteID","Performed_Conservation_Measures_on_Their_Own_in_Last_2_Years","Participated_in_Utility_Conservation_Program_in_Last_2_Years","Received_Tax_Credit_for_Conservation","Federal_Tax_Credit","State_Tax_Credit","Other_Tax_Credit","Conservation_Air_Sealing","Conservation_Energy_Audit","Conservation_Cooling_Equipment","Conservation_Door_Replacement","Conservation_Heating_Equipment","Conservation_Lighting","Conservation_Major_Appliance","Conservation_Major_Appliance_Type","Conservation_Replacement_Windows","Conservation_Showerhead","Conservation_Water_Heating","Conservation_Weatherization","Conservation_Ceiling_Insulation","Conservation_Duct_Insulation","Conservation_Duct_Sealing","Conservation_Floor_Insulation","Conservation_Wall_Insulation"
"SITE_333","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_334","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_335","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_336","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,"No","No","No","No","No","No","No","No","No"
"SITE_337","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","No","No","Yes","Yes","Yes","Dishwasher, Stove / Oven","Yes","No","Yes","No","No","No","No","No","No"
"SITE_338","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_339","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,"No","No","No","No","Yes","Yes","Yes","Yes","No"
"SITE_34","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_340","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_341","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_342","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_343","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No",NA,"No","No","Yes","No","No","No","No","No","No"
"SITE_344","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_345","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_346","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_347","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_348","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
