"SiteID","RoomID","ApplianceID","Type","Make","Make_Other","Vintage","Model","Energy_Star","Primary_Computer","Computer_Wifi","Internet_Access","Computer_Number_of_Screens","Computer_Primary_External_Monitor","Primary_Monitor_Size","Primary_Monitor_Size_Is_Estimated","Primary_Monitor_Type","Secondary_Monitor_External","Secondary_Monitor_Size","Secondary_Monitor_Size_Is_Estimated","Secondary_Monitor_Type","Third_Monitor_Size","Third_Monitor_Size_Is_Estimated","Computer_Printer","Computer_External_Drive","Computer_Number_of_Modems_Routers_Switches","Computer_Number_of_Other_Accessories","Computer_Other_Accessory_Description","Computer_In_single_strip","Computer_Uninterruptible_Power","Uninterruptible_Power_Size_kW","Room_Type","Computer_Hours_of_Use","Computer_Is_Left_On"
"SITE_1392","ROOM_21846","APPL_119239","Laptop","HP",NA,"Unknown","HSN-143C","No","Yes","Yes","Yes","1","No","13","Measured or Known","Unknown",NA,NA,NA,NA,NA,NA,"Yes","No","0","0",NA,"No","No","Unknown","Office","3","Yes"
"SITE_1392","ROOM_21846","APPL_141371","Laptop","HP",NA,"Unknown","15-EF1003DS","No","No","Yes","Yes","1","No","15","Measured or Known","Unknown",NA,NA,NA,NA,NA,NA,"Yes","No","0","0",NA,"No","No","Unknown","Office","3","No"
"SITE_1393","ROOM_41297","APPL_71107","Integrated","Apple",NA,"Unknown","Unknown","Unknown","No","Yes","Yes","1","No","25","Measured or Known","LCD – LED",NA,NA,NA,NA,NA,NA,"Yes","No","1","2","Keyboard,  mouse","No","No","Unknown","Bedroom","1","No"
"SITE_1393","ROOM_46385","APPL_126104","Integrated","Dell",NA,"Unknown","Unknown","Unknown","Yes","Yes","Yes","2","No","28","Estimated","LCD – LED","Yes","26","Estimated","LCD – LED",NA,NA,"Yes","Unknown","1","2","Keyboard,  mouse","Unknown","No","Unknown","Office","6","No"
"SITE_1394","ROOM_15983","APPL_44098","Desktop","Dell",NA,"Unknown","Unknown","No","Yes","Yes","Yes","1","Yes","17","Measured or Known","LCD – LED",NA,NA,NA,NA,NA,NA,"Yes","Yes","1","2","Mouse,  keyboard","No","No","Unknown","Bedroom","1","No"
"SITE_1395","ROOM_9172","APPL_39609","Desktop","Antec",NA,"Unknown","Unknown","No","Yes","No","Yes","2","Yes","27","Measured or Known","Unknown","Yes","24","Measured or Known","Unknown",NA,NA,"Yes","No","1","3","Mouse, keyboard, speaker","No","Yes","1","Bedroom","4","Yes"
"SITE_1395","ROOM_41157","APPL_93632","Laptop","HP",NA,"Unknown","ENVY","Unknown","Yes","Yes","Yes","1","No","17","Measured or Known","Unknown",NA,NA,NA,NA,NA,NA,"No","No","1","3","Mouse, keyboard, speaker","No","Yes","0.625","Living Room","3","Yes"
"SITE_1396","ROOM_220","APPL_13428","Integrated","ASUS",NA,"Unknown","Unknown","Unknown","Yes","Unknown","Yes","1","No","24","Measured or Known","Unknown",NA,NA,NA,NA,NA,NA,"Yes","Yes","2","2","Mouse,  keyboard","Yes","No","Unknown","Office","2","Yes"
"SITE_1396","ROOM_220","APPL_160360","Laptop","Microsoft",NA,"Unknown","Unknown","Unknown","No","Yes","Yes","2","Yes","24","Measured or Known","Unknown","No","14","Measured or Known","Unknown",NA,NA,"Yes","Yes","1","2","Mouse,  keyboard","Yes","No","Unknown","Office","1","No"
"SITE_1396","ROOM_44162","APPL_77907","Desktop","Unknown",NA,"Unknown","Unknown","No","Yes","Unknown","Yes","2","Yes","50","Measured or Known","Unknown","Yes","24","Measured or Known","LCD – LED",NA,NA,"No","No","1","3","Mouse,  keyboard,  speakers","No","No","Unknown","Bedroom","6","Yes"
"SITE_1397","ROOM_36848","APPL_135491","Laptop","Google",NA,"Unknown","Unknown","No","Yes","Yes","Yes","1","No","14","Measured or Known","LCD – LED",NA,NA,NA,NA,NA,NA,"No","No","0","0",NA,"No","No","Unknown","Bedroom","5","No"
"SITE_1399","ROOM_783","APPL_9604","Integrated","Apple",NA,"Unknown","MACBOOK","No","Yes","Yes","Yes","1","No","26","Measured or Known","LCD – LED",NA,NA,NA,NA,NA,NA,"Yes","No","0","0",NA,"No","No","Unknown","Office","1","No"
"SITE_14","ROOM_9150","APPL_80353","Laptop","HP",NA,"Unknown","15-DW0083WM","No","Yes","Yes","Yes","1","No","17","Measured or Known","LCD – Fluorescent",NA,NA,NA,NA,NA,NA,"Yes","No","Unknown","Unknown","Unknown","No","No","Unknown","Living Room","9","Yes"
"SITE_1400","ROOM_37464","APPL_134138","Laptop","Apple",NA,"Unknown","A1466","No","Yes","Yes","Yes","1","No","13","Measured or Known","LCD – LED",NA,NA,NA,NA,NA,NA,"Yes","No","2","0",NA,"No","No","Unknown","Living Room","2","No"
"SITE_1402","ROOM_10823","APPL_55873","Laptop","Dell",NA,"Unknown","P26E","No","Yes","Yes","Yes","1","No","17","Measured or Known","Unknown",NA,NA,NA,NA,NA,NA,"Yes","Yes","1","1","Mouse","Yes","No","Unknown","Bedroom","1","Unknown"
"SITE_1403","ROOM_8639","APPL_102731","Laptop","Dell",NA,"2019","P29S","No","Yes","Yes","Yes","3","No","14","Measured or Known","LCD – LED","Yes","24","Measured or Known","LCD – LED","24","Measured or Known","Yes","No","2","2","Mouse,  keyboard","No","No","Unknown","Office","8","Yes"
"SITE_1404","ROOM_3701","APPL_170772","Laptop","Lenovo",NA,"Unknown","IDEAPAD FLEX 5 15ITL05","No","Yes","Yes","Yes","1","No","16","Measured or Known","LCD – LED",NA,NA,NA,NA,NA,NA,"Yes","Yes","1","2","Mouse,  keyboard","Yes","No","Unknown","Office","6","No"
"SITE_1404","ROOM_3701","APPL_103538","Laptop","Lenovo",NA,"Unknown","THINKPAD","No","No","Yes","Yes","1","No","12","Measured or Known","LCD – LED",NA,NA,NA,NA,NA,NA,"Yes","Yes","1","1","Mouse","No","No","Unknown","Office","6","No"
"SITE_1405","ROOM_20242","APPL_30192","Laptop","Dell",NA,"Unknown","INSPIRON 15","No","No","Yes","Yes","1","No","17","Measured or Known","LCD – LED",NA,NA,NA,NA,NA,NA,"No","No","0","2","Mouse,  headset","No","No","Unknown","Living Room","1","Yes"
"SITE_1405","ROOM_19810","APPL_49333","Integrated","HP",NA,"Unknown","Unknown","No","Yes","Yes","Yes","1","No","24","Measured or Known","Unknown",NA,NA,NA,NA,NA,NA,"No","No","0","6","Mouse,  keyboard,  speakers,  webcam,  microphone,  light","No","No","Unknown","Bedroom","10","No"
"SITE_1406","ROOM_2435","APPL_3182","Desktop","ASUS",NA,"Unknown","Unknown","No","No","Unknown","Yes","1","Yes","22","Measured or Known","Unknown",NA,NA,NA,NA,NA,NA,"No","Yes","0","4","Mouse,  keyboard,  speakers,  webcam","Yes","No","Unknown","Living Room","1","No"
"SITE_1406","ROOM_501","APPL_154763","Laptop","HP",NA,"Unknown","15M-ED1013DX","No","No","Yes","Yes","1","No","16","Measured or Known","LCD – LED",NA,NA,NA,NA,NA,NA,"No","No","0","1","Mouse","No","No","Unknown","Bedroom","2","No"
"SITE_1406","ROOM_6342","APPL_155470","Laptop","Acer",NA,"Unknown","Unknown","No","No","Yes","Yes","1","No","16","Estimated","LCD – LED",NA,NA,NA,NA,NA,NA,"No","No","0","1","Mouse","No","No","Unknown","Bedroom","2","No"
"SITE_1406","ROOM_501","APPL_54938","Laptop","Lenovo",NA,"Unknown","YOGA 715ITL5","No","Yes","Yes","Yes","1","No","14","Measured or Known","LCD – LED",NA,NA,NA,NA,NA,NA,"No","No","0","1","Mouse","No","No","Unknown","Bedroom","2","No"
"SITE_1407","ROOM_32500","APPL_147842","Laptop","Lenovo",NA,"Unknown","Unknown","No","Yes","Yes","Yes","1","No","17","Measured or Known","LCD – Fluorescent",NA,NA,NA,NA,NA,NA,"No","No","2","0",NA,"No","No","Unknown","Living Room","7","Yes"
"SITE_1409","ROOM_35903","APPL_156785","Laptop","Dell",NA,"Unknown","Unknown","Unknown","Yes","Yes","Yes","1","No","16","Measured or Known","Unknown",NA,NA,NA,NA,NA,NA,"Unknown","No","1","2","Mouse, keyboard","No","No","Unknown","Bedroom","8","Yes"
"SITE_1409","ROOM_25030","APPL_31041","Laptop","Apple",NA,"Unknown","Unknown","Unknown","Yes","Yes","Yes","1","No","15","Measured or Known","Unknown",NA,NA,NA,NA,NA,NA,"No","No","1","0",NA,"No","No","Unknown","Kitchen","1","No"
"SITE_141","ROOM_38014","APPL_144181","Desktop","Dell",NA,"2015","Unknown","No","No","Yes","Yes","1","Yes","23","Measured or Known","LCD – LED",NA,NA,NA,NA,NA,NA,"No","No","0","0",NA,"Yes","No","Unknown","Bedroom","0","No"
"SITE_141","ROOM_38014","APPL_151987","Desktop","HP",NA,"Unknown","Unknown","Unknown","Yes","Yes","Yes","1","Yes","25","Measured or Known","LCD – LED",NA,NA,NA,NA,NA,NA,"Unknown","Unknown","0","3","Unknown","Yes","No","Unknown","Bedroom","2","Yes"
"SITE_1410","ROOM_27741","APPL_116558","Laptop","HP",NA,"Unknown","AGENCY SERIES HSTNN-C12C","No","No","Yes","Yes","1","No","12","Measured or Known","Unknown",NA,NA,NA,NA,NA,NA,"Yes","No","1","0",NA,"Yes","No","Unknown","Family Room","2","Yes"
