"SiteID","RoomID","ApplianceID","Type","Make","Make_Other","Vintage","Model","Energy_Star","Primary_Computer","Computer_Wifi","Internet_Access","Computer_Number_of_Screens","Computer_Primary_External_Monitor","Primary_Monitor_Size","Primary_Monitor_Size_Is_Estimated","Primary_Monitor_Type","Secondary_Monitor_External","Secondary_Monitor_Size","Secondary_Monitor_Size_Is_Estimated","Secondary_Monitor_Type","Third_Monitor_Size","Third_Monitor_Size_Is_Estimated","Computer_Printer","Computer_External_Drive","Computer_Number_of_Modems_Routers_Switches","Computer_Number_of_Other_Accessories","Computer_Other_Accessory_Description","Computer_In_single_strip","Computer_Uninterruptible_Power","Uninterruptible_Power_Size_kW","Room_Type","Computer_Hours_of_Use","Computer_Is_Left_On"
"SITE_1382","ROOM_27677","APPL_31251","Laptop","HP",NA,"Unknown","Unknown","No","Yes","Yes","Yes","1","No","Unknown","Measured or Known","LCD – Fluorescent",NA,NA,NA,NA,NA,NA,"Yes","No","2","0",NA,"No","No","Unknown","Bedroom","1","No"
"SITE_1385","ROOM_6783","APPL_153352","Laptop","Dell",NA,"Unknown","P89F","No","Yes","Yes","Yes","1","No","13","Estimated","LCD – LED",NA,NA,NA,NA,NA,NA,"No","No","1","0",NA,"Yes","No","Unknown","Bedroom","12","No"
"SITE_1387","ROOM_5545","APPL_48921","Desktop","Dell",NA,"Unknown","Unknown","No","No","No","Yes","1","Yes","24","Measured or Known","LCD – Fluorescent",NA,NA,NA,NA,NA,NA,"Yes","No","0","0",NA,"No","No","Unknown","Office","0","No"
"SITE_1387","ROOM_5545","APPL_46902","Desktop","HP",NA,"Unknown","Unknown","No","Yes","No","Yes","1","Yes","23","Measured or Known","LCD – Fluorescent",NA,NA,NA,NA,NA,NA,"Yes","No","2","0",NA,"No","No","Unknown","Office","9","Yes"
"SITE_1388","ROOM_39891","APPL_144401","Desktop","LG",NA,"2018","25UM58-P","No","Yes","Yes","Yes","2","Yes","16","Estimated","LCD – LED","Yes","32","Measured or Known","LCD – LED",NA,NA,"Yes","No","2","3","Keyboard,  mouse,  speakers","No","No","Unknown","Basement","10","Yes"
"SITE_1388","ROOM_36071","APPL_108305","Desktop","Custom",NA,"2019","Unknown","No","Yes","Yes","Yes","2","Yes","24","Measured or Known","LCD – LED","Yes","24","Measured or Known","LCD – LED",NA,NA,"No","No","2","5","Keyboard,  speakers,  stream deck,  mouse,  mic","No","No","Unknown","Bedroom","2","No"
"SITE_1388","ROOM_17040","APPL_99932","Desktop","Dell",NA,"2013","OPTIPLEX 3010","No","Unknown","Unknown","Unknown","1","Yes","17","Measured or Known","LCD – LED",NA,NA,NA,NA,NA,NA,"No","No","2","0",NA,"Yes","No","Unknown","Living Room","Unknown","No"
"SITE_1389","ROOM_36783","APPL_104357","Laptop","HP",NA,"Unknown","14-DQ0010NR","No","Yes","Yes","Yes","1","No","14","Measured or Known","LCD – LED",NA,NA,NA,NA,NA,NA,"Yes","No","2","0",NA,"No","No","Unknown","Bedroom","2","No"
"SITE_139","ROOM_39307","APPL_125487","Desktop","HP",NA,"Unknown","PAVILION","No","Yes","No","Yes","1","Yes","17","Measured or Known","LCD – Fluorescent",NA,NA,NA,NA,NA,NA,"Yes","No","2","0",NA,"No","No","Unknown","Family Room","1","No"
"SITE_1391","ROOM_39174","APPL_95973","Laptop","HP",NA,"Unknown","14/DF0023CL","Unknown","Yes","Yes","Yes","1","No","14","Measured or Known","LCD – LED",NA,NA,NA,NA,NA,NA,"No","No","Unknown","Unknown","Unknown","No","No","Unknown","Living Room","1","No"
