"SiteID","Primary_Home","Move_In_Year","Business_Operated_Out_of_the_Home","Any_Occupants_Moved_In_within_Last_Year","Any_Occupant_Moved_Out_within_Last_Year","Planning_to_Move_Within_Six_Months","Qty_Occupants_Less_than_1_Year","Qty_Occupants_Between_1_and_5_Years","Qty_Occupants_Between_6_and_10_Years","Qty_Occupants_Between_11_and_18_Years","Qty_Occupants_Between_19_and_45_Years","Qty_Occupants_Between_46_and_64_Years","Qty_Occupants_65_Years_or_Older","Qty_Occupants_Work_Outside_the_Home","Qty_Occupants","Qty_Adults","Do_you_own_or_rent_your_home","Who_pays_the_electric_bill","Who_pays_the_gas_bill","Qty_Occupants_Moved_Out_Past_Year","Qty_Occupants_Moved_In_Past_Year","Home_Usage_Type","Household_Education_Level","Household_Education_Level_Other","Household_Income","Race_Ethnicity"
"SITE_300","Primary","2017","No","No","No","No","0","0","0","2","1","1","0","1","4","2","Rent","Occupant","Unknown",NA,NA,NA,"High School graduate/GED",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_301","Primary","2014","No","No","No","No","0","0","0","0","0","1","1","0","2","2","Own","Occupant","Unknown",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$200,000 and over","White or Caucasian, Some other race, ethnicity or origin"
"SITE_302","Primary","2020","No","Yes","No","No","0","0","0","0","2","0","0","2","2","2","Own","Occupant","Occupant",NA,"1",NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$75,000 to less than $99,999","White or Caucasian"
"SITE_303","Primary","2018","Yes","No","No","No","0","0","0","1","0","2","0","0","3","2","Own","Occupant","Occupant",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$50,000 to less than $74,999","White or Caucasian"
"SITE_304","Primary","2017","No","No","No","No","0","1","0","0","2","0","0","2","3","2","Own","Occupant","Occupant","0","0",NA,"Refused",NA,"Refused","Unknown"
"SITE_305","Primary","2015","No","No","No","No","0","0","0","0","0","1","0","0","1","1","Rent","Occupant","Occupant",NA,NA,NA,"Less than High School",NA,"Less than $15,000 per year","Asian Indian"
"SITE_306","Primary","2020","No","No","No","No","0","1","0","0","2","0","0","0","3","2","Own","Occupant","Occupant",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_307","Primary","2010","No","No","No","No","0","0","0","0","0","0","2","1","2","2","Rent","Occupant","Occupant",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$75,000 to less than $99,999","White or Caucasian"
"SITE_308","Primary","2015","No","No","No","No","0","2","1","0","2","0","0","2","5","2","Own","Occupant","Occupant",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_309","Primary","2016","Yes","No","No","No","0","0","0","0","0","1","1","1","2","2","Own","Occupant","Occupant",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"Don’t know","White or Caucasian"
"SITE_31","Primary","2013","No","No","No","No","0","0","0","0","0","2","0","2","2","2","Own","Occupant","Unknown",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$50,000 to less than $74,999","White or Caucasian"
