"SiteID","RoomID","ApplianceID","Make","Make_Other","Model","Vintage","Serial","WiFi_Capable","Motor_Power","Motor_Power_Units","Disposal_Missing_Model_Reason","Disposal_Missing_Model_Reason_Other"
"SITE_1115","ROOM_44068","APPL_116432","InSinkErator",NA,"PREMIER","Unknown","#09011737637","No","0.75","HP",NA,NA
"SITE_1116","ROOM_32331","APPL_132940","InSinkErator",NA,"BADGER 500","Unknown","Unknown","No","0.5","HP",NA,NA
"SITE_1117","ROOM_25181","APPL_54081","InSinkErator",NA,"5/84","Unknown","#17101230358","No","0.5","HP",NA,NA
"SITE_1119","ROOM_19264","APPL_101399","Waste King",NA,"Unknown","Unknown","Unknown","No","0.75","HP","NO NAMEPLATE",NA
"SITE_112","ROOM_35750","APPL_113763","Other","Ace Hardware","#4000","Unknown","Unknown","Unknown","Unknown",NA,NA,NA
"SITE_1120","ROOM_4947","APPL_170083","Other","Premier","143052-1","Unknown","#14081640347","No","0.5","HP",NA,NA
"SITE_1121","ROOM_8478","APPL_25780","InSinkErator",NA,"BADGER 5XP-6","Unknown","#21041133643","No","Unknown",NA,NA,NA
"SITE_1122","ROOM_39352","APPL_112657","InSinkErator",NA,"BADGER 500","Unknown","#18011240264","No","0.5","HP",NA,NA
"SITE_1124","ROOM_18066","APPL_41500","Kenmore",NA,"Unknown","Unknown","Unknown","No","0.5","HP","NO NAMEPLATE",NA
"SITE_1127","ROOM_39196","APPL_113550","InSinkErator",NA,"SPACESAVER-XP-1","Unknown","#17093009720","No","0.75","HP",NA,NA
"SITE_1129","ROOM_43399","APPL_16440","InSinkErator",NA,"#GC2000PE4","Unknown","FN01115446","No","0.5","HP",NA,NA
"SITE_1130","ROOM_41757","APPL_5193","Kenmore",NA,"#60556","Unknown","Unknown","No","1","HP",NA,NA
"SITE_1131","ROOM_40692","APPL_58940","InSinkErator",NA,"PRO 750-4","Unknown","#21081010725","No","0.75","HP",NA,NA
"SITE_1132","ROOM_10935","APPL_55479","InSinkErator",NA,"BADGER 900 PLUS 1","Unknown","#18091456018","No","0.75","HP",NA,NA
"SITE_1133","ROOM_37415","APPL_51786","InSinkErator",NA,"COMPACT-P","Unknown","#09111680358","No","0.75","HP",NA,NA
"SITE_1137","ROOM_45963","APPL_44819","InSinkErator",NA,"BADGER 5-89A","Unknown","#20011376610","No","Unknown",NA,NA,NA
