"SiteID","Interior_or_Exterior","Door_Type","Door_Construction","Door_Mechanism","Door_Window_Type","Door_Window_Type_Other","Door_Height_Inches","Door_Width_Inches","Door_Dimensions_Are_Estimated","Door_Area","Door_U_Value","Door_UA"
"SITE_3168","Exterior","Metal","Single","Hinge","None",NA,"80","36","Measured or Known","2880","1.22666666666666","24.5333333333332"
"SITE_3168","Exterior","Metal","Single","Slider","> 80% window (glass French door)",NA,"80","72","Measured or Known","5760","1.22666666666666","49.0666666666664"
"SITE_3168","Exterior","Metal","Single","Slider","> 80% window (glass French door)",NA,"80","72","Measured or Known","5760","1.22666666666666","49.0666666666664"
"SITE_3169","Interior","Metal","Single","Hinge","None",NA,"80","36","Measured or Known","2880","1.22666666666666","24.5333333333332"
"SITE_3170","Interior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3171","Interior","Fiberglass","Single","Hinge","None",NA,"80","35","Measured or Known","2800","0.853333333333333","16.5925925925926"
"SITE_3172","Exterior","Vinyl","Single","Slider","> 80% window (glass French door)",NA,"78","94","Measured or Known","7332","0.853","43.4319166666667"
"SITE_3172","Interior","Metal","Single","Hinge","None",NA,"80","36","Measured or Known","2880","1.22666666666666","24.5333333333332"
"SITE_3173","Exterior","Wood Solid Core","Single","Hinge","None",NA,"80","34","Measured or Known","2720","0.4","7.55555555555556"
"SITE_3174","Interior","Unknown","Single","Hinge","None",NA,"80","36","Measured or Known","2880","Unknown","Unknown"
"SITE_3175","Interior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3175","Exterior","Metal","Single","Hinge","> 80% window (glass French door)",NA,"80","34","Measured or Known","2720","1.22666666666666","23.1703703703702"
"SITE_3176","Exterior","Unknown","Unknown","Unknown","Unknown",NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_3177","Exterior","Metal","Single","Hinge","> 80% window (glass French door)",NA,"80","36","Measured or Known","2880","1.22666666666666","24.5333333333332"
"SITE_3177","Exterior","Wood Solid Core","Single","Hinge","> 80% window (glass French door)",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3178","Exterior","Wood Solid Core","Single","Hinge","Half window",NA,"80","30","Measured or Known","2400","0.4","6.66666666666667"
"SITE_3178","Exterior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3179","Exterior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3180","Exterior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3181","Interior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3182","Interior","Wood Solid Core","Single","Hinge","None",NA,"84","36","Measured or Known","3024","0.4","8.4"
"SITE_3183","Exterior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3183","Exterior","Fiberglass","Single","Hinge","> 80% window (glass French door)",NA,"80","36","Measured or Known","2880","0.853333333333333","17.0666666666667"
"SITE_3184","Exterior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3184","Exterior","Fiberglass","Single","Slider","> 80% window (glass French door)",NA,"77","58","Measured or Known","4466","0.853333333333333","26.4651851851852"
"SITE_3186","Interior","Fiberglass","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.853333333333333","17.0666666666667"
"SITE_3187","Exterior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3187","Exterior","Fiberglass","Single","Slider","> 80% window (glass French door)",NA,"78","57","Measured or Known","4446","0.853333333333333","26.3466666666667"
"SITE_3188","Interior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3189","Exterior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3190","Exterior","Metal","Single","Hinge","None",NA,"80","36","Measured or Known","2880","1.22666666666666","24.5333333333332"
"SITE_3190","Exterior","Vinyl","Single","Slider","> 80% window (glass French door)",NA,"80","72","Estimated","5760","0.853","34.12"
