"SiteID","Occupant_Controls_Heating_Cooling","Heating_Equipment_Operator","Heating_Equipment_Used_The_Most","Heating_Setpoint","Overnight_Heating_Setpoint","Open_Windows_When_Heating","Block_Off_Part_of_Home_In_Heating_Season","Percent_of_Home_At_Different_Temp","Use_Portable_Heating_Equipment","Is_Portable_Heating_In_Storage","Cooling_Setpoint","Overnight_Cooling_Setpoint","Outdoor_Temp_for_Cooling","Use_Portable_Cooling_Equipment","Is_Portable_Cooling_Equipment_In_Storage","Use_Portable_HP_Equipment","Is_Portable_HP_Equipment_In_Storage","Use_Non_Utility_Fuels_For_Heat","Air_Quality","Location_of_Spare_Lamps","Qty_TVs","TVs_Used_Most","Primary_TV_Hours_per_Day","Primary_TV_Age","Secondary_TVs_Hours_per_Day","Secondary_TV_Age","Smart_Home_Devices_Present","Smart_Home_Hubs_in_Use","Smart_Home_Hub_Communication","Qty_Other_Smart_Hubs","Other_Smart_Hub_Names","Smart_Large_Appliances","Smart_Power_Strips","Qty_Smart_Socket_Plugs","Qty_Smart_Wall_Switches","Qty_Clothes_Washer_Loads_per_Week","Qty_Dishwasher_Loads_per_Week","Percent_Clothes_Washer_Loads_Washed_in_Hot_Water","Showerhead_Used_The_Most","Electric_Vehicle_Present","Pool_Present","Pool_Type","Pool_Location","Pool_Availability_Months_Per_Year","Pool_Area_Sq_Ft","Pool_Area_Is_Estimated","Pool_Cover","Pool_Heat_Primary_Fuel_Type","Pool_Heat_Primary_Fuel_Type_Other","Pool_Solar_Assist","Hot_Tub_Present","Hot_Tub_Area","Hot_Tub_Area_Is_Estimated","Onsite_Power_Generation_Present","Onsite_Power_Generation_Type","Onsite_Power_Generation_Type_Other","Fossil_Fuel_System_Power_Rating","Generator_Fuel","PV_Power_Rating","PV_Financing","PV_Financing_Other","Power_Storage_Present","Power_Storage_Type","Power_Storage_Type_Other","Backup_Battery_Capacity_kW","Backup_Battery_Capacity_kWh","Capacity_of_Hot_Water_Thermal_Storage"
"SITE_1291","Yes",NA,"Central Air Source Heat Pump","72","64","Yes","No","0","Yes","Unknown","72","69","80",NA,"No",NA,"No","Yes","No, no air quality problems","Laundry","1",NA,"6","4",NA,NA,"No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","2","5","20","MASTER BATH","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1292","Yes",NA,"Furnace","Unknown","67","No","No","0","No",NA,"71","71","88",NA,"No",NA,"No","No","No, no air quality problems","Unknown","4","Primary","3","0","2","1","No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","3","2","10","MASTER","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1293","Yes",NA,"Central Air Source Heat Pump","72","68","No","No","0","No",NA,"70","70","80",NA,"No",NA,"No","Unknown","No, no air quality problems","Doesn’t have any currently","2","Main living","0.17","4","0.17","10","Yes","Philips Hue, Alexa Echo","Phone App (using a phone application to start and stop devices and routines), Voice Assistant (using Alexa, Siri, or Google to control Smart Home features)",NA,NA,NA,"0","0","0","4","4","0","PRIMARY","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1294","Yes",NA,"Fireplace or Stove","Unknown","Unknown","No","No","0","Yes","Unknown",NA,NA,"Unknown",NA,"No",NA,"No","Yes","No, no air quality problems","Pantry","1",NA,"3","Unknown",NA,NA,"Unknown","Unknown","Unknown",NA,NA,NA,"Unknown","Unknown","Unknown","2.5","0","0","ONLY ONE","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1295","Yes",NA,"Furnace","68","66","No","Unknown","0","Yes","Yes","74",NA,"85",NA,"No",NA,"No","Yes","No, no air quality problems","BASEMENT PANTRY","7","LIVING ROOM AND BED ROOM","4","Unknown","2","Unknown","Yes","Alexa Echo","Voice Assistant (using Alexa, Siri, or Google to control Smart Home features)",NA,NA,NA,"Unknown","6","Unknown","3","7","33","MASTER BATH","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","80","Estimated","Yes","Solar / PV System",NA,NA,NA,"13","Power purchase agreement with third party",NA,"No",NA,NA,NA,NA,NA
"SITE_1296","Yes",NA,"Fireplace or Stove","75","70","Yes","Yes","5","Yes","Yes",NA,NA,"Unknown","Yes","Yes",NA,"No","Yes","Drafty","Basement","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","4","0","50","DOWNSTAIRS","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1297","Yes",NA,"Furnace","68","62","No","No","Unknown","No",NA,"70",NA,"90",NA,"No",NA,"No","No","No, no air quality problems","Unknown","3","Unknown","2","15","1","1","No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","7","2","20","MASTER BATH","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1298","Yes",NA,"Fireplace or Stove","76","75","No","No","0","Yes","Yes","74","75","81",NA,"No",NA,"No","Yes","No, no air quality problems","Downstairs","2","Unknown","3","Unknown","1","Unknown","Yes","Alexa Echo","Voice Assistant (using Alexa, Siri, or Google to control Smart Home features), Phone App (using a phone application to start and stop devices and routines)",NA,NA,NA,"Unknown","Unknown","1","4","0","0","EVENLY","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1299","Yes",NA,"Furnace","68","65","No","Yes","15","No",NA,"70",NA,"75","Yes","Yes",NA,"No","No","No, no air quality problems","Basement","2","Unknown","1","2","0.5","10","No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","2","3","30","ONLY ONE","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_13","Yes",NA,"Central Air Source Heat Pump","Unknown","68","No","No","Unknown","No",NA,"73","73","82",NA,"No",NA,"No","No","Mildew","Unknown","2","Unknown","2","4","0.5","11","Yes","Google Home / Nest, Philips Hue","Phone App (using a phone application to start and stop devices and routines)",NA,NA,"Thermostat, Dryer","0","1","0","15","3","5","MASTER SHOWER","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
