"SiteID","RoomID","ApplianceID","Type","Make","Make_Other","Model","Stove_Oven_Missing_Model_Reason","Stove_Oven_Missing_Model_Reason_Other","Vintage","Serial","Wifi_Enabled","Primary","Stove_Fuel","Stove_Type","Stove_Type_Other","Stove_Number_Burners","Oven_Fuel","Oven_Fuel_Other","Oven_Type","Oven_Single_Or_Double","Room_Type"
"SITE_292","ROOM_27000","APPL_164047","Stove / Oven combo","Maytag",NA,"Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Yes","Electric","Coils",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_293","ROOM_25715","APPL_56583","Stove / Oven combo","Maytag",NA,"CGR3740ADW",NA,NA,"Unknown","16074979WS","No","Yes","Natural Gas","Combustion",NA,"4","Natural Gas",NA,"Radiant","Single Oven","Kitchen"
"SITE_294","ROOM_33176","APPL_66858","Stove / Oven combo","General Electric",NA,"JBP78BOB1BB",NA,NA,"Unknown","FV1 58959Q","No","Yes","Electric","Glass Top",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_295","ROOM_38724","APPL_63453","Stove / Oven combo","Kenmore",NA,"Z-LINE","NO NAMEPLATE",NA,"Unknown","Unknown","No","Yes","Propane","Combustion",NA,"6","Propane",NA,"Convection","Single Oven","Kitchen"
"SITE_296","ROOM_46372","APPL_112954","Stove / Oven combo","Frigidaire",NA,"FFEF3018LWE",NA,NA,"Unknown","VF20925654","No","Yes","Natural Gas","Combustion",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_297","ROOM_27450","APPL_82049","Stove / Oven combo","Maytag",NA,"JES9800AAQ",NA,NA,"Unknown","19989160CL","No","Yes","Electric","Glass Top",NA,"4","Electric",NA,"Both","Single Oven","Kitchen"
"SITE_298","ROOM_19921","APPL_15590","Stove / Oven combo","General Electric",NA,"JGB700SEJ4SS",NA,NA,"Unknown","MM209659P","No","Yes","Natural Gas","Combustion",NA,"4","Natural Gas",NA,"Radiant","Single Oven","Kitchen"
"SITE_299","ROOM_25811","APPL_137831","Stovetop","General Electric",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","Yes","Natural Gas","Combustion",NA,"5",NA,NA,NA,NA,"Kitchen"
"SITE_299","ROOM_25811","APPL_120069","Oven (standalone / wall)","General Electric",NA,"JTD5000SN1SS",NA,NA,"Unknown","MM017150Q","Yes","Yes",NA,NA,NA,NA,"Natural Gas",NA,"Both","Double Oven","Kitchen"
"SITE_3","ROOM_42672","APPL_26923","Oven (standalone / wall)","Frigidaire",NA,"Unknown","OTHER","IN USE","Unknown","Unknown","No","Yes",NA,NA,NA,NA,"Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_3","ROOM_42672","APPL_174230","Stovetop","General Electric",NA,"PROFILE",NA,NA,"Unknown","Unknown","No","Yes","Electric","Glass Top",NA,"4",NA,NA,NA,NA,"Kitchen"
"SITE_30","ROOM_20932","APPL_33088","Stovetop","Jenn-Air",NA,"JED8430ADW",NA,NA,"Unknown","16632211AC","No","Yes","Electric","Glass Top",NA,"4",NA,NA,NA,NA,"Kitchen"
"SITE_30","ROOM_20932","APPL_90161","Oven (standalone / wall)","Jenn-Air",NA,"W30100W",NA,NA,"Unknown","13470001UM","No","Yes",NA,NA,NA,NA,"Natural Gas",NA,"Radiant","Single Oven","Kitchen"
"SITE_300","ROOM_5420","APPL_151650","Stove / Oven combo","Jenn-Air",NA,"Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Yes","Electric","Induction",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_301","ROOM_33670","APPL_103026","Oven (standalone / wall)","General Electric",NA,"P T916S M1SS",NA,NA,"Unknown","DR6 10086Q","No","No",NA,NA,NA,NA,"Electric",NA,"Convection","Single Oven","Kitchen"
"SITE_301","ROOM_33670","APPL_68493","Stove / Oven combo","General Electric",NA,"J D968S0K5SS",NA,NA,"Unknown","AR4 00632Q","No","Yes","Electric","Glass Top",NA,"4","Electric",NA,"Convection","Single Oven","Kitchen"
"SITE_302","ROOM_6698","APPL_1873","Stove / Oven combo","Whirlpool",NA,"WFG515S0JS0",NA,NA,"Unknown","R93911918","No","Yes","Natural Gas","Combustion",NA,"4","Natural Gas",NA,"Radiant","Single Oven","Kitchen"
"SITE_303","ROOM_26483","APPL_40251","Stove / Oven combo","Kenmore",NA,"#79094203311",NA,NA,"Unknown","VF63611468","No","Yes","Electric","Glass Top",NA,"5","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_304","ROOM_36044","APPL_80515","Stove / Oven combo","Viking",NA,"Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Yes","Electric","Induction",NA,"4","Electric",NA,"Convection","Single Oven","Kitchen"
"SITE_305","ROOM_17223","APPL_62135","Stove / Oven combo","General Electric",NA,"J BP15D M1WW",NA,NA,"Unknown","MR177755P","No","Yes","Electric","Coils",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_306","ROOM_32570","APPL_77252","Stove / Oven combo","Whirlpool",NA,"WFE525S0HZ1",NA,NA,"Unknown","R92028023","No","Yes","Electric","Glass Top",NA,"5","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_307","ROOM_7185","APPL_79944","Stove / Oven combo","Whirlpool",NA,"WFC310S0AW 0",NA,NA,"Unknown","R22033186","No","Yes","Electric","Coils",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_308","ROOM_11911","APPL_110120","Stove / Oven combo","Whirlpool",NA,"WFG525S0HZ1",NA,NA,"Unknown","R92623127","No","Yes","Natural Gas","Combustion",NA,"5","Natural Gas",NA,"Convection","Single Oven","Kitchen"
"SITE_309","ROOM_32271","APPL_2672","Stove / Oven combo","HotPoint",NA,"RGB745WEH3WW",NA,NA,"Unknown","GG218587R","No","Yes","Propane","Combustion",NA,"4","Propane",NA,"Radiant","Single Oven","Kitchen"
"SITE_31","ROOM_33462","APPL_15912","Stove / Oven combo","Other","Automatic","107RR45",NA,NA,"Unknown","Unknown","No","Yes","Electric","Coils",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_310","ROOM_42154","APPL_101781","Stove / Oven combo","Frigidaire",NA,"FGGF3045RFC",NA,NA,"2012","VF63116189","No","Yes","Natural Gas","Combustion",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_311","ROOM_14321","APPL_128560","Stove / Oven combo","Thermador",NA,"PRD366GHU/11",NA,NA,"Unknown","#391110088125001046","No","Yes","Propane","Combustion",NA,"6","Propane",NA,"Both","Single Oven","Kitchen"
"SITE_311","ROOM_14321","APPL_167208","Oven (standalone / wall)","Viking",NA,"PROFESSIONAL",NA,NA,"Unknown","Unknown","No","No",NA,NA,NA,NA,"Propane",NA,"Both","Single Oven","Kitchen"
"SITE_312","ROOM_44500","APPL_26773","Stove / Oven combo","Thermador",NA,"#860800016",NA,NA,"Unknown","#39608008371","No","Yes","Propane","Combustion",NA,"4","Propane",NA,"Both","Single Oven","Kitchen"
