"SiteID","RoomID","ApplianceID","Type","Make","Make_Other","Model","Stove_Oven_Missing_Model_Reason","Stove_Oven_Missing_Model_Reason_Other","Vintage","Serial","Wifi_Enabled","Primary","Stove_Fuel","Stove_Type","Stove_Type_Other","Stove_Number_Burners","Oven_Fuel","Oven_Fuel_Other","Oven_Type","Oven_Single_Or_Double","Room_Type"
"SITE_1575","ROOM_3006","APPL_117926","Stove / Oven combo","KitchenAid",NA,"KESC307BWH8",NA,NA,"Unknown","IMG4461261","No","Yes","Electric","Glass Top",NA,"4","Electric",NA,"Both","Single Oven","Kitchen"
"SITE_1576","ROOM_41851","APPL_40121","Stove / Oven combo","Amana",NA,"ACR4503SFW1",NA,NA,"Unknown","R81218703","No","Yes","Electric","Coils",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1577","ROOM_36743","APPL_6922","Oven (standalone / wall)","KitchenAid",NA,"KOSC504ESS00",NA,NA,"Unknown","D70303534","No","Yes",NA,NA,NA,NA,"Electric",NA,"Convection","Single Oven","Kitchen"
"SITE_1577","ROOM_36743","APPL_41833","Stovetop","General Electric",NA,"Unknown","Unknown",NA,"Unknown","Unknown","No","Yes","Electric","Glass Top",NA,"4",NA,NA,NA,NA,"Kitchen"
"SITE_1578","ROOM_44194","APPL_135697","Stove / Oven combo","Kenmore",NA,"#3627585990",NA,NA,"Unknown","5D220078P","No","Yes","Natural Gas","Combustion",NA,"4","Natural Gas",NA,"Radiant","Single Oven","Kitchen"
"SITE_1579","ROOM_28137","APPL_61419","Stove / Oven combo","LG",NA,"LRE3193ST/00",NA,NA,"Unknown","803MMUM0G374","No","Yes","Electric","Glass Top",NA,"4","Electric",NA,"Both","Single Oven","Kitchen"
"SITE_158","ROOM_18566","APPL_141882","Stovetop","Viking",NA,"Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Yes","Natural Gas","Combustion",NA,"5",NA,NA,NA,NA,"Kitchen"
"SITE_1580","ROOM_15171","APPL_16023","Stove / Oven combo","General Electric",NA,"JGB870DET2W",NA,NA,"Unknown","ZZ12026P","No","Yes","Natural Gas","Combustion",NA,"4","Natural Gas",NA,"Convection","Single Oven","Kitchen"
"SITE_1581","ROOM_41495","APPL_169667","Stove / Oven combo","General Electric",NA,"JGB660DEJ4WW",NA,NA,"Unknown","GM206626P","No","Yes","Natural Gas","Combustion",NA,"5","Natural Gas",NA,"Convection","Single Oven","Kitchen"
"SITE_1582","ROOM_11943","APPL_7268","Stove / Oven combo","General Electric",NA,"JB258DM3BB",NA,NA,"Unknown","MIT157649Q","No","Yes","Electric","Coils",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1583","ROOM_18296","APPL_39335","Stove / Oven combo","Frigidaire",NA,"Unknown","NAMEPLATE IS ILLEGIBLE",NA,"Unknown","Unknown","No","Yes","Natural Gas","Combustion",NA,"4","Natural Gas",NA,"Convection","Single Oven","Kitchen"
"SITE_1584","ROOM_46167","APPL_166922","Stovetop","Samsung",NA,"Unknown","Unknown",NA,"Unknown","Unknown","No","Yes","Electric","Glass Top",NA,"5",NA,NA,NA,NA,"Kitchen"
"SITE_1584","ROOM_46167","APPL_61665","Oven (standalone / wall)","Samsung",NA,"NV51K6650SSAA",NA,NA,"Unknown","0EAW7DCM200059J","No","Yes",NA,NA,NA,NA,"Electric",NA,"Both","Single Oven","Kitchen"
"SITE_1585","ROOM_32878","APPL_109791","Stove / Oven combo","Kenmore",NA,"#91194391891",NA,NA,"Unknown","8T2649570","No","Yes","Electric","Coils",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1586","ROOM_7725","APPL_162886","Stove / Oven combo","General Electric",NA,"NE58F3500SS",NA,NA,"Unknown","NE58F9500SS/AA","No","Yes","Electric","Glass Top",NA,"5","Electric",NA,"Both","Single Oven","Kitchen"
"SITE_1587","ROOM_9567","APPL_93732","Stove / Oven combo","Kenmore",NA,"#91194497990",NA,NA,"Unknown","9T1 461880","No","Yes","Electric","Coils",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1588","ROOM_922","APPL_22146","Stove / Oven combo","Frigidaire",NA,"FCRE305LAFA",NA,NA,"Unknown","VF93815676","No","Yes","Electric","Glass Top",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1589","ROOM_23945","APPL_22390","Stovetop","General Electric",NA,"Unknown","Unknown",NA,"Unknown","Unknown","No","Yes","Electric","Coils",NA,"4",NA,NA,NA,NA,"Kitchen"
"SITE_1589","ROOM_23945","APPL_149250","Oven (standalone / wall)","Frigidaire",NA,"FEV24S2ASA",NA,NA,"2003","NF30305610","No","Yes",NA,NA,NA,NA,"Unknown","Unknown","Radiant","Single Oven","Kitchen"
"SITE_159","ROOM_41163","APPL_20290","Stove / Oven combo","KitchenAid",NA,"KFGG500EBS2",NA,NA,"Unknown","R90716270","No","Yes","Natural Gas","Combustion",NA,"4","Natural Gas",NA,"Radiant","Single Oven","Kitchen"
"SITE_1590","ROOM_35133","APPL_105588","Stove / Oven combo","Whirlpool",NA,"WEG74580LZ1",NA,NA,"Unknown","RB0517904","No","Yes","Natural Gas","Combustion",NA,"5","Natural Gas",NA,"Convection","Single Oven","Kitchen"
"SITE_1592","ROOM_21855","APPL_147019","Stove / Oven combo","Unknown",NA,"Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Yes","Natural Gas","Combustion",NA,"5","Natural Gas",NA,"Convection","Single Oven","Kitchen"
"SITE_1593","ROOM_30441","APPL_118857","Stove / Oven combo","Samsung",NA,"NE59M4310SW/AA",NA,NA,"Unknown","0EQH7DCJ500050D","No","Yes","Electric","Glass Top",NA,"5","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1594","ROOM_4566","APPL_99601","Stove / Oven combo","Samsung",NA,"NE63T8711SG/AA",NA,NA,"Unknown","0HF37DCNB00201H","No","Yes","Electric","Glass Top",NA,"4","Electric",NA,"Both","Single Oven","Kitchen"
"SITE_1595","ROOM_28210","APPL_158071","Stove / Oven combo","Whirlpool",NA,"WFE525C0BW0",NA,NA,"Unknown","R40610913","No","Yes","Electric","Glass Top",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1596","ROOM_15632","APPL_45474","Stovetop","Kenmore",NA,"Unknown","Unknown",NA,"Unknown","Unknown","No","Yes","Natural Gas","Combustion",NA,"4",NA,NA,NA,NA,"Kitchen"
"SITE_1596","ROOM_15632","APPL_91588","Oven (standalone / wall)","Kenmore",NA,"7904-9533312",NA,NA,"Unknown","AF41902324","No","Yes",NA,NA,NA,NA,"Electric",NA,"Both","Double Oven","Kitchen"
"SITE_1597","ROOM_42909","APPL_156546","Stove / Oven combo","Kenmore",NA,"#79075233312",NA,NA,"Unknown","VF65200330","No","Yes","Natural Gas","Combustion",NA,"5","Natural Gas",NA,"Both","Single Oven","Kitchen"
"SITE_1598","ROOM_36137","APPL_121205","Stovetop","Schott Ceran",NA,"Unknown","Unknown",NA,"Unknown","Unknown","No","Yes","Electric","Glass Top",NA,"4",NA,NA,NA,NA,"Kitchen"
"SITE_1598","ROOM_36137","APPL_92007","Oven (standalone / wall)","Whirlpool",NA,"IBS550DS02",NA,NA,"Unknown","D70511748","No","Yes",NA,NA,NA,NA,"Electric",NA,"Both","Single Oven","Kitchen"
"SITE_1599","ROOM_23657","APPL_10828","Stove / Oven combo","Bertazzoni",NA,"X36 5 GGV X/01",NA,NA,"2009","Unknown","No","Yes","Natural Gas","Combustion",NA,"5","Natural Gas",NA,"Radiant","Single Oven","Kitchen"
"SITE_16","ROOM_6812","APPL_74050","Stove / Oven combo","Whirlpool",NA,"RF375PXEQ",NA,NA,"Unknown","RG3726700","No","Yes","Electric","Coils",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_160","ROOM_11925","APPL_89027","Stovetop","Maytag",NA,"MEC8836HS",NA,NA,"Unknown","Unknown","No","Yes","Electric","Glass Top",NA,"5",NA,NA,NA,NA,"Kitchen"
"SITE_160","ROOM_11925","APPL_127739","Mini-oven (standalone / wall)","KitchenAid",NA,"KEWS105SS03",NA,NA,"Unknown","Unknown","No","No",NA,NA,NA,NA,"Electric",NA,"Convection","Unknown","Kitchen"
"SITE_160","ROOM_11925","APPL_93013","Oven (standalone / wall)","KitchenAid",NA,"KEBK206SS04",NA,NA,"Unknown","D03920046","No","Yes",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Kitchen"
"SITE_1600","ROOM_18086","APPL_145039","Oven (standalone / wall)","Whirlpool",NA,"WOC97EC0HZ",NA,NA,"Unknown","Unknown","Yes","Yes",NA,NA,NA,NA,"Unknown","Unknown","Both","Single Oven","Kitchen"
"SITE_1600","ROOM_18086","APPL_167533","Stovetop","Whirlpool",NA,"Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Yes","Natural Gas","Combustion",NA,"5",NA,NA,NA,NA,"Kitchen"
"SITE_1601","ROOM_3906","APPL_57325","Stove / Oven combo","Ikea",NA,"IGL730CS0",NA,NA,"Unknown","R80916107","No","Yes","Natural Gas","Combustion",NA,"4","Natural Gas",NA,"Radiant","Single Oven","Kitchen"
"SITE_1602","ROOM_13108","APPL_93622","Stove / Oven combo","Kenmore",NA,"7909-3013310",NA,NA,"Unknown","VF32365061","No","Yes","Electric","Glass Top",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1603","ROOM_18862","APPL_22310","Stovetop","Euro-pro",NA,"Unknown","Unknown",NA,"Unknown","Unknown","No","Yes","Electric","Glass Top",NA,"4",NA,NA,NA,NA,"Kitchen"
"SITE_1603","ROOM_18862","APPL_20135","Oven (standalone / wall)","General Electric",NA,"Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Yes",NA,NA,NA,NA,"Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1604","ROOM_32633","APPL_128413","Stove / Oven combo","General Electric",NA,"JGBP86WEA3WW",NA,NA,"Unknown","AZ238755P","No","Yes","Natural Gas","Combustion",NA,"4","Natural Gas",NA,"Radiant","Single Oven","Kitchen"
"SITE_1605","ROOM_16950","APPL_151814","Stove / Oven combo","Jenn-Air",NA,"Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Yes","Electric","Coils",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1606","ROOM_7546","APPL_71502","Stove / Oven combo","Thermador",NA,"PRG364GLUS",NA,NA,"Unknown","#82020116","No","Yes","Natural Gas","Combustion",NA,"5","Unknown","Unknown","Unknown","Single Oven","Kitchen"
"SITE_1607","ROOM_23661","APPL_12184","Stove / Oven combo","General Electric",NA,"JBP6YW0H2WW",NA,NA,"Unknown","ZG2 898820","No","No","Electric","Glass Top",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1608","ROOM_29891","APPL_56009","Oven (standalone / wall)","Whirlpool",NA,"WOS51ECTASO2",NA,NA,"Unknown","#406819","No","Yes",NA,NA,NA,NA,"Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1608","ROOM_29891","APPL_21454","Stovetop","Whirlpool",NA,"WCE77US0HB",NA,NA,"2020","Unknown","No","Yes","Electric","Glass Top",NA,"5",NA,NA,NA,NA,"Kitchen"
"SITE_1609","ROOM_17111","APPL_75457","Stove / Oven combo","Kenmore",NA,"790-75603701",NA,NA,"Unknown","NF84409687","No","Yes","Natural Gas","Combustion",NA,"5","Electric",NA,"Both","Single Oven","Kitchen"
"SITE_161","ROOM_19887","APPL_157912","Stove / Oven combo","General Electric",NA,"JB250DF3WW",NA,NA,"2014","ZD211483Q","No","Yes","Electric","Coils",NA,"Unknown","Unknown","Unknown","Unknown","Single Oven","Kitchen"
"SITE_1610","ROOM_23220","APPL_91562","Oven (standalone / wall)","Frigidaire",NA,"FEB756CESF",NA,NA,"Unknown","NF83604254","No","No",NA,NA,NA,NA,"Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1610","ROOM_23220","APPL_31017","Stovetop","General Electric",NA,"Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Yes","Natural Gas","Combustion",NA,"4",NA,NA,NA,NA,"Kitchen"
"SITE_1610","ROOM_7753","APPL_36817","Stove / Oven combo","Whirlpool",NA,"SF365PEG0",NA,NA,"Unknown","RJ1012214","No","Yes","Natural Gas","Combustion",NA,"4","Natural Gas",NA,"Radiant","Single Oven","Kitchen"
"SITE_1611","ROOM_28725","APPL_12596","Stove / Oven combo","LG",NA,"Unknown","Unknown",NA,"Unknown","Unknown","No","Yes","Natural Gas","Combustion",NA,"5","Unknown","Unknown","Both","Single Oven","Kitchen"
"SITE_1612","ROOM_29924","APPL_172036","Stove / Oven combo","Samsung",NA,"NX58K7850SG/AA",NA,NA,"2018","0DQR7DDK200189L","No","Yes","Natural Gas","Combustion",NA,"5","Natural Gas",NA,"Both","Single Oven","Kitchen"
"SITE_1613","ROOM_2250","APPL_122430","Oven (standalone / wall)","Wolf",NA,"DO3OS",NA,NA,"Unknown","Unknown","No","Yes",NA,NA,NA,NA,"Electric",NA,"Both","Double Oven","Kitchen"
"SITE_1613","ROOM_2250","APPL_116806","Stovetop","Wolf",NA,"CTEPGS","NO NAMEPLATE",NA,"Unknown","Unknown","No","Yes","Natural Gas","Combustion",NA,"4",NA,NA,NA,NA,"Kitchen"
"SITE_1613","ROOM_36904","APPL_31022","Stovetop","Maytag",NA,"Unknown","Unknown",NA,"Unknown","Unknown","No","No","Electric","Coils",NA,"4",NA,NA,NA,NA,"Closet"
"SITE_1614","ROOM_5384","APPL_6998","Stove / Oven combo","Frigidaire",NA,"FEFS52DSB",NA,NA,"Unknown","VF52316380","No","Yes","Electric","Coils",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1615","ROOM_521","APPL_99144","Stove / Oven combo","Frigidaire",NA,"FGF34BKCN",NA,NA,"Unknown","VF31477738","No","Yes","Natural Gas","Combustion",NA,"5","Natural Gas",NA,"Radiant","Single Oven","Kitchen"
"SITE_1616","ROOM_44720","APPL_159591","Stove / Oven combo","Frigidaire",NA,"GCRG3060AFC",NA,NA,"Unknown","VF12084801","No","Yes","Natural Gas","Combustion",NA,"5","Natural Gas",NA,"Radiant","Single Oven","Kitchen"
"SITE_1617","ROOM_31496","APPL_124139","Stove / Oven combo","LG",NA,"THINQ",NA,NA,"Unknown","Unknown","Yes","No","Electric","Glass Top",NA,"5","Electric",NA,"Both","Single Oven","Kitchen"
"SITE_1617","ROOM_27227","APPL_173865","Stove / Oven combo","KitchenAid",NA,"KSDG950ESS1",NA,NA,"Unknown","R94930790","No","Yes","Natural Gas","Combustion",NA,"4","Natural Gas",NA,"Both","Single Oven","Kitchen"
"SITE_1618","ROOM_29254","APPL_142323","Stove / Oven combo","KitchenAid",NA,"Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Yes","Natural Gas","Combustion",NA,"4","Unknown","Unknown","Radiant","Single Oven","Kitchen"
"SITE_1618","ROOM_11679","APPL_24541","Stovetop","Cuisinart",NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,NA,NA,NA,"Kitchen"
"SITE_1619","ROOM_12203","APPL_2715","Stove / Oven combo","General Electric",NA,"P 5905T P2WW",NA,NA,"Unknown","AV2 39076Q","No","Yes","Electric","Glass Top",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_162","ROOM_44706","APPL_149319","Stove / Oven combo","Frigidaire",NA,"FGEF3059TDG",NA,NA,"Unknown","VF90923552","No","Yes","Electric","Induction",NA,"5","Electric",NA,"Convection","Single Oven","Kitchen"
"SITE_1620","ROOM_42428","APPL_86820","Stove / Oven combo","Electrolux",NA,"EW30DS65GS8",NA,NA,"Unknown","NF12822363","No","Yes","Natural Gas","Combustion",NA,"4","Natural Gas",NA,"Both","Single Oven","Kitchen"
"SITE_1621","ROOM_12759","APPL_3839","Stove / Oven combo","Frigidaire",NA,"PLGFZ390ECF",NA,NA,"Unknown","VF71151738","No","Yes","Natural Gas","Combustion",NA,"5","Natural Gas",NA,"Both","Single Oven","Kitchen"
"SITE_1622","ROOM_40223","APPL_35943","Stove / Oven combo","LG",NA,"NX58R4311SS/AA",NA,NA,"Unknown","0G907DDM906350W","No","Yes","Natural Gas","Combustion",NA,"5","Natural Gas",NA,"Radiant","Single Oven","Kitchen"
"SITE_1623","ROOM_20113","APPL_156619","Stove / Oven combo","Frigidaire",NA,"FGF355ASE",NA,NA,"Unknown","VF 40846322","No","Yes","Natural Gas","Combustion",NA,"4","Natural Gas",NA,"Convection","Single Oven","Kitchen"
"SITE_1624","ROOM_16367","APPL_151618","Stove / Oven combo","Kenmore",NA,"#79074333310",NA,NA,"Unknown","VF34284773","No","Yes","Natural Gas","Combustion",NA,"5","Natural Gas",NA,"Both","Single Oven","Kitchen"
"SITE_1625","ROOM_33047","APPL_64442","Stove / Oven combo","Kenmore",NA,"#79075403502",NA,NA,"Unknown","NF33926129","No","Yes","Natural Gas","Combustion",NA,"5","Natural Gas",NA,"Radiant","Single Oven","Kitchen"
"SITE_1627","ROOM_26048","APPL_24995","Stove / Oven combo","Unknown",NA,"Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","No","Natural Gas","Combustion",NA,"4","Natural Gas",NA,"Radiant","Single Oven","Kitchen"
"SITE_1628","ROOM_8658","APPL_54428","Stove / Oven combo","Kenmore",NA,"#79096613408",NA,NA,"Unknown","VF53137261","No","Yes","Electric","Glass Top",NA,"5","Electric",NA,"Both","Single Oven","Kitchen"
"SITE_1629","ROOM_16496","APPL_14197","Stovetop","Modern Maid",NA,"Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Yes","Natural Gas","Combustion",NA,"5",NA,NA,NA,NA,"Kitchen"
"SITE_1629","ROOM_16496","APPL_135362","Oven (standalone / wall)","Whirlpool",NA,"Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Yes",NA,NA,NA,NA,"Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_163","ROOM_18538","APPL_173746","Stove / Oven combo","LG",NA,"LRG411SST",NA,NA,"2016","683KMEM18604","No","Yes","Natural Gas","Combustion",NA,"5","Electric",NA,"Both","Single Oven","Kitchen"
"SITE_1630","ROOM_42483","APPL_51491","Stove / Oven combo","Whirlpool",NA,"Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Yes","Natural Gas","Combustion",NA,"4","Natural Gas",NA,"Convection","Single Oven","Kitchen"
"SITE_1631","ROOM_10086","APPL_169297","Stovetop","Dacor",NA,"Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Yes","Natural Gas","Combustion",NA,"5",NA,NA,NA,NA,"Kitchen"
"SITE_1631","ROOM_10086","APPL_130500","Oven (standalone / wall)","General Electric",NA,"PT956D RZWW",NA,NA,"Unknown","RZ6 05563Q","No","Yes",NA,NA,NA,NA,"Electric",NA,"Both","Double Oven","Kitchen"
"SITE_1631","ROOM_10086","APPL_128624","Mini-oven (standalone / wall)","Bosch",NA,"HWD3020UC/02",NA,NA,"Unknown","#921200009","No","No",NA,NA,NA,NA,"Electric",NA,"Radiant","Unknown","Kitchen"
"SITE_1631","ROOM_17605","APPL_96524","Oven (standalone / wall)","Frigidaire",NA,"FEB798WCCC",NA,NA,"Unknown","NF70200404","No","No",NA,NA,NA,NA,"Electric",NA,"Both","Double Oven","Kitchen"
"SITE_1632","ROOM_9162","APPL_134970","Stove / Oven combo","Thermador",NA,"Unknown","Unknown",NA,"Unknown","Unknown","No","Yes","Natural Gas","Combustion",NA,"4","Electric",NA,"Convection","Single Oven","Kitchen"
"SITE_1633","ROOM_29368","APPL_164320","Stove / Oven combo","DCS",NA,"RGU-305-N",NA,NA,"Unknown","BSP400461","No","Yes","Natural Gas","Combustion",NA,"5","Natural Gas",NA,"Radiant","Single Oven","Kitchen"
"SITE_1634","ROOM_40283","APPL_164232","Stovetop","Kenmore",NA,"Unknown","Unknown",NA,"Unknown","Unknown","No","Yes","Natural Gas","Combustion",NA,"5",NA,NA,NA,NA,"Kitchen"
"SITE_1634","ROOM_40283","APPL_54366","Oven (standalone / wall)","Dacor",NA,"Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Yes",NA,NA,NA,NA,"Natural Gas",NA,"Convection","Single Oven","Kitchen"
"SITE_1635","ROOM_11530","APPL_74635","Stove / Oven combo","General Electric",NA,"JB 255RJ1SS",NA,NA,"Unknown","SF260969P","No","Yes","Electric","Coils",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1636","ROOM_24645","APPL_92378","Stovetop","Whirlpool",NA,"Unknown","Unknown",NA,"Unknown","Unknown","No","Yes","Natural Gas","Combustion",NA,"5",NA,NA,NA,NA,"Kitchen"
"SITE_1636","ROOM_24645","APPL_19741","Oven (standalone / wall)","Whirlpool",NA,"RBS 305PRSOO",NA,NA,"Unknown","XT3010283","No","Yes",NA,NA,NA,NA,"Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1637","ROOM_12280","APPL_58942","Stovetop","Unknown",NA,"Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Yes","Electric","Glass Top",NA,"4",NA,NA,NA,NA,"Kitchen"
"SITE_1637","ROOM_12280","APPL_108870","Oven (standalone / wall)","Jenn-Air",NA,"WW30430W",NA,NA,"Unknown","12406806QN","No","Yes",NA,NA,NA,NA,"Electric",NA,"Radiant","Double Oven","Kitchen"
"SITE_1638","ROOM_13624","APPL_66989","Stove / Oven combo","General Electric",NA,"J B550G0J3AD",NA,NA,"Unknown","ZV201375G","No","Yes","Electric","Coils",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1639","ROOM_29282","APPL_174517","Stove / Oven combo","Frigidaire",NA,"FFES3015PWF",NA,NA,"Unknown","AF64505792","No","Yes","Electric","Coils",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1639","ROOM_18080","APPL_66418","Stove / Oven combo","General Electric",NA,"J BP23D N1WW",NA,NA,"Unknown","GT2 80582Q","No","Yes","Electric","Coils",NA,"4","Electric",NA,"Radiant","Single Oven","Garage"
"SITE_164","ROOM_42776","APPL_54292","Stove / Oven combo","General Electric",NA,"JGB700SEJ4SS",NA,NA,"Unknown","GM211680P","No","Yes","Natural Gas","Combustion",NA,"5","Natural Gas",NA,"Both","Single Oven","Kitchen"
"SITE_1640","ROOM_39871","APPL_2247","Stove / Oven combo","General Electric",NA,"JGBP33DEM1BB",NA,NA,"Unknown","MM218066P","No","Yes","Natural Gas","Combustion",NA,"4","Natural Gas",NA,"Radiant","Single Oven","Kitchen"
"SITE_1641","ROOM_39897","APPL_40399","Stove / Oven combo","General Electric",NA,"JGBS30DEK1WW",NA,NA,"Unknown","VH147892P","No","Yes","Natural Gas","Combustion",NA,"4","Natural Gas",NA,"Radiant","Single Oven","Kitchen"
"SITE_1642","ROOM_10309","APPL_101064","Stove / Oven combo","KitchenAid",NA,"KFGS530ESS2",NA,NA,"Unknown","R70411199","No","Yes","Natural Gas","Combustion",NA,"5","Natural Gas",NA,"Convection","Single Oven","Kitchen"
"SITE_1643","ROOM_11169","APPL_100537","Stovetop","Whirlpool",NA,"Unknown","Unknown","Unknown","Unknown","Unknown","No","Yes","Natural Gas","Combustion",NA,"4",NA,NA,NA,NA,"Kitchen"
"SITE_1643","ROOM_11169","APPL_124654","Oven (standalone / wall)","Whirlpool",NA,"RBS305PRS00",NA,NA,"Unknown","XU3811391","No","Yes",NA,NA,NA,NA,"Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1644","ROOM_26692","APPL_157582","Stove / Oven combo","KitchenAid",NA,"KESC 300 HBT8",NA,NA,"Unknown","MM3728220","No","Yes","Electric","Glass Top",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1644","ROOM_32454","APPL_113779","Stove / Oven combo","General Electric",NA,"Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","No","Electric","Coils",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1645","ROOM_20256","APPL_77194","Stove / Oven combo","Frigidaire",NA,"GLEFZ389HCD",NA,NA,"Unknown","VF91035347","No","Yes","Electric","Glass Top",NA,"4","Electric",NA,"Both","Single Oven","Kitchen"
"SITE_1646","ROOM_22203","APPL_105690","Stove / Oven combo","LG",NA,"LRGL5823S01",NA,NA,"2021","110MMVV0Q935","No","Yes","Natural Gas","Combustion",NA,"5","Natural Gas",NA,"Convection","Single Oven","Kitchen"
"SITE_1647","ROOM_39274","APPL_5516","Stovetop","Other","Thor","Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Yes","Natural Gas","Combustion",NA,"6",NA,NA,NA,NA,"Kitchen"
"SITE_1647","ROOM_39274","APPL_103767","Oven (standalone / wall)","LG",NA,"LWC3063ST 100","OTHER","Unknown","Unknown","109KMCBOM443","No","Yes",NA,NA,NA,NA,"Electric",NA,"Both","Single Oven","Kitchen"
"SITE_165","ROOM_7696","APPL_125255","Stove / Oven combo","Frigidaire",NA,"FFEH3054US",NA,NA,"Unknown","W7220086720","No","Yes","Electric","Glass Top",NA,"5","Electric",NA,"Convection","Single Oven","Kitchen"
"SITE_166","ROOM_15343","APPL_168285","Stove / Oven combo","Unknown",NA,"Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Yes","Natural Gas","Combustion",NA,"4","Natural Gas",NA,"Convection","Single Oven","Kitchen"
"SITE_167","ROOM_46392","APPL_94302","Stove / Oven combo","General Electric",NA,"J2S968SEK1SS",NA,NA,"2005","TH239531Q","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Single Oven","Kitchen"
"SITE_168","ROOM_28536","APPL_149538","Oven (standalone / wall)","Kenmore",NA,"#79049423312",NA,NA,"Unknown","AF41501650","No","Yes",NA,NA,NA,NA,"Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_168","ROOM_28536","APPL_73195","Stovetop","Other","Shot Ceran","KCED606GBL01",NA,NA,"Unknown","DX0210452","No","Yes","Electric","Glass Top",NA,"5",NA,NA,NA,NA,"Kitchen"
"SITE_169","ROOM_1268","APPL_157374","Stove / Oven combo","White-Westinghouse",NA,"Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Yes","Electric","Coils",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_17","ROOM_5295","APPL_88397","Stove / Oven combo","General Electric",NA,"JGP29SEJ1SS",NA,NA,"Unknown","MG208021P","No","Yes","Natural Gas","Combustion",NA,"4","Natural Gas",NA,"Radiant","Single Oven","Kitchen"
"SITE_170","ROOM_46514","APPL_144687","Stove / Oven combo","Jenn-Air",NA,"Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Yes","Natural Gas","Combustion",NA,"4","Electric",NA,"Convection","Single Oven","Kitchen"
"SITE_171","ROOM_8126","APPL_135589","Stove / Oven combo","Frigidaire",NA,"Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Yes","Electric","Coils",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_172","ROOM_33725","APPL_77251","Stove / Oven combo","General Electric",NA,"J BP25G R1WH",NA,NA,"Unknown","GG215219G","No","Yes","Electric","Coils",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1727","ROOM_15894","APPL_43097","Stove / Oven combo","Amana",NA,"Unknown","Unknown",NA,"Unknown","Unknown","No","Yes","Electric","Glass Top",NA,"Unknown","Electric",NA,"Radiant","Single Oven","Kitchen"
