"SiteID","RoomID","ApplianceID","Type","Make","Make_Other","Model","Refrigerator_Freezer_Missing_Model_Reason","Vintage","Serial","Energy_Star","Wifi_Enabled","Primary","Size_Cubic_Feet","Size_Is_Estimated","Percent_of_Year_Used","Door_in_Door","Integrated_Screen","Icemaker_Present","Icemaker_type","Icemaker_Working","Room_Type"
"SITE_62","ROOM_29772","APPL_146820","R/F Bottom Freezer","Sub-Zero",NA,"700TC",NA,"Unknown","Unknown","No","No","Yes","20","Estimated","100","No","No","No",NA,NA,"Kitchen"
"SITE_62","ROOM_18810","APPL_38885","Full Size Single Refrigerator Only","Kelvinator",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","No","12","Estimated","100","No","No","No",NA,NA,"Mechanical"
"SITE_62","ROOM_18810","APPL_12443","Full Size Single Refrigerator Only","White-Westinghouse",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","No","15","Estimated","100","No","No","No",NA,NA,"Mechanical"
"SITE_620","ROOM_19018","APPL_92565","Side by Side Refrigerator/Freezer","Jenn-air",NA,"JRSD209",NA,"Unknown","Unknown","No","No","Yes","19.8","Measured or Known","100","No","No","Yes","Through door","No","Kitchen"
"SITE_621","ROOM_15039","APPL_124070","Side by Side Refrigerator/Freezer","Whirlpool",NA,"WRS571CIHZ01",NA,"2018","HR83817141","No","No","Yes","21","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_622","ROOM_3816","APPL_76023","Side by Side Refrigerator/Freezer","Maytag",NA,"MSS26C6MFZ00",NA,"2018","HR80534151","No","No","Yes","Unknown",NA,"100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_622","ROOM_24419","APPL_133729","Upright Full Size Single Freezer Only","Frigidaire",NA,"FFU2124DW5",NA,"2006","WB60941017","No","No","No","Unknown",NA,"100",NA,"No","No",NA,NA,"Garage"
"SITE_623","ROOM_23546","APPL_66039","Side by Side w/ Bottom Freezer","LG",NA,"LFC24770ST/02",NA,"2016","Unknown","No","No","Yes","25.5","Measured or Known","100","No","No","Yes","In freezer","Yes","Kitchen"
"SITE_624","ROOM_17783","APPL_135592","Chest Freezer","Montgomery Ward",NA,"#8949",NA,"Unknown","Unknown","No","No","No","20.8","Measured or Known","100",NA,"No","No",NA,NA,"Other"
"SITE_624","ROOM_20571","APPL_87816","R/F Bottom Freezer","Whirlpool",NA,"EB21DKXAW00",NA,"1993","EC4217091","No","No","Yes","Unknown",NA,"100","No","No","No",NA,NA,"Kitchen"
