"SiteID","RoomID","ApplianceID","Model","Vintage","Wifi_Enabled","Used_for_DVD_or_Bluray","Room_Type"
"SITE_1518","ROOM_39088","APPL_121367","MICROSOFT XBOX 360","Unknown","Yes","Unknown","Bedroom"
"SITE_1518","ROOM_39088","APPL_62363","SONY PLAYSTATION3","Unknown","Yes","No","Bedroom"
"SITE_1518","ROOM_12093","APPL_50337","SONY PLAYSTATION2","Unknown","No","No","Family Room"
"SITE_152","ROOM_21353","APPL_108795","MICROSOFT XBOX 360","2010","Yes","No","Living Room"
"SITE_1526","ROOM_42685","APPL_169150","SONY PLAYSTATION4","Unknown","Yes","Yes","Living Room"
"SITE_1527","ROOM_32881","APPL_87744","NINTENDO WII","Unknown","Yes","No","Family Room"
"SITE_1527","ROOM_32881","APPL_114078","MICROSOFT XBOX 360","Unknown","Yes","No","Family Room"
"SITE_1527","ROOM_6685","APPL_45933","NINTENDO SWITCH","Unknown","Yes","No","Bedroom"
"SITE_1527","ROOM_6685","APPL_19225","SONY PLAYSTATION3","Unknown","Yes","No","Bedroom"
"SITE_1529","ROOM_25015","APPL_139160","MICROSOFT XBOX 360","Unknown","Yes","No","Family Room"
"SITE_1531","ROOM_25648","APPL_47870","NINTENDO WII","Unknown","Yes","No","Living Room"
"SITE_1531","ROOM_31120","APPL_55420","MICROSOFT XBOX 360","Unknown","Yes","No","Bedroom"
"SITE_1531","ROOM_31120","APPL_76355","MICROSOFT XBOX ONE","Unknown","Yes","No","Bedroom"
"SITE_1534","ROOM_27166","APPL_169288","SONY PLAYSTATION4","Unknown","Yes","No","Bedroom"
"SITE_1534","ROOM_27166","APPL_113608","MICROSOFT XBOX ONE","Unknown","Yes","No","Bedroom"
"SITE_154","ROOM_37392","APPL_130","MICROSOFT XBOX ONE","2019","Yes","Yes","Bedroom"
"SITE_1540","ROOM_31925","APPL_32571","MICROSOFT XBOX 360","Unknown","Yes","Yes","Living Room"
"SITE_1547","ROOM_5503","APPL_58477","NINTENDO SWITCH","Unknown","Yes","No","Living Room"
"SITE_1548","ROOM_5270","APPL_31730","NINTENDO WII","Unknown","Yes","No","Family Room"
"SITE_1548","ROOM_5270","APPL_59724","SONY PLAYSTATION5","Unknown","Yes","Unknown","Family Room"
"SITE_1548","ROOM_21341","APPL_131468","SONY PLAYSTATION3","Unknown","Yes","No","Closet"
"SITE_1548","ROOM_21341","APPL_21747","SONY PLAYSTATION4","Unknown","Yes","Unknown","Closet"
"SITE_1551","ROOM_18345","APPL_37843","NINTENDO WII","Unknown","Yes","No","Living Room"
"SITE_1552","ROOM_25909","APPL_155824","NINTENDO WII","Unknown","Yes","No","Living Room"
"SITE_1557","ROOM_21490","APPL_168446","NINTENDO SWITCH","Unknown","Yes","No","Living Room"
"SITE_1560","ROOM_12956","APPL_105543","NINTENDO SWITCH","Unknown","Yes","No","Bedroom"
"SITE_157","ROOM_14762","APPL_9463","MICROSOFT XBOX ONE","2013","Yes","Unknown","Bedroom"
"SITE_1573","ROOM_32379","APPL_158828","SONY PLAYSTATION4","Unknown","Yes","Unknown","Basement"
"SITE_1573","ROOM_29828","APPL_44049","Unknown","Unknown","Unknown","Unknown","Living Room"
"SITE_1576","ROOM_9296","APPL_22041","NINTENDO WII","Unknown","Yes","No","Living Room"
"SITE_1576","ROOM_9296","APPL_127562","SONY PLAYSTATION4","Unknown","Yes","Yes","Living Room"
