"SiteID","RoomID","WaterDetail_ID","Room_Type","Fixture_Type","Rated_GPM","Primary_Shower","Usage"
"SITE_498","ROOM_23071","APPL_75123","Kitchen","Faucet","2.2",NA,NA
"SITE_498","ROOM_44348","APPL_116072","Bathroom","Faucet","1.5",NA,NA
"SITE_498","ROOM_44348","APPL_42012","Bathroom","Shower / Bathtub combo with Diverter Valve","Unknown","Primary","Daily / Almost Daily"
"SITE_499","ROOM_38422","APPL_110857","Bathroom","Faucet","Unknown",NA,NA
"SITE_499","ROOM_38422","APPL_121488","Bathroom","Shower / Bathtub combo with Diverter Valve","Unknown","Secondary","A few times per year or less"
"SITE_499","ROOM_7960","APPL_51139","Kitchen","Faucet","Unknown",NA,NA
"SITE_499","ROOM_15193","APPL_57819","Bathroom","Faucet","Unknown",NA,NA
"SITE_499","ROOM_15193","APPL_142080","Bathroom","Shower / Bathtub combo with Diverter Valve","Unknown","Primary","Daily / Almost Daily"
"SITE_499","ROOM_40494","APPL_127122","Bathroom","Faucet","Unknown",NA,NA
"SITE_499","ROOM_40494","APPL_66081","Bathroom","Shower","Unknown","Secondary","Daily / Almost Daily"
"SITE_5","ROOM_3732","APPL_159659","Kitchen","Faucet","Unknown",NA,NA
"SITE_5","ROOM_39905","APPL_118460","Bathroom","Faucet","2.2",NA,NA
"SITE_5","ROOM_39905","APPL_152235","Bathroom","Shower / Bathtub combo with Diverter Valve","Unknown","Primary","Daily / Almost Daily"
"SITE_50","ROOM_35026","APPL_162890","Kitchen","Faucet","1.8",NA,NA
"SITE_50","ROOM_26523","APPL_163958","Bathroom","Shower / Bathtub combo with Diverter Valve","2","Secondary","A few times per year"
"SITE_50","ROOM_26523","APPL_128052","Bathroom","Faucet","Unknown",NA,NA
"SITE_50","ROOM_8754","APPL_113169","Bathroom","Faucet","Unknown",NA,NA
"SITE_50","ROOM_8754","APPL_102751","Bathroom","Shower","2","Primary","Daily / Almost Daily"
"SITE_500","ROOM_17092","APPL_73420","Kitchen","Faucet","Unknown",NA,NA
"SITE_500","ROOM_19991","APPL_134670","Bathroom","Faucet","2.2",NA,NA
"SITE_500","ROOM_21825","APPL_138275","Laundry","Faucet","Unknown",NA,NA
"SITE_500","ROOM_27323","APPL_115715","Bathroom","Faucet","Unknown",NA,NA
"SITE_500","ROOM_27323","APPL_79626","Bathroom","Faucet","Unknown",NA,NA
"SITE_500","ROOM_27323","APPL_57866","Bathroom","Bathtub","Unknown","Unknown",NA
"SITE_500","ROOM_27323","APPL_122988","Bathroom","Shower","2.5","Primary","Daily / Almost Daily"
"SITE_500","ROOM_27323","APPL_32060","Bathroom","Shower","2.5","Primary","Daily / Almost Daily"
"SITE_500","ROOM_2812","APPL_160750","Bathroom","Faucet","Unknown",NA,NA
"SITE_500","ROOM_2812","APPL_112337","Bathroom","Faucet","Unknown",NA,NA
"SITE_500","ROOM_2812","APPL_105263","Bathroom","Shower / Bathtub combo with Diverter Valve","2.5","Secondary","A few times per year or less"
"SITE_501","ROOM_3810","APPL_171178","Kitchen","Faucet","1.5",NA,NA
"SITE_501","ROOM_12048","APPL_26171","Bathroom","Faucet","2",NA,NA
"SITE_501","ROOM_12048","APPL_168065","Bathroom","Faucet","2",NA,NA
"SITE_501","ROOM_12048","APPL_117953","Bathroom","Shower","Unknown","Secondary","Daily / Almost Daily"
"SITE_501","ROOM_5673","APPL_158405","Laundry","Faucet","Unknown",NA,NA
"SITE_501","ROOM_27517","APPL_113438","Bathroom","Faucet","2",NA,NA
"SITE_501","ROOM_27517","APPL_137843","Bathroom","Shower","Unknown","Primary","Daily / Almost Daily"
"SITE_501","ROOM_19441","APPL_152239","Bathroom","Faucet","2",NA,NA
"SITE_501","ROOM_19441","APPL_7594","Bathroom","Shower","Unknown","Secondary","A few times per week"
"SITE_501","ROOM_19441","APPL_56316","Bathroom","Bathtub","Unknown","Secondary","A few times per week"
"SITE_501","ROOM_34114","APPL_88021","Bathroom","Faucet","2",NA,NA
"SITE_501","ROOM_34114","APPL_118556","Bathroom","Shower","Unknown","Secondary","A few times per week"
"SITE_502","ROOM_3130","APPL_96558","Kitchen","Faucet","1.5",NA,NA
"SITE_502","ROOM_35545","APPL_149514","Bathroom","Faucet","1.5",NA,NA
"SITE_502","ROOM_35545","APPL_14883","Bathroom","Bathtub","Unknown","Secondary","A few times per year or less"
"SITE_502","ROOM_11077","APPL_159479","Bathroom","Faucet","1.5",NA,NA
"SITE_502","ROOM_11077","APPL_96707","Bathroom","Shower / Bathtub combo with Diverter Valve","2.5","Primary","Daily / Almost Daily"
"SITE_503","ROOM_40831","APPL_9631","Kitchen","Faucet","1.5",NA,NA
"SITE_503","ROOM_8853","APPL_34694","Bathroom","Faucet","1.5",NA,NA
"SITE_503","ROOM_8853","APPL_89890","Bathroom","Shower","2.5","Secondary","A few times per year or less"
"SITE_503","ROOM_19158","APPL_146259","Bathroom","Faucet","1.5",NA,NA
