"SiteID","Mechanical_ID","Technology_Description","Storage_Tankless","Fuel_Type","Make","Make_Other","Model","Water_Heater_Missing_Model_Reason","Size","Size_Is_Estimated","Year_Manufactured","Serial_Number","Wifi_Enabled","Serves_Whole_House","Location","Provided_by_Heating_System","Supplemental_Solar_Water_Heating","Capacity_BTUH","Capacity_BTUH_Is_Estimated","Capacity_kW","Capacity_kW_Is_Estimated","Water_Heater_Efficiency_Type","Water_Heater_Efficiency","Water_Heater_MEF","Tank_Wrap","Tank_Wrap_Thickness","Pipe_Wrap","Pipe_Wrap_Type","Pipe_Wrap_Type_Other","Pipe_Wrap_Length","Pipe_Wrap_Length_Is_Estimated","Pipe_Wrap_Thickness","Pipe_Wrap_Thickness_Is_Estimated","Circulator_Present","Space_Is_Conditioned","HPWH_Conditioned_Space_Size","Relation_to_Space_Heating_Unit","Air_Supply_From_Inside_House","HPWH_Ducting","Within_4_feet_of_a_drain","Drain_Type","Can_Exhaust_to_Garage_or_Get_Supply_Air_from_Home_Interior","In_A_Room_Greater_Than_1.000_Cubic_Feet","Eight_feet_of_Vertical_Space","HPWH_Current_Mode","HPWH_Port_Present","Indirect_Water_Heater_Fuel"
"SITE_1481","MECH_125451","Electric Resistance","Storage","Electric","Hotpoint",NA,"HE50M1B00",NA,"50","Measured or Known","2003","HP0703215926","No","No","Closet","Yes","No",NA,NA,"3.8","Measured or Known","Energy Factor (EF)","0.86","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"None of the above","No",NA,"Unknown","Unknown","No","No","No",NA,NA,NA
"SITE_1482","MECH_120978","Electric Resistance","Storage","Electric","Reliance",NA,"650DORS",NA,"50","Measured or Known","Unknown","0952A004259","No","Yes","Closet","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"None of the above","Yes",NA,"Unknown","Unknown","No","No","No",NA,NA,NA
"SITE_1483","MECH_24511","Electric Resistance","Storage","Electric","Kenmore",NA,"#153321540",NA,"55","Measured or Known","Unknown","A05A053042","No","No","Outbuilding / Addition","Unknown","Unknown",NA,NA,"5.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","No","Unknown",NA,NA,NA
"SITE_1483","MECH_7426","Electric Resistance","Storage","Electric","Reliance",NA,"6-50-EORS 110",NA,"50","Measured or Known","Unknown","#2132125593085","No","Yes","Laundry","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"Unknown","Unknown",NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","Yes","Unknown",NA,NA,NA
"SITE_1484","MECH_152264","Electric Resistance","Storage","Electric","Bradford White",NA,"RE250T6-1NCWW",NA,"50","Measured or Known","Unknown","XB47393477","No","Yes","Mechanical","No","No",NA,NA,"4.5","Measured or Known","Unknown","0.95","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","No",NA,"Next to each other","Yes",NA,"No","Unknown","No","Yes","Yes",NA,NA,NA
"SITE_1485","MECH_60397","Electric Resistance","Storage","Electric","Ruud",NA,"PE52-2 C",NA,"50","Measured or Known","Unknown","RU 0599193514","No","Yes","Laundry","No","No",NA,NA,"4.5","Measured or Known","Energy Factor (EF)","0.88","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"None of the above","Yes",NA,"Yes","Plumbed drain","Yes","No","No",NA,NA,NA
"SITE_1486","MECH_7177","Electric Resistance","Storage","Electric","Rheem",NA,"XE50M06ST45U0",NA,"50","Measured or Known","2015","M521422024","No","Yes","Laundry","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","No","Unknown",NA,NA,NA
"SITE_1487","MECH_94699","Electric Heat Pump (Packaged)","Storage","Electric","Rheem",NA,"PROPH80T2RH350DCB",NA,"80","Measured or Known","2019","Q431913329","Yes","Yes","Mechanical","No","No",NA,NA,"5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","No","23","Adjacent rooms","Yes","None","Yes","Floor drain","Yes","No","Yes","Other","Yes",NA
"SITE_1488","MECH_7277","Electric Resistance","Storage","Electric","Ruud",NA,"PE2-52-2",NA,"50","Measured or Known","2006","RU 0905R01279","No","Yes","Bedroom","No","No",NA,NA,"4.5","Measured or Known","Uniform Energy Factor (UEF)","0.93","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"None of the above","No",NA,"No","Unknown","No","Yes","No",NA,NA,NA
"SITE_1489","MECH_100592","Electric Resistance","Storage","Electric","AO Smith",NA,"EG12-50R55DV 210",NA,"50","Measured or Known","Unknown","#2029120191115","No","Yes","Laundry","No","No",NA,NA,"5.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"Next to each other","Yes",NA,"No","Unknown","Yes","Yes","Yes",NA,NA,NA
"SITE_149","MECH_139302","Electric Resistance","Storage","Electric","Rheem",NA,"XE50M06ST45U1",NA,"50","Measured or Known","2016","M341602070","No","Yes","Kitchen","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"Adjacent rooms","Yes",NA,"No","Unknown","No","Yes","No",NA,NA,NA
"SITE_1490","MECH_115219","Electric Resistance","Storage","Electric","General Electric",NA,"GE40M06AAG",NA,"40","Measured or Known","Unknown","GEM341207235","No","Yes","Laundry","No","No",NA,NA,"4.5","Measured or Known","Integrated Energy Factor (IEF)","0.92","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","Yes","Unknown",NA,NA,NA
"SITE_1491","MECH_139201","Electric Resistance","Storage","Electric","Rheem",NA,"XE50T06ST45U1",NA,"50","Measured or Known","2018","M501827696","No","Yes","Laundry","No","No",NA,NA,"4.5","Measured or Known","Uniform Energy Factor (UEF)","0.93","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"None of the above","Yes",NA,"Yes","Floor drain","No","No","No",NA,NA,NA
"SITE_1492","MECH_130351","Electric Resistance","Storage","Electric","Rheem",NA,"XE50T06HE45U0",NA,"50","Measured or Known","2014","RH M191419815","No","Yes","Mechanical","No","No",NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"Same room","Yes",NA,"Yes","Floor drain","No","Yes","No",NA,NA,NA
"SITE_1493","MECH_100958","Electric Resistance","Storage","Electric","Hotpoint",NA,"HESOM1800",NA,"50","Measured or Known","Unknown","HP0801213039","No","Yes","Mechanical","No","No",NA,NA,"3.8","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","No","Unknown",NA,NA,NA
"SITE_1494","MECH_33579","Electric Resistance","Storage","Electric","Bradford White",NA,"M250T6DS",NA,"50","Measured or Known","Unknown","JF16846335","No","Yes","Laundry","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","No",NA,"Same room","Yes",NA,"Unknown","Unknown","No","No","Unknown",NA,NA,NA
"SITE_1496","MECH_722","Electric Resistance","Storage","Electric","Rheem",NA,"PROE50 T2 RH95",NA,"50","Measured or Known","2020","M442003088","No","Yes","Garage","Yes","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","No",NA,"Next to each other","Yes",NA,"Yes","Plumbed drain","Yes","Yes","Yes",NA,NA,NA
"SITE_1496","MECH_722","Electric Resistance","Storage","Electric","Rheem",NA,"PROE50 T2 RH95",NA,"50","Measured or Known","2020","M442003088","No","Yes",NA,"Yes","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","No",NA,"Next to each other","Yes",NA,"Yes","Plumbed drain","Yes","Unknown","Yes",NA,NA,NA
"SITE_1496","MECH_84321","Electric Resistance","Storage","Electric","Reliance",NA,"6-50-EORT 120",NA,"50","Measured or Known","Unknown","#2037120965662","No","Yes","Garage","Yes","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Unknown",NA,"Next to each other","Yes",NA,"Yes","Plumbed drain","Yes","Yes","Yes",NA,NA,NA
"SITE_1497","MECH_152393","Electric Resistance","Storage","Electric","Whirlpool",NA,"E2F40RD045V",NA,"40","Measured or Known","Unknown","#0540122522","No","Yes","Mechanical","Yes","No",NA,NA,"4.5","Measured or Known","Energy Factor (EF)","0.92","Unknown","No",NA,"Yes","Polyethylene Foam",NA,"10","Estimated","0.5","Measured or Known","No","Yes",NA,"Same room","Yes",NA,"No","Unknown","No","Yes","No",NA,NA,NA
"SITE_1498","MECH_3945","Electric Resistance","Storage","Electric","Ruud",NA,"PROE50 T2 RU95",NA,"50","Measured or Known","Unknown","M051612638","No","Yes","Mechanical","No","No",NA,NA,"4.5","Measured or Known","Energy Factor (EF)","0.93","Unknown","No",NA,"Yes","Polyethylene Foam",NA,"7","Measured or Known","1","Measured or Known","No","Yes",NA,"None of the above","Yes",NA,"Yes","Plumbed drain","No","No","Yes",NA,NA,NA
"SITE_1499","MECH_105351","Electric Resistance","Storage","Electric","Bradford White",NA,"RE250S6-1NCWW",NA,"50","Measured or Known","Unknown","TJ43909401","No","Yes","Laundry","No","No",NA,NA,"4.5","Measured or Known","Uniform Energy Factor (UEF)","0.92","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"None of the above","Yes",NA,"No","Unknown","Yes","No","Yes",NA,NA,NA
"SITE_15","MECH_66998","Electric Resistance","Storage","Electric","Whirlpool",NA,"EE3J50RD045V",NA,"50","Measured or Known","Unknown","#0412120860","No","Yes","Laundry","No","No",NA,NA,"4.5","Measured or Known","Energy Factor (EF)","0.95","Unknown","Yes","3.0 inches","No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"Next to each other","Yes",NA,"No","Unknown","Yes","No","No",NA,NA,NA
"SITE_150","MECH_76682","Fossil Fuel Non-Condensing","Storage","Natural Gas","Bradford White",NA,"RG250T6N",NA,"50","Measured or Known","Unknown","MG36549735","No","Yes","Outside","No","No","40000","Unknown",NA,NA,"Unknown","0.63","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","Unknown","Unknown",NA,NA,NA
"SITE_1500","MECH_75550","Electric Resistance","Storage","Electric","Unknown",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","Unknown","Unknown","No","Yes","Basement","No","No",NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","No",NA,"Next to each other","Yes",NA,"Unknown","Unknown","No","Unknown","No",NA,NA,NA
"SITE_1501","MECH_10441","Electric Resistance","Storage","Electric","Bradford White",NA,"RE350T6-1NCWW",NA,"50","Measured or Known","Unknown","PG39857126","No","Yes","Laundry","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"None of the above","Yes",NA,"Yes","Plumbed drain","No","No","No",NA,NA,NA
"SITE_1502","MECH_114403","Electric Resistance","Storage","Electric","Richmond",NA,"8V52-2",NA,"50","Measured or Known","Unknown","RC0795139617","No","Yes","Laundry","No","No",NA,NA,"4.5","Measured or Known","Uniform Energy Factor (UEF)","0.93","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","Yes","Unknown",NA,NA,NA
"SITE_1503","MECH_66256","Electric Resistance","Storage","Electric","General Electric",NA,"SE40M12TAH",NA,"40","Measured or Known","2010","GE 0910R03202","No","Yes","Bedroom","No","No",NA,NA,"5.5","Measured or Known","Integrated Energy Factor (IEF)","0.94","Unknown","No",NA,"Yes","Polyethylene Foam",NA,"4","Measured or Known","0.75","Measured or Known","No","Yes",NA,"None of the above","Yes",NA,"No","Unknown","No","No","No",NA,NA,NA
"SITE_1504","MECH_142927","Unknown","Storage","Unknown","Unknown",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","Unknown","Unknown","No","Yes","Crawlspace","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","3.0 inches","Yes","Polyethylene Foam",NA,"10","Estimated","0.25","Measured or Known","Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","Yes","Unknown",NA,NA,NA
"SITE_1505","MECH_110160","Electric Resistance","Storage","Electric","Ruud",NA,"PRO+E502RU95EC1",NA,"50","Measured or Known","2014","RUM161412292","No","Yes","Closet","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","No",NA,"None of the above","Yes",NA,"No","Unknown","No","No","No",NA,NA,NA
"SITE_1506","MECH_173491","Electric Resistance","Storage","Electric","US Craftmaster",NA,"E3H50RD045HV",NA,"50","Measured or Known","Unknown","#9945119804","No","Yes","Basement","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","Yes","Unknown",NA,NA,NA
"SITE_1507","MECH_9105","Electric Resistance","Storage","Electric","Whirlpool",NA,"EE2H50RD045V",NA,"50","Measured or Known","Unknown","0925T403836","No","Yes","Bathroom","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"None of the above","Yes",NA,"Yes","Plumbed drain","Yes","No","Yes",NA,NA,NA
"SITE_1509","MECH_155015","Electric Resistance","Storage","Electric","Bradford White",NA,"M15065DS13",NA,"50","Measured or Known","Unknown","MD4733031","No","Yes","Office","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"None of the above","Yes",NA,"No","Unknown","No","No","No",NA,NA,NA
"SITE_151","MECH_43049","Fossil Fuel Non-Condensing","Storage","Natural Gas","Bradford White",NA,"RG230T6N",NA,"50","Measured or Known","Unknown","XC47613755","No","Yes","Mechanical","No","No","40000","Unknown",NA,NA,"Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","No",NA,"Next to each other","No",NA,"No","Unknown","Yes","No","No",NA,NA,NA
"SITE_1510","MECH_52701","Electric Resistance","Storage","Electric","Whirlpool",NA,"E3Z50RD055CV",NA,"50","Estimated","1992","#0045125287","No","Unknown","Laundry","No","No",NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","No","Unknown",NA,NA,NA
"SITE_1511","MECH_124196","Electric Resistance","Storage","Electric","Whirlpool",NA,"E1F50RD045V",NA,"50","Measured or Known","1999","1414T479770","No","Yes","Laundry","No","No",NA,NA,"4.5","Measured or Known","Energy Factor (EF)","0.9","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"None of the above","Yes",NA,"Yes","Plumbed drain","Yes","No","No",NA,NA,NA
"SITE_1512","MECH_148477","Electric Resistance","Storage","Electric","Hotpoint",NA,"HE50M01AAG",NA,"50","Measured or Known","Unknown","0704R10880","No","Yes","Crawlspace","No","No",NA,NA,"3.8","Measured or Known","Unknown","Unknown","Unknown","Yes","2.0 inches","No",NA,NA,NA,NA,NA,NA,"No","No",NA,"None of the above","Yes",NA,"No","Unknown","Yes","Unknown","No",NA,NA,NA
"SITE_1513","MECH_139979","Electric Resistance","Storage","Electric","Rheem",NA,"PROE50 T2 RH95",NA,"50","Measured or Known","Unknown","M442114000","No","Yes","Basement","Yes","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"Yes","Fiberglass",NA,"30","Estimated","0.5","Measured or Known","No","Yes",NA,"Same room","Yes",NA,"Unknown","Unknown","Yes","Yes","No",NA,NA,NA
"SITE_1514","MECH_56745","Electric Resistance","Storage","Electric","General Electric",NA,"GE50T06TAG",NA,"50","Measured or Known","Unknown","GE 0411R14173","No","Yes","Bathroom","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"Yes","Polyethylene Foam",NA,"3","Estimated","1","Measured or Known","Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","No","Unknown",NA,NA,NA
"SITE_1515","MECH_155384","Electric Resistance","Storage","Electric","Rheem",NA,"PROE50 T2 RH95",NA,"50","Measured or Known","2017","M371704379","No","Yes","Laundry","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","No","Unknown",NA,NA,NA
"SITE_1516","MECH_129209","Electric Resistance","Storage","Electric","Kenmore",NA,"#153321441",NA,"40","Measured or Known","Unknown","F044Q5868","No","Yes","Bathroom","No","No",NA,NA,"3.8","Measured or Known","Unknown","Unknown","Unknown","No",NA,"Yes","Polyethylene Foam",NA,"3.5","Estimated","1","Measured or Known","No","No",NA,"None of the above","Yes",NA,"Yes","Floor drain","Yes","No","Yes",NA,NA,NA
"SITE_1517","MECH_91129","Electric Resistance","Storage","Electric","Reliance",NA,"6-50-EORS 110",NA,"50","Measured or Known","Unknown","#2032120493477","No","Yes","Mechanical","Yes","No",NA,NA,"4.5","Measured or Known","Uniform Energy Factor (UEF)","0.92","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","Yes","Unknown",NA,NA,NA
"SITE_1518","MECH_46893","Electric Resistance","Storage","Electric","Kenmore",NA,"#153321540",NA,"55","Measured or Known","Unknown","E05A141748","No","Yes","Mechanical","No","No",NA,NA,"5.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"Yes","Polyethylene Foam",NA,"5","Estimated","0.5","Measured or Known","No","No",NA,"None of the above","Yes",NA,"Yes","Floor drain","No","Yes","No",NA,NA,NA
"SITE_1519","MECH_119775","Electric Resistance","Storage","Electric","Reliance",NA,"6-50-EORT 130",NA,"50","Measured or Known","Unknown","#2132125573521","No","Yes","Bedroom","No","No",NA,NA,"4.5","Measured or Known","Uniform Energy Factor (UEF)","0.92","Unknown","No",NA,"Yes","Polyethylene Foam",NA,"6","Estimated","0.75","Estimated","No","Yes",NA,"None of the above","Yes",NA,"No","Unknown","No","Yes","No",NA,NA,NA
"SITE_152","MECH_88822","Electric Resistance","Storage","Electric","Ruud",NA,"ME3MR-52-2",NA,"50","Measured or Known","2008","RU0508R08020","No","Yes","Mechanical","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"Yes","Polyethylene Foam",NA,"3","Estimated","1","Estimated","No","Yes",NA,"Next to each other","No",NA,"No","Unknown","No","Yes","No",NA,NA,NA
"SITE_1520","MECH_74908","Electric Resistance","Storage","Electric","Kenmore",NA,"#153321542",NA,"55","Measured or Known","Unknown","0933A013312","No","Yes","Laundry","No","No",NA,NA,"3.8","Measured or Known","Unknown","Unknown","Unknown","No",NA,"Yes","Polyethylene Foam",NA,"3","Measured or Known","0.5","Estimated","No","Yes",NA,"None of the above","Yes",NA,"No","Unknown","No","Yes","No",NA,NA,NA
"SITE_1521","MECH_40595","Electric Resistance","Storage","Electric","Reliance",NA,"650 DORT",NA,"55","Measured or Known","Unknown","H06J064090","No","Yes","Basement","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"Yes","Fiberglass",NA,"9","Measured or Known","0.25","Measured or Known","No","Yes",NA,"None of the above","Yes",NA,"No","Unknown","No","Yes","No",NA,NA,NA
"SITE_1522","MECH_167108","Electric Resistance","Storage","Electric","Reliance",NA,"650DORS210",NA,"50","Measured or Known","Unknown","1304J009193","No","Yes","Basement","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","No",NA,"None of the above","No",NA,"No","Unknown","No","Yes","No",NA,NA,NA
"SITE_1523","MECH_138519","Electric Resistance","Storage","Electric","General Electric",NA,"GE50TO6TAG",NA,"50","Measured or Known","2005","GE0805R00710","No","Yes","Basement","Yes","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","No",NA,"None of the above","No",NA,"Yes","Floor drain","Yes","Yes","No",NA,NA,NA
"SITE_1524","MECH_142790","Electric Resistance","Storage","Electric","Rheem",NA,"E50 2 RH 95",NA,"40","Estimated","Unknown","Unknown","No","Yes","Bedroom","No","No",NA,NA,"4.5","Estimated","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"None of the above","No",NA,"No","Unknown","No","Yes","Yes",NA,NA,NA
"SITE_1525","MECH_100499","Electric Resistance","Storage","Electric","AO Smith",NA,"ENT-50 110",NA,"50","Measured or Known","Unknown","#1701104460529","No","Yes","Laundry","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"Same room","Yes",NA,"No","Unknown","Yes","Yes","Yes",NA,NA,NA
"SITE_1526","MECH_84983","Electric Resistance","Storage","Electric","Rheem",NA,"PROE2S S2 RH95",NA,"25","Measured or Known","Unknown","Unknown","Unknown","Yes","Crawlspace","No","No",NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","Yes","Unknown",NA,NA,NA
"SITE_1527","MECH_25846","Electric Resistance","Storage","Electric","US Craftmaster",NA,"E2E50HD045V",NA,"50","Measured or Known","Unknown","#9747356965","No","Yes","Bathroom","No","No",NA,NA,"4.5","Measured or Known","Energy Factor (EF)","0.91","Unknown","No",NA,"Yes","Polyethylene Foam",NA,"6","Estimated","0.25","Estimated","Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","Yes","Unknown",NA,NA,NA
"SITE_1528","MECH_85717","Electric Resistance","Storage","Electric","Bradford White",NA,"Unknown","Unknown","50","Estimated","Unknown","Unknown","No","Yes","Basement","No","No",NA,NA,"4.5","Estimated","Unknown","Unknown","Unknown","Yes","2.0 inches","Yes","Polyethylene Foam",NA,"2","Measured or Known","0.5","Estimated","No","Yes",NA,"None of the above","Yes",NA,"No","Unknown","No","Yes","Yes",NA,NA,NA
"SITE_1529","MECH_123066","Electric Resistance","Storage","Electric","Rheem",NA,"XE50M12CS55U1",NA,"50","Measured or Known","2020","Q372017440","Yes","Yes","Mechanical","No","No",NA,NA,"5.5","Measured or Known","Uniform Energy Factor (UEF)","0.92","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"Next to each other","Yes",NA,"No","Unknown","No","No","Yes",NA,NA,NA
"SITE_153","MECH_134648","Electric Resistance","Storage","Electric","GAMA",NA,"E61-50L-045DV",NA,"46.5","Measured or Known","Unknown","#0749128164","No","Yes","Family Room","No","No",NA,NA,"3.375","Measured or Known","Energy Factor (EF)","0.9","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"Next to each other","No",NA,"No","Unknown","No","Yes","No",NA,NA,NA
"SITE_1530","MECH_169110","Electric Resistance","Storage","Electric","Rheem",NA,"PROE50T2RH95",NA,"50","Measured or Known","2021","M272129702","No","Yes","Family Room","No","No",NA,NA,"4.5","Measured or Known","Uniform Energy Factor (UEF)","0.93","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","Yes","Unknown",NA,NA,NA
"SITE_1531","MECH_61139","Electric Resistance","Storage","Electric","General Electric",NA,"GE50T6EA",NA,"50","Measured or Known","Unknown","GE 0399102851","No","Yes","Closet","No","No",NA,NA,"4.5","Measured or Known","Integrated Energy Factor (IEF)","0.93","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"None of the above","Yes",NA,"No","Unknown","No","No","No",NA,NA,NA
"SITE_1532","MECH_157628","Electric Resistance","Storage","Electric","Reliance",NA,"9-50-EKRT 100",NA,"50","Measured or Known","Unknown","#1849112809825","No","Unknown","Bathroom","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","No","Unknown",NA,NA,NA
"SITE_1533","MECH_19264","Electric Resistance","Storage","Electric","Bradford White",NA,"MI50S6DS13",NA,"50","Measured or Known","Unknown","XF4633271","No","Yes","Hallway","No","No",NA,NA,"4.5","Measured or Known","Energy Factor (EF)","0.92","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","No","Unknown",NA,NA,NA
"SITE_1534","MECH_131857","Electric Resistance","Storage","Electric","AO Smith",NA,"E6-50R45DV110",NA,"50","Measured or Known","Unknown","#1818110277832","No","Yes","Laundry","No","No",NA,NA,"4.5","Measured or Known","Uniform Energy Factor (UEF)","0.92","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","No","Unknown",NA,NA,NA
"SITE_1535","MECH_101085","Electric Resistance","Storage","Electric","Reliance",NA,"650 DORS",NA,"50","Measured or Known","Unknown","0940J005987","No","Yes","Bedroom","Yes","No",NA,NA,"4.5","Measured or Known","Uniform Energy Factor (UEF)","0.92","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"None of the above","No",NA,"Yes","Plumbed drain","No","No","No",NA,NA,NA
"SITE_1536","MECH_122520","Electric Resistance","Storage","Electric","Rheem",NA,"E502RH95",NA,"50","Measured or Known","Unknown","M491912200","No","Yes","Laundry","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"Yes","Polyethylene Foam",NA,"5","Estimated","0.75","Measured or Known","Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","No","Unknown",NA,NA,NA
"SITE_1537","MECH_20393","Electric Resistance","Storage","Electric","Bradford White",NA,"RE350S6-1NCWW",NA,"50","Measured or Known","Unknown","WJ46597712","No","Yes","Mechanical","No","No",NA,NA,"4.5","Measured or Known","Uniform Energy Factor (UEF)","0.92","Unknown","No",NA,"Yes","Polyethylene Foam",NA,"10","Estimated","2","Measured or Known","Yes – captured with previous water heater","Yes",NA,"Same room","Yes",NA,"Yes","Plumbed drain","Yes","Yes","No",NA,NA,NA
