"SiteID","Mechanical_ID","Technology_Description","Storage_Tankless","Fuel_Type","Make","Make_Other","Model","Water_Heater_Missing_Model_Reason","Size","Size_Is_Estimated","Year_Manufactured","Serial_Number","Wifi_Enabled","Serves_Whole_House","Location","Provided_by_Heating_System","Supplemental_Solar_Water_Heating","Capacity_BTUH","Capacity_BTUH_Is_Estimated","Capacity_kW","Capacity_kW_Is_Estimated","Water_Heater_Efficiency_Type","Water_Heater_Efficiency","Water_Heater_MEF","Tank_Wrap","Tank_Wrap_Thickness","Pipe_Wrap","Pipe_Wrap_Type","Pipe_Wrap_Type_Other","Pipe_Wrap_Length","Pipe_Wrap_Length_Is_Estimated","Pipe_Wrap_Thickness","Pipe_Wrap_Thickness_Is_Estimated","Circulator_Present","Space_Is_Conditioned","HPWH_Conditioned_Space_Size","Relation_to_Space_Heating_Unit","Air_Supply_From_Inside_House","HPWH_Ducting","Within_4_feet_of_a_drain","Drain_Type","Can_Exhaust_to_Garage_or_Get_Supply_Air_from_Home_Interior","In_A_Room_Greater_Than_1.000_Cubic_Feet","Eight_feet_of_Vertical_Space","HPWH_Current_Mode","HPWH_Port_Present","Indirect_Water_Heater_Fuel"
"SITE_1910","MECH_164199","Fossil Fuel Condensing","Storage","Natural Gas","ProLine",NA,"G61-50T40-3NV",NA,"50","Measured or Known","Unknown","#0131112247","No","Yes","Garage","No","No","40000","Measured or Known",NA,NA,"Unknown","0.58","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","No",NA,"Next to each other","Yes",NA,"No","Unknown","Yes","Yes","Yes",NA,NA,NA
"SITE_1911","MECH_162576","Unknown","Unknown","Unknown","Unknown",NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Laundry","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","No","Unknown",NA,NA,NA
"SITE_1911","MECH_162560","Unknown","Unknown","Unknown","Unknown",NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Laundry","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","No","Unknown",NA,NA,NA
"SITE_1912","MECH_162551","Unknown","Unknown","Unknown","Unknown",NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Garage","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,NA,NA,NA,NA,"Water heater inaccessible","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","Unknown","Unknown",NA,NA,NA
"SITE_1914","MECH_162575","Unknown","Unknown","Unknown","Unknown",NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Garage","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","Unknown","Unknown",NA,NA,NA
"SITE_1915","MECH_71887","Electric Resistance","Storage","Electric","Ruud",NA,"PROE50 T2 RU95",NA,"50","Measured or Known","Unknown","M532006706","No","Yes","Mechanical","Yes","No",NA,NA,"4.5","Measured or Known","Uniform Energy Factor (UEF)","0.9","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"Yes","No",NA,"Same room","Yes",NA,"Yes","Floor drain","No","No","No",NA,NA,NA
"SITE_1915","MECH_142632","Electric Resistance","Storage","Electric","Ruud",NA,"PROE50 T2 RU95",NA,"50","Measured or Known","Unknown","M532006708","No","Yes","Mechanical","Yes","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"Yes – captured with previous water heater","No",NA,"Same room","Yes",NA,"Yes","Floor drain","No","No","No",NA,NA,NA
"SITE_1916","MECH_137370","Electric Resistance","Tankless","Electric","Stiebel Eltron",NA,"#2392239675905345",NA,NA,NA,"Unknown","Unknown","No","Yes","Basement","Yes","No",NA,NA,"21","Measured or Known","Unknown","Unknown","Unknown","No","Unknown","No",NA,NA,NA,NA,NA,NA,"No","No",NA,"Same room","Yes",NA,"No","Unknown","No","Yes","No",NA,NA,NA
"SITE_1917","MECH_97946","Electric Resistance","Storage","Electric","Whirlpool",NA,"E1F50RD045V",NA,"50","Measured or Known","Unknown","#0826346","No","Yes","Mechanical","No","No",NA,NA,"4.5","Measured or Known","Unknown","0.9","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","No",NA,"None of the above","Yes",NA,"No","Unknown","Yes","No","Yes",NA,NA,NA
"SITE_1918","MECH_72348","Electric Heat Pump (Packaged)","Storage","Electric","Bradford White",NA,"RE2H50S10-1NCWT",NA,"50","Measured or Known","2019","SB41011415","Unknown","Yes","Garage","Yes","No",NA,NA,"4.6","Measured or Known","Energy Factor (EF)","3","Unknown","No",NA,"Yes","Polyethylene Foam",NA,"6","Measured or Known","1","Estimated","No","Unknown","Unknown","Unknown","Unknown","None","Unknown","Unknown","Unknown","Yes","Unknown","Hybrid Mode","Yes",NA
