"SiteID","Ceiling_Type","Ceiling_Type_Other","Ceiling_Area","Ceiling_Accessible","Type_of_Area_Above_Ceiling","Ceiling_Framing_Size","Ceiling_Framing_Material","Ceiling_Framing_Material_Other","Ceiling_Framing_Spacing","Ceiling_Framing_Spacing_Other","Ceiling_Insulated","Ceiling_Insulation_Type_1","Ceiling_Insulation_Thickness_1","Ceiling_Insulation_Condition_1","Ceiling_Insulation_Type_2","Ceiling_Insulation_Thickness_2","Ceiling_Insulation_Condition_2","Ceiling_Insulation_Type_3","Ceiling_Insulation_Thickness_3","Ceiling_Insulation_Condition_3","Ceiling_Insulation_Source","Ceiling_Insulation_Source_Other","Ceiling_Insulation_U-Value","Ceiling_Insulation_R-Value","Ceiling_U-Value_for_Heat_Loss","Ceiling_Heat_Loss_Rate_UA"
"SITE_1274","Attic",NA,"896","Yes",NA,"2x6","Wood",NA,"16 inches on center",NA,"Yes","Blown cellulose","9","1",NA,NA,NA,NA,NA,NA,"Visual inspection",NA,"0.032517152798101","30.753","0.0363567676791795","32.5756638405448"
"SITE_1275","Sloped / Vaulted (no Attic)",NA,"984","No",NA,"2x10","Wood",NA,"24 inches on center",NA,"Yes","Expanded polystyrene foam board (white)","6","Unknown",NA,NA,NA,NA,NA,NA,"Other","spoke to the homeowner who built the home","0.0401606425702811","24.9","0.0651294802364136","64.087408552631"
"SITE_1276","Sloped / Vaulted (no Attic)",NA,"1210","No",NA,"2x10","Wood",NA,"24 inches on center",NA,"Yes","Blown cellulose","9.5","1","None","0","Unknown","None","0","Unknown","IR Camera",NA,"0.0308057237034641","32.4615","0.0562252400794903","68.0325404961833"
"SITE_1277","Attic",NA,"788","Yes",NA,"2x6","Wood",NA,"24 inches on center",NA,"Yes","Blown cellulose","10","0.9","None","0","Unknown","None","0","Unknown","Visual inspection",NA,"0.0292654375182909","34.17","0.0827585681014342","65.2137516639301"
"SITE_1277","Sloped / Vaulted (no Attic)",NA,"947","No",NA,"2x6","Wood",NA,"24 inches on center","Log","Yes","Fiberglass batts","5.5","1","None","0","Unknown","None","0","Unknown","Other","Homeowner installed","0.0533191149026926","18.755","0.0743947438597961","70.4518224352269"
"SITE_1278","Attic",NA,"973","Yes",NA,"2x6","Wood",NA,"24 inches on center",NA,"Yes","Blown fiberglass","7","0.9",NA,NA,NA,NA,NA,NA,"Visual inspection",NA,"0.0505689001264222","19.775","0.0984283671821658","95.7708012682473"
"SITE_1279","Sloped / Vaulted (no Attic)",NA,"1283","No",NA,"Unknown","Wood",NA,"24 inches on center",NA,"Yes","Unknown","Unknown","1",NA,NA,NA,NA,NA,NA,"IR Camera",NA,"Unknown","Unknown",NA,NA
"SITE_128","Attic",NA,"870","Yes",NA,"2x8","Wood",NA,"16 inches on center",NA,"Yes","Blown fiberglass","9","0.75",NA,NA,NA,NA,NA,NA,"Visual inspection",NA,"0.0393313667649951","25.425","0.162549719728612","141.418256163892"
"SITE_1280","Attic",NA,"1792","Yes",NA,"Scissor Truss","Wood",NA,"24 inches on center",NA,"Yes","Unknown","12","0.9",NA,NA,NA,NA,NA,NA,"Visual inspection",NA,"0.0277777777777778","36","0.08236318893123","147.594834564764"
"SITE_1281","Attic",NA,"693","Yes",NA,"2x6","Wood",NA,"24 inches on center",NA,"Yes","Blown fiberglass","18","0.9",NA,NA,NA,NA,NA,NA,"Visual inspection",NA,"0.0196656833824975","50.85","0.0777969040664565","53.9132545180544"
"SITE_1282","Attic",NA,"1100","Yes",NA,"2x6","Wood",NA,"16 inches on center",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0.559284116331096","615.212527964206"
"SITE_1283","Sloped / Vaulted (no Attic)",NA,"1892","No",NA,"2x12","Wood",NA,"24 inches on center",NA,"Yes","Fiberglass batts","11.5","1","None","0","Unknown","None","0","Unknown","IR Camera",NA,"0.0255004462578095","39.215","0.0881901846609283","166.855829378476"
