"SiteID","Quantity","Type","Skylight_Area_Inches","Skylight_Area_Inches_is_Estimated","Frame_Type","Glazing_Type","Opening_Type","Skylight_Direction","Shape","Shape_Other","Skylight_Height_Inches","Skylight_Width_Inches","Shade_Present","Shade_Reflective","Shade_Insulated","Area","U-Value","Skylight_UA"
"SITE_1985","1","Fixed","1248","Estimated","Wood - bare","Unknown","Unknown","East","Rectangle / Square",NA,"48","26","No",NA,NA,"1248","Unknown","Unknown"
"SITE_1986","1","Open","1728","Measured or Known","Wood aluminum clad","Double","Manual","West","Rectangle / Square",NA,"54","32","No",NA,NA,"1728","0.7","8.4"
"SITE_1996","1","Fixed","1000","Estimated","Unknown","Double","Unknown","NW","Rectangle / Square",NA,"50","20","No",NA,NA,"1000","Unknown","Unknown"
"SITE_1997","4","Fixed","2442","Measured or Known","Wood - bare","Double","Unknown","South","Rectangle / Square",NA,"74","33","No",NA,NA,"2442","0.38","25.76"
"SITE_20","1","Fixed","1000","Estimated","Vinyl","Double","Unknown","SE","Rectangle / Square",NA,"20","50","No",NA,NA,"1000","0.38","2.64"
"SITE_2013","1","Fixed","714","Measured or Known","Aluminum","Double","Unknown","South","Rectangle / Square",NA,"34","21","No",NA,NA,"714","0.7","3.47"
"SITE_2013","1","Fixed","589","Measured or Known","Wood aluminum clad","Double","Unknown","East","Rectangle / Square",NA,"31","19","No",NA,NA,"589","0.7","2.86"
"SITE_2026","1","Fixed","Unknown","Unknown","Wood - bare","Double","Unknown","North","Rectangle / Square",NA,"Unknown","20","No",NA,NA,"Unknown","0.38","Unknown"
"SITE_2027","1","Fixed","Unknown","Unknown","Aluminum","Double","Unknown","East","Rectangle / Square",NA,"Unknown","18","Yes","No","No","Unknown","0.7","Unknown"
"SITE_2027","1","Fixed","Unknown","Unknown","Aluminum","Double","Unknown","West","Rectangle / Square",NA,"Unknown","18","Yes","No","No","Unknown","0.7","Unknown"
