"SiteID","Quantity","Type","Skylight_Area_Inches","Skylight_Area_Inches_is_Estimated","Frame_Type","Glazing_Type","Opening_Type","Skylight_Direction","Shape","Shape_Other","Skylight_Height_Inches","Skylight_Width_Inches","Shade_Present","Shade_Reflective","Shade_Insulated","Area","U-Value","Skylight_UA"
"SITE_340","1","Fixed","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Circle",NA,"Unknown","Unknown","No",NA,NA,"Unknown","Unknown","Unknown"
"SITE_343","1","Fixed","441","Estimated","Unknown","Unknown","Unknown","East","Rectangle / Square",NA,"21","21","No",NA,NA,"441","Unknown","Unknown"
"SITE_344","2","Open","880","Measured or Known","Vinyl","Double","Manual","West","Rectangle / Square",NA,"44","20","No",NA,NA,"880","0.38","4.64"
"SITE_345","1","Fixed","630","Measured or Known","Vinyl","Double","Unknown","SW","Rectangle / Square",NA,"21","30","No",NA,NA,"630","0.38","1.66"
"SITE_347","1","Fixed","1152","Imputed","Wood - bare","Double","Unknown","East","Rectangle / Square",NA,"48","24","No",NA,NA,"1152","0.38","3.04"
"SITE_349","1","Fixed","2800","Estimated","Wood - bare","Unknown","Unknown","East","Rectangle / Square",NA,"70","40","No",NA,NA,"2800","Unknown","Unknown"
"SITE_349","1","Fixed","2800","Estimated","Wood - bare","Unknown","Unknown","East","Rectangle / Square",NA,"70","40","No",NA,NA,"2800","Unknown","Unknown"
"SITE_35","2","Fixed","1012","Measured or Known","Vinyl","Double","Unknown","North","Rectangle / Square",NA,"46","22","Yes","No","No","1012","0.38","5.34"
"SITE_35","2","Fixed","1012","Measured or Known","Vinyl","Double","Unknown","South","Rectangle / Square",NA,"46","22","Yes","No","No","1012","0.38","5.34"
"SITE_350","1","Fixed","1008","Estimated","Unknown","Unknown","Unknown","West","Rectangle / Square",NA,"42","24","No",NA,NA,"1008","Unknown","Unknown"
"SITE_350","1","Fixed","1152","Estimated","Unknown","Unknown","Unknown","East","Rectangle / Square",NA,"48","24","No",NA,NA,"1152","Unknown","Unknown"
"SITE_350","1","Fixed","1152","Estimated","Unknown","Unknown","Unknown","West","Rectangle / Square",NA,"48","24","No",NA,NA,"1152","Unknown","Unknown"
"SITE_352","2","Fixed","1200","Estimated","Vinyl","Unknown","Unknown","North","Rectangle / Square",NA,"50","24","No",NA,NA,"1200","Unknown","Unknown"
"SITE_352","1","Fixed","1200","Estimated","Vinyl","Unknown","Unknown","North","Rectangle / Square",NA,"50","24","No",NA,NA,"1200","Unknown","Unknown"
"SITE_36","2","Fixed","1232","Measured or Known","Wood aluminum clad","Double","Unknown","SE","Rectangle / Square",NA,"44","28","No",NA,NA,"1232","0.7","11.98"
"SITE_36","1","Fixed","314","Unknown","Vinyl","Single","Unknown","SE","Circle",NA,"Unknown","Unknown","No",NA,NA,"314","0.81","1.77"
"SITE_36","1","Fixed","1152","Measured or Known","Vinyl","Double","Unknown","SW","Rectangle / Square",NA,"24","48","No",NA,NA,"1152","0.38","3.04"
"SITE_36","1","Fixed","1152","Measured or Known","Wood aluminum clad","Double","Unknown","SE","Rectangle / Square",NA,"48","24","No",NA,NA,"1152","0.7","5.6"
"SITE_369","1","Fixed","1000","Measured or Known","Unknown","Double","Unknown","NE","Rectangle / Square",NA,"50","20","No",NA,NA,"1000","Unknown","Unknown"
"SITE_369","1","Fixed","Unknown","Unknown","Unknown","Unknown","Unknown","North","Circle",NA,"Unknown","Unknown","No",NA,NA,"Unknown","Unknown","Unknown"
"SITE_369","1","Fixed","Unknown","Unknown","Vinyl","Double","Unknown","North","Circle",NA,"Unknown","Unknown","No",NA,NA,"Unknown","0.38","Unknown"
"SITE_37","1","Fixed","1152","Imputed","Wood - bare","Double","Unknown","West","Rectangle / Square",NA,"48","24","No",NA,NA,"1152","0.38","3.04"
"SITE_378","2","Fixed","1500","Estimated","Vinyl","Unknown","Unknown","South","Rectangle / Square",NA,"50","30","Yes","Unknown","No","1500","Unknown","Unknown"
"SITE_38","1","Fixed","1152","Measured or Known","Vinyl","Double","Unknown","South","Rectangle / Square",NA,"48","24","No",NA,NA,"1152","0.38","3.04"
"SITE_381","3","Fixed","2100","Estimated","Vinyl","Double","Unknown","South","Rectangle / Square",NA,"70","30","No",NA,NA,"2100","0.38","16.62"
"SITE_381","1","Fixed","1350","Measured or Known","Vinyl","Double","Unknown","South","Rectangle / Square",NA,"45","30","No",NA,NA,"1350","0.38","3.56"
"SITE_382","1","Fixed","Unknown","Unknown","Vinyl","Double","Unknown","South","Circle",NA,"Unknown","Unknown","No",NA,NA,"Unknown","0.38","Unknown"
"SITE_382","1","Fixed","Unknown","Unknown","Vinyl","Double","Unknown","South","Circle",NA,"Unknown","Unknown","No",NA,NA,"Unknown","0.38","Unknown"
"SITE_382","1","Fixed","Unknown","Unknown","Vinyl","Double","Unknown","South","Circle",NA,"Unknown","Unknown","No",NA,NA,"Unknown","0.38","Unknown"
"SITE_387","1","Fixed","1800","Estimated","Unknown","Unknown","Unknown","SW","Rectangle / Square",NA,"45","40","No",NA,NA,"1800","Unknown","Unknown"
"SITE_391","3","Fixed","1000","Estimated","Wood - bare","Unknown","Unknown","South","Rectangle / Square",NA,"20","50","No",NA,NA,"1000","Unknown","Unknown"
"SITE_392","1","Fixed","1152","Measured or Known","Unknown","Unknown","Unknown","West","Rectangle / Square",NA,"48","24","No",NA,NA,"1152","Unknown","Unknown"
"SITE_4","2","Open","960","Estimated","Vinyl","Double","Electric","South","Rectangle / Square",NA,"48","20","Yes","No","Yes","960","0.38","5.06"
"SITE_40","2","Fixed","864","Estimated","Vinyl","Unknown","Unknown","South","Rectangle / Square",NA,"48","18","Yes","Unknown","Yes","864","Unknown","Unknown"
"SITE_40","1","Fixed","576","Estimated","Unknown","Unknown","Unknown","East","Rectangle / Square",NA,"24","24","No",NA,NA,"576","Unknown","Unknown"
"SITE_401","1","Fixed","2304","Estimated","Wood - bare","Unknown","Unknown","East","Rectangle / Square",NA,"48","48","No",NA,NA,"2304","Unknown","Unknown"
"SITE_401","1","Fixed","2304","Estimated","Wood fiberglass clad","Unknown","Unknown","East","Rectangle / Square",NA,"48","48","No",NA,NA,"2304","Unknown","Unknown"
"SITE_401","1","Fixed","Unknown","Unknown","Wood aluminum clad","Unknown","Unknown","West","Rectangle / Square",NA,"Unknown","52","No",NA,NA,"Unknown","Unknown","Unknown"
"SITE_405","2","Fixed","1008","Measured or Known","Vinyl","Unknown","Unknown","North","Rectangle / Square",NA,"48","21","Yes","No","No","1008","Unknown","Unknown"
"SITE_41","1","Fixed","1056","Measured or Known","Vinyl","Double","Unknown","West","Rectangle / Square",NA,"48","22","No",NA,NA,"1056","0.38","2.79"
"SITE_41","1","Fixed","1056","Measured or Known","Vinyl","Double","Unknown","East","Rectangle / Square",NA,"48","22","No",NA,NA,"1056","0.38","2.79"
"SITE_410","1","Fixed","1288","Estimated","Unknown","Unknown","Unknown","North","Rectangle / Square",NA,"28","46","No",NA,NA,"1288","Unknown","Unknown"
"SITE_415","2","Fixed","960","Estimated","Vinyl","Double","Unknown","North","Rectangle / Square",NA,"48","20","No",NA,NA,"960","0.38","5.06"
"SITE_417","1","Fixed","968","Measured or Known","Wood - bare","Double","Unknown","East","Rectangle / Square",NA,"44","22","No",NA,NA,"968","0.38","2.55"
"SITE_417","1","Fixed","968","Measured or Known","Wood - bare","Double","Unknown","South","Rectangle / Square",NA,"44","22","No",NA,NA,"968","0.38","2.55"
"SITE_420","2","Fixed","Unknown","Unknown","Vinyl","Double","Unknown","West","Circle",NA,"Unknown","Unknown","No",NA,NA,"Unknown","0.38","Unknown"
"SITE_426","1","Fixed","648","Measured or Known","Vinyl","Double","Unknown","North","Rectangle / Square",NA,"36","18","No",NA,NA,"648","0.38","1.71"
"SITE_426","1","Fixed","Unknown","Unknown","Vinyl","Double","Unknown","North","Rectangle / Square",NA,"Unknown","20","No",NA,NA,"Unknown","0.38","Unknown"
"SITE_426","1","Fixed","Unknown","Unknown","Vinyl","Double","Unknown","North","Rectangle / Square",NA,"Unknown","20","No",NA,NA,"Unknown","0.38","Unknown"
"SITE_432","2","Fixed","Unknown","Unknown","Vinyl","Double","Unknown","West","Rectangle / Square",NA,"46","Unknown","No",NA,NA,"Unknown","0.38","Unknown"
"SITE_434","1","Fixed","2304","Measured or Known","Fiberglass, interior wood clad","Double","Unknown","NE","Rectangle / Square",NA,"48","48","No",NA,NA,"2304","0.38","6.08"
"SITE_441","1","Fixed","1152","Measured or Known","Vinyl","Single","Unknown","East","Rectangle / Square",NA,"48","24","No",NA,NA,"1152","0.81","6.48"
"SITE_444","2","Fixed","Unknown","Unknown","Unknown","Unknown","Unknown","South","Rectangle / Square",NA,"Unknown","Unknown","No",NA,NA,"Unknown","Unknown","Unknown"
"SITE_447","1","Fixed","1152","Unknown","Vinyl","Double","Unknown","East","Rectangle / Square",NA,"48","24","No",NA,NA,"1152","0.38","3.04"
"SITE_45","1","Fixed","Unknown","Unknown","Unknown","Unknown","Unknown","North","Rectangle / Square",NA,"Unknown","Unknown","No",NA,NA,"Unknown","Unknown","Unknown"
"SITE_45","1","Fixed","Unknown","Unknown","Unknown","Unknown","Unknown","South","Rectangle / Square",NA,"Unknown","Unknown","No",NA,NA,"Unknown","Unknown","Unknown"
"SITE_45","3","Fixed","Unknown","Unknown","Unknown","Unknown","Unknown","North","Rectangle / Square",NA,"Unknown","Unknown","No",NA,NA,"Unknown","Unknown","Unknown"
"SITE_450","2","Fixed","1092","Estimated","Vinyl","Unknown","Unknown","SW","Rectangle / Square",NA,"42","26","No",NA,NA,"1092","Unknown","Unknown"
"SITE_450","2","Fixed","800","Measured or Known","Unknown","Unknown","Unknown","NW","Rectangle / Square",NA,"20","40","Yes","No","No","800","Unknown","Unknown"
"SITE_461","1","Fixed","966","Measured or Known","Unknown","Double","Unknown","SW","Rectangle / Square",NA,"46","21","No",NA,NA,"966","Unknown","Unknown"
"SITE_470","1","Fixed","1176","Measured or Known","Wood aluminum clad","Double","Unknown","West","Rectangle / Square",NA,"42","28","No",NA,NA,"1176","0.7","5.72"
"SITE_470","1","Fixed","1176","Measured or Known","Wood aluminum clad","Double","Unknown","East","Rectangle / Square",NA,"42","28","No",NA,NA,"1176","0.7","5.72"
"SITE_473","1","Open","484","Measured or Known","Vinyl","Double","Manual","East","Rectangle / Square",NA,"22","22","No",NA,NA,"484","0.38","1.28"
"SITE_475","1","Fixed","512","Measured or Known","Wood - bare","Double","Unknown","East","Rectangle / Square",NA,"32","16","No",NA,NA,"512","0.38","1.35"
"SITE_476","1","Fixed","576","Measured or Known","Unknown","Double","Unknown","West","Rectangle / Square",NA,"24","24","No",NA,NA,"576","Unknown","Unknown"
"SITE_476","1","Fixed","576","Measured or Known","Unknown","Double","Unknown","West","Rectangle / Square",NA,"24","24","No",NA,NA,"576","Unknown","Unknown"
"SITE_478","1","Fixed","1272","Measured or Known","Vinyl","Unknown","Unknown","East","Rectangle / Square",NA,"53","24","No",NA,NA,"1272","Unknown","Unknown"
"SITE_48","1","Fixed","Unknown","Unknown","Aluminum","Double","Unknown","NE","Circle",NA,"Unknown","Unknown","No",NA,NA,"Unknown","0.7","Unknown"
"SITE_483","1","Fixed","945","Measured or Known","Vinyl","Double","Unknown","West","Rectangle / Square",NA,"45","21","No",NA,NA,"945","0.38","2.49"
"SITE_483","3","Fixed","1407","Measured or Known","Vinyl","Double","Unknown","West","Rectangle / Square",NA,"21","67","No",NA,NA,"1407","0.38","11.13"
"SITE_489","2","Fixed","1440","Unknown","Vinyl","Double","Unknown","North","Rectangle / Square",NA,"72","20","No",NA,NA,"1440","0.38","7.6"
"SITE_491","2","Fixed","1152","Measured or Known","Vinyl","Double","Unknown","West","Rectangle / Square",NA,"48","24","No",NA,NA,"1152","0.38","6.08"
"SITE_500","1","Fixed","Unknown","Unknown","Vinyl","Unknown","Unknown","NW","Circle",NA,"Unknown","Unknown","No",NA,NA,"Unknown","Unknown","Unknown"
"SITE_500","1","Fixed","Unknown","Unknown","Vinyl","Unknown","Unknown","SE","Circle",NA,"Unknown","Unknown","No",NA,NA,"Unknown","Unknown","Unknown"
"SITE_500","1","Fixed","Unknown","Unknown","Vinyl","Unknown","Unknown","NW","Circle",NA,"Unknown","Unknown","No",NA,NA,"Unknown","Unknown","Unknown"
"SITE_501","1","Open","1152","Estimated","Wood - bare","Unknown","Manual","West","Rectangle / Square",NA,"48","24","No",NA,NA,"1152","Unknown","Unknown"
"SITE_51","1","Fixed","1152","Estimated","Vinyl","Double","Unknown","North","Rectangle / Square",NA,"48","24","No",NA,NA,"1152","0.38","3.04"
"SITE_510","1","Fixed","484","Measured or Known","Aluminum","Double","Unknown","NE","Rectangle / Square",NA,"22","22","No",NA,NA,"484","0.7","2.35"
"SITE_510","1","Fixed","484","Measured or Known","Aluminum","Double","Unknown","SW","Rectangle / Square",NA,"22","22","No",NA,NA,"484","0.7","2.35"
"SITE_518","1","Fixed","288","Measured or Known","Unknown","Unknown","Unknown","West","Rectangle / Square",NA,"16","18","No",NA,NA,"288","Unknown","Unknown"
"SITE_520","2","Fixed","627","Measured or Known","Unknown","Double","Unknown","North","Rectangle / Square",NA,"33","19","No",NA,NA,"627","Unknown","Unknown"
"SITE_520","2","Fixed","320","Measured or Known","Unknown","Double","Unknown","North","Rectangle / Square",NA,"16","20","No",NA,NA,"320","Unknown","Unknown"
"SITE_522","1","Fixed","1764","Measured or Known","Unknown","Unknown","Unknown","North","Rectangle / Square",NA,"28","63","No",NA,NA,"1764","Unknown","Unknown"
"SITE_525","1","Fixed","864","Estimated","Vinyl","Unknown","Unknown","SW","Rectangle / Square",NA,"48","18","No",NA,NA,"864","Unknown","Unknown"
"SITE_533","2","Fixed","1972","Measured or Known","Wood - bare","Double","Unknown","South","Rectangle / Square",NA,"58","34","No",NA,NA,"1972","0.38","10.4"
"SITE_533","1","Fixed","400","Measured or Known","Unknown","Double","Unknown","West","Rectangle / Square",NA,"20","20","No",NA,NA,"400","Unknown","Unknown"
"SITE_534","1","Fixed","Unknown","Unknown","Aluminum","Double","Unknown","West","Rectangle / Square",NA,"Unknown","Unknown","No",NA,NA,"Unknown","0.7","Unknown"
"SITE_538","2","Fixed","736","Measured or Known","Unknown","Double","Unknown","West","Rectangle / Square",NA,"46","16","No",NA,NA,"736","Unknown","Unknown"
"SITE_538","2","Fixed","736","Measured or Known","Unknown","Double","Unknown","North","Rectangle / Square",NA,"46","16","No",NA,NA,"736","Unknown","Unknown"
"SITE_538","1","Fixed","736","Measured or Known","Unknown","Double","Unknown","South","Rectangle / Square",NA,"46","16","No",NA,NA,"736","Unknown","Unknown"
"SITE_54","1","Fixed","64","Unknown","Vinyl","Double","Unknown","Unknown","Circle",NA,"Unknown","Unknown","No",NA,NA,"64","0.38","0.17"
"SITE_540","3","Fixed","1536","Measured or Known","Vinyl","Double","Unknown","East","Rectangle / Square",NA,"48","32","No",NA,NA,"1536","0.38","12.15"
"SITE_558","1","Fixed","2304","Measured or Known","Wood - bare","Single","Unknown","South","Rectangle / Square",NA,"48","48","No",NA,NA,"2304","0.84","13.44"
"SITE_558","1","Fixed","2774","Measured or Known","Wood - bare","Single","Unknown","East","Rectangle / Square",NA,"73","38","No",NA,NA,"2774","0.84","16.18"
"SITE_560","3","Fixed","Unknown","Unknown","Vinyl","Single","Unknown","East","Rectangle / Square",NA,"Unknown","Unknown","No",NA,NA,"Unknown","0.81","Unknown"
"SITE_565","1","Fixed","1972","Measured or Known","Aluminum","Double","Unknown","South","Rectangle / Square",NA,"58","34","No",NA,NA,"1972","0.7","9.59"
"SITE_567","2","Fixed","1152","Measured or Known","Wood aluminum clad","Double","Unknown","South","Rectangle / Square",NA,"48","24","No",NA,NA,"1152","0.7","11.2"
"SITE_567","1","Fixed","576","Estimated","Unknown","Double","Unknown","West","Rectangle / Square",NA,"24","24","No",NA,NA,"576","Unknown","Unknown"
"SITE_567","1","Fixed","Unknown","Unknown","Unknown","Unknown","Unknown","North","Circle",NA,"Unknown","Unknown","No",NA,NA,"Unknown","Unknown","Unknown"
"SITE_567","1","Fixed","Unknown","Unknown","Unknown","Double","Unknown","North","Circle",NA,"Unknown","Unknown","No",NA,NA,"Unknown","Unknown","Unknown"
"SITE_57","1","Fixed","384","Estimated","Unknown","Double","Unknown","East","Rectangle / Square",NA,"24","16","No",NA,NA,"384","Unknown","Unknown"
"SITE_576","6","Fixed","1104","Measured or Known","Aluminum","Double","Unknown","West","Rectangle / Square",NA,"48","23","No",NA,NA,"1104","0.7","32.22"
"SITE_577","1","Fixed","Unknown","Unknown","Other","Unknown","Unknown","Unknown","Circle",NA,"Unknown","Unknown","No",NA,NA,"Unknown","Unknown","Unknown"
"SITE_578","1","Fixed","Unknown","Unknown","Vinyl","Unknown","Unknown","South","Circle",NA,"Unknown","Unknown","No",NA,NA,"Unknown","Unknown","Unknown"
"SITE_579","1","Fixed","860","Measured or Known","Aluminum","Double","Unknown","East","Rectangle / Square",NA,"43","20","No",NA,NA,"860","0.7","4.18"
"SITE_581","1","Fixed","1012","Measured or Known","Aluminum","Double","Unknown","SW","Rectangle / Square",NA,"46","22","No",NA,NA,"1012","0.7","4.92"
"SITE_583","1","Fixed","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Circle",NA,"Unknown","Unknown","No",NA,NA,"Unknown","Unknown","Unknown"
"SITE_587","1","Fixed","Unknown","Unknown","Vinyl","Double","Unknown","South","Rectangle / Square",NA,"Unknown","20","No",NA,NA,"Unknown","0.38","Unknown"
"SITE_594","1","Fixed","580","Measured or Known","Wood aluminum clad","Double","Unknown","East","Rectangle / Square",NA,"29","20","No",NA,NA,"580","0.7","2.82"
"SITE_595","2","Fixed","Unknown","Unknown","Unknown","Double","Unknown","NW","Rectangle / Square",NA,"Unknown","Unknown","No",NA,NA,"Unknown","Unknown","Unknown"
"SITE_595","2","Fixed","Unknown","Unknown","Unknown","Double","Unknown","SW","Rectangle / Square",NA,"Unknown","Unknown","No",NA,NA,"Unknown","Unknown","Unknown"
"SITE_598","2","Fixed","432","Measured or Known","Vinyl","Double","Unknown","South","Rectangle / Square",NA,"24","18","No",NA,NA,"432","0.38","2.28"
"SITE_598","2","Fixed","432","Measured or Known","Vinyl","Double","Unknown","North","Rectangle / Square",NA,"24","18","No",NA,NA,"432","0.38","2.28"
"SITE_598","2","Fixed","432","Measured or Known","Vinyl","Double","Unknown","South","Rectangle / Square",NA,"24","18","No",NA,NA,"432","0.38","2.28"
"SITE_6","1","Fixed","1152","Estimated","Vinyl","Double","Unknown","North","Rectangle / Square",NA,"48","24","No",NA,NA,"1152","0.38","3.04"
"SITE_6","1","Fixed","1152","Estimated","Vinyl","Double","Unknown","South","Rectangle / Square",NA,"48","24","No",NA,NA,"1152","0.38","3.04"
"SITE_60","1","Fixed","576","Estimated","Aluminum","Double","Unknown","South","Rectangle / Square",NA,"24","24","No",NA,NA,"576","0.7","2.8"
"SITE_602","1","Fixed","Unknown","Unknown","Aluminum","Double","Unknown","South","Rectangle / Square",NA,"48","Unknown","No",NA,NA,"Unknown","0.7","Unknown"
"SITE_602","2","Fixed","Unknown","Unknown","Aluminum","Double","Unknown","South","Rectangle / Square",NA,"48","Unknown","No",NA,NA,"Unknown","0.7","Unknown"
"SITE_609","1","Fixed","2288","Measured or Known","Vinyl","Double","Unknown","SE","Rectangle / Square",NA,"52","44","No",NA,NA,"2288","0.38","6.04"
"SITE_613","1","Fixed","Unknown","Unknown","Vinyl","Unknown","Unknown","North","Circle",NA,"Unknown","Unknown","No",NA,NA,"Unknown","Unknown","Unknown"
"SITE_613","2","Fixed","Unknown","Unknown","Aluminum","Unknown","Unknown","North","Circle",NA,"Unknown","Unknown","No",NA,NA,"Unknown","Unknown","Unknown"
"SITE_622","1","Fixed","1008","Measured or Known","Unknown","Unknown","Unknown","South","Rectangle / Square",NA,"21","48","No",NA,NA,"1008","Unknown","Unknown"
"SITE_626","1","Fixed","1392","Measured or Known","Vinyl","Double","Unknown","South","Rectangle / Square",NA,"58","24","No",NA,NA,"1392","0.38","3.67"
"SITE_626","1","Fixed","484","Measured or Known","Vinyl","Double","Unknown","North","Rectangle / Square",NA,"22","22","No",NA,NA,"484","0.38","1.28"
"SITE_630","2","Fixed","1060","Estimated","Aluminum","Unknown","Unknown","Unknown","Rectangle / Square",NA,"53","20","No",NA,NA,"1060","Unknown","Unknown"
"SITE_633","1","Fixed","1440","Estimated","Unknown","Double","Unknown","North","Rectangle / Square",NA,"24","60","No",NA,NA,"1440","Unknown","Unknown"
"SITE_637","1","Fixed","1152","Unknown","Vinyl","Double","Unknown","East","Rectangle / Square",NA,"48","24","Yes","Yes","No","1152","0.38","3.04"
"SITE_637","1","Fixed","1152","Unknown","Vinyl","Double","Unknown","Unknown","Rectangle / Square",NA,"48","24","Yes","Yes","No","1152","0.38","3.04"
"SITE_639","2","Fixed","576","Estimated","Unknown","Double","Unknown","SE","Rectangle / Square",NA,"24","24","No",NA,NA,"576","Unknown","Unknown"
"SITE_639","1","Fixed","1200","Measured or Known","Unknown","Double","Unknown","NW","Rectangle / Square",NA,"50","24","No",NA,NA,"1200","Unknown","Unknown"
"SITE_639","1","Fixed","1200","Estimated","Unknown","Double","Unknown","SE","Rectangle / Square",NA,"24","50","No",NA,NA,"1200","Unknown","Unknown"
"SITE_639","1","Fixed","480","Estimated","Unknown","Double","Unknown","SE","Triangle",NA,"40","24","No",NA,NA,"480","Unknown","Unknown"
"SITE_639","1","Fixed","2400","Estimated","Unknown","Double","Unknown","SE","Rectangle / Square",NA,"40","60","No",NA,NA,"2400","Unknown","Unknown"
"SITE_639","1","Fixed","900","Estimated","Unknown","Double","Unknown","NW","Rectangle / Square",NA,"30","30","No",NA,NA,"900","Unknown","Unknown"
"SITE_639","3","Fixed","400","Estimated","Unknown","Double","Unknown","NW","Rectangle / Square",NA,"20","20","No",NA,NA,"400","Unknown","Unknown"
"SITE_639","4","Fixed","1440","Estimated","Vinyl","Double","Unknown","SE","Rectangle / Square",NA,"24","60","No",NA,NA,"1440","0.38","15.2"
"SITE_639","1","Open","1440","Estimated","Vinyl","Double","Manual","NW","Rectangle / Square",NA,"24","60","No",NA,NA,"1440","0.38","3.8"
"SITE_639","1","Fixed","484","Estimated","Unknown","Double","Unknown","NW","Rectangle / Square",NA,"22","22","No",NA,NA,"484","Unknown","Unknown"
"SITE_639","2","Fixed","1100","Estimated","Unknown","Double","Unknown","SE","Rectangle / Square",NA,"22","50","No",NA,NA,"1100","Unknown","Unknown"
"SITE_639","4","Open","1100","Estimated","Unknown","Double","Manual","SW","Rectangle / Square",NA,"22","50","Yes","Unknown","Unknown","1100","Unknown","Unknown"
"SITE_639","1","Fixed","Unknown","Unknown","Unknown","Double","Unknown","NW","Rectangle / Square",NA,"Unknown","24","No",NA,NA,"Unknown","Unknown","Unknown"
"SITE_64","1","Fixed","2304","Measured or Known","Wood - bare","Single","Unknown","North","Rectangle / Square",NA,"48","48","No",NA,NA,"2304","0.84","13.44"
"SITE_64","1","Fixed","1728","Measured or Known","Wood - bare","Single","Unknown","North","Rectangle / Square",NA,"24","72","No",NA,NA,"1728","0.84","10.08"
"SITE_64","1","Fixed","792","Measured or Known","Wood - bare","Single","Unknown","North","Rectangle / Square",NA,"36","22","No",NA,NA,"792","0.84","4.62"
"SITE_640","1","Fixed","1440","Measured or Known","Aluminum","Double","Unknown","Unknown","Rectangle / Square",NA,"48","30","No",NA,NA,"1440","0.7","7"
"SITE_652","1","Fixed","256","Measured or Known","Wood - bare","Double","Unknown","South","Rectangle / Square",NA,"16","16","No",NA,NA,"256","0.38","0.68"
"SITE_66","1","Fixed","1152","Measured or Known","Vinyl","Double","Unknown","West","Rectangle / Square",NA,"48","24","No",NA,NA,"1152","0.38","3.04"
"SITE_66","1","Fixed","113","Unknown","Vinyl","Single","Unknown","South","Circle",NA,"Unknown","Unknown","No",NA,NA,"113","0.81","0.64"
"SITE_663","2","Fixed","1972","Measured or Known","Vinyl","Double","Unknown","North","Rectangle / Square",NA,"58","34","No",NA,NA,"1972","0.38","10.4"
"SITE_664","1","Fixed","484","Measured or Known","Unknown","Single","Unknown","South","Rectangle / Square",NA,"22","22","No",NA,NA,"484","Unknown","Unknown"
"SITE_664","2","Fixed","Unknown","Unknown","Vinyl","Double","Unknown","Unknown","Circle",NA,"Unknown","Unknown","No",NA,NA,"Unknown","0.38","Unknown"
"SITE_669","2","Fixed","576","Unknown","Unknown","Unknown","Unknown","South","Rectangle / Square",NA,"24","24","No",NA,NA,"576","Unknown","Unknown"
"SITE_67","1","Open","880","Measured or Known","Vinyl","Double","Manual","East","Rectangle / Square",NA,"44","20","No",NA,NA,"880","0.38","2.32"
"SITE_67","1","Open","880","Measured or Known","Vinyl","Double","Manual","West","Rectangle / Square",NA,"44","20","No",NA,NA,"880","0.38","2.32"
"SITE_682","1","Fixed","576","Estimated","Wood - bare","Double","Unknown","South","Rectangle / Square",NA,"24","24","No",NA,NA,"576","0.38","1.52"
"SITE_682","3","Fixed","Unknown","Unknown","Wood - bare","Double","Unknown","South","Rectangle / Square",NA,"Unknown","24","No",NA,NA,"Unknown","0.38","Unknown"
"SITE_688","2","Fixed","528","Measured or Known","Unknown","Double","Unknown","NE","Rectangle / Square",NA,"24","22","No",NA,NA,"528","Unknown","Unknown"
"SITE_688","1","Fixed","528","Measured or Known","Unknown","Double","Unknown","SE","Rectangle / Square",NA,"24","22","No",NA,NA,"528","Unknown","Unknown"
"SITE_688","1","Fixed","836","Measured or Known","Unknown","Double","Unknown","SE","Rectangle / Square",NA,"38","22","No",NA,NA,"836","Unknown","Unknown"
"SITE_688","1","Fixed","528","Measured or Known","Unknown","Double","Unknown","NE","Rectangle / Square",NA,"24","22","No",NA,NA,"528","Unknown","Unknown"
"SITE_688","1","Fixed","768","Measured or Known","Vinyl","Double","Unknown","NW","Rectangle / Square",NA,"24","32","No",NA,NA,"768","0.38","2.03"
"SITE_688","1","Fixed","836","Measured or Known","Unknown","Double","Unknown","SW","Rectangle / Square",NA,"38","22","No",NA,NA,"836","Unknown","Unknown"
"SITE_690","1","Fixed","900","Measured or Known","Unknown","Unknown","Unknown","West","Rectangle / Square",NA,"30","30","No",NA,NA,"900","Unknown","Unknown"
"SITE_691","5","Fixed","920","Estimated","Vinyl","Double","Unknown","South","Rectangle / Square",NA,"46","20","No",NA,NA,"920","0.38","12.15"
"SITE_691","1","Fixed","864","Estimated","Unknown","Unknown","Unknown","East","Rectangle / Square",NA,"48","18","No",NA,NA,"864","Unknown","Unknown"
"SITE_691","1","Fixed","864","Estimated","Unknown","Unknown","Unknown","West","Rectangle / Square",NA,"48","18","No",NA,NA,"864","Unknown","Unknown"
"SITE_694","1","Fixed","2068","Measured or Known","Vinyl","Unknown","Unknown","South","Rectangle / Square",NA,"94","22","No",NA,NA,"2068","Unknown","Unknown"
"SITE_694","1","Fixed","1680","Estimated","Unknown","Unknown","Unknown","SW","Rectangle / Square",NA,"70","24","No",NA,NA,"1680","Unknown","Unknown"
"SITE_7","1","Fixed","960","Measured or Known","Vinyl","Single","Unknown","North","Rectangle / Square",NA,"40","24","No",NA,NA,"960","0.81","5.4"
"SITE_700","1","Fixed","441","Measured or Known","Unknown","Double","Unknown","West","Rectangle / Square",NA,"21","21","No",NA,NA,"441","Unknown","Unknown"
"SITE_71","2","Fixed","Unknown","Unknown","Vinyl","Unknown","Unknown","East","Circle",NA,"Unknown","Unknown","No",NA,NA,"Unknown","Unknown","Unknown"
"SITE_710","1","Fixed","Unknown","Unknown","Vinyl","Double","Unknown","Unknown","Circle",NA,"Unknown","Unknown","No",NA,NA,"Unknown","0.38","Unknown"
"SITE_738","1","Fixed","452","Measured or Known","Vinyl","Double","Unknown","Unknown","Circle",NA,"24","24","No",NA,NA,"452","0.38","1.19"
