"SiteID","RoomID","Room_Type","Room_Type_Other","Area","Area_Is_Estimated","Space_Cooling","Space_Heating","Ceiling_Height","Ceiling_Height_Is_Estimated","Duct_Registers_Present"
"SITE_776","ROOM_35801","Laundry",NA,"70.85","Measured or Known","Directly Cooled","Directly Heated","9","Measured or Known","Yes"
"SITE_776","ROOM_15279","Hallway",NA,"116","Measured or Known","Indirectly Cooled from Adjacent Spaces","Indirectly Heated from Adjacent Spaces (no heater or vent in room)","9","Measured or Known","No"
"SITE_776","ROOM_17436","Bedroom",NA,"123.17","Measured or Known","Directly Cooled","Directly Heated","9","Measured or Known","Yes"
"SITE_776","ROOM_10914","Bathroom",NA,"55.59","Measured or Known","Indirectly Cooled from Adjacent Spaces","Indirectly Heated from Adjacent Spaces (no heater or vent in room)","9","Measured or Known","No"
"SITE_776","ROOM_20463","Bedroom",NA,"139.86","Measured or Known","Directly Cooled","Directly Heated","9","Measured or Known","Yes"
"SITE_776","ROOM_23369","Dining Room",NA,"232.5","Measured or Known","Directly Cooled","Directly Heated","9","Measured or Known","Yes"
"SITE_776","ROOM_31409","Closet",NA,"39","Measured or Known","Indirectly Cooled from Adjacent Spaces","Indirectly Heated from Adjacent Spaces (no heater or vent in room)","9","Measured or Known","No"
"SITE_776","ROOM_40763","Living Room",NA,"507","Measured or Known","Directly Cooled","Directly Heated","9.18","Measured or Known","Yes"
"SITE_776","ROOM_25226","Bedroom",NA,"210.9","Measured or Known","Directly Cooled","Directly Heated","9","Measured or Known","Yes"
"SITE_776","ROOM_20797","Bathroom",NA,"394","Measured or Known","Directly Cooled","Directly Heated","9","Measured or Known","No"
"SITE_776","ROOM_5852","Office",NA,"124.46","Measured or Known","Directly Cooled","Directly Heated","9","Measured or Known","Yes"
"SITE_776","ROOM_41349","Kitchen",NA,"160","Measured or Known","Directly Cooled","Directly Heated","9","Measured or Known","Yes"
"SITE_776","ROOM_15273","Outside",NA,NA,NA,NA,NA,NA,NA,NA
"SITE_777","ROOM_1219","Kitchen",NA,"129.5","Measured or Known","Not Cooled","Directly Heated","7.25","Measured or Known","No"
"SITE_777","ROOM_27344","Dining Room",NA,"120.3125","Measured or Known","Not Cooled","Directly Heated","7.25","Measured or Known","No"
"SITE_777","ROOM_41967","Bedroom",NA,"100.625","Measured or Known","Not Cooled","Directly Heated","7.25","Measured or Known","No"
"SITE_777","ROOM_22859","Bathroom",NA,"54","Measured or Known","Not Cooled","Directly Heated","7.25","Measured or Known","No"
"SITE_777","ROOM_23086","Mechanical",NA,"132.1875","Measured or Known","Not Cooled","Indirectly Heated from Adjacent Spaces (no heater or vent in room)","7.5","Measured or Known","No"
"SITE_777","ROOM_25681","Office",NA,"123.75","Measured or Known","Not Cooled","Directly Heated","7.5","Measured or Known","No"
"SITE_777","ROOM_33401","Living Room",NA,"427.5","Estimated","Not Cooled","Directly Heated","7.5","Measured or Known","No"
