HHID,NWEIGHT,QMAIL,REGIONC,DIVISION,LRGSTATE,CDD65,HDD65,TYPEHUQ,NHSLDMEM,ANSWERHH,HOUSEHLD,HHSEX,ZHHSEX,HHAGE1,ZHHAGE,EMPLOYHH,ZEMPLYHH,ANSWER02,KIN02,ZKIN02,YEAR02,ZYEARS02,ANSWER03,KIN03,ZKIN03,YEAR03,ZYEARS03,ANSWER04,KIN04,ZKIN04,YEAR04,ZYEARS04,ANSWER05,KIN05,ZKIN05,YEAR05,ZYEARS05,ANSWER06,KIN06,ZKIN06,YEAR06,ZYEARS06,ANSWER07,KIN07,ZKIN07,YEAR07,ZYEARS07,ANSWER08,KIN08,ZKIN08,YEAR08,ZYEARS08,ANSWER09,KIN09,YEAR09,ANSWER10,KIN10,YEAR10,ANSWER11,KIN11,YEAR11,ANSWER12,KIN12,YEAR12,DRIVEMON,ZDRIVEMO,DRIVECAR,ZDRIVECA,VEHICLES,ZVEHICLE,GRADHH,ZGRADHH,MARRIED,ZMARRIED,SDESCENT,ZSDESCEN,ORIGIN,ZORIGIN,WAGES,ZWAGES,SELFHIRE,ZSELFHIR,SSECURTY,ZSSECURT,PENSIONS,ZPENSION,FSTAMPS,ZFSTAMPS,AFDC,ZAFDC,UNEMPLOY,ZUNEMPLO,SSI,ZSSI,OTHERAID,ZOTHERAI,MONEYPY,ZMONEYPY,INC45PLU,SPOUSE,SPSEX,SPAGE,EMPLOYSP,NYR0012,NYR1320,NYR2133,NYR3464,NYR6595,FAMILY
1021, 21095,9,4,9,2, 279, 1299,2, 2,1,1,2,0,*,0,0,0,0, 2,0,*,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,9,99,0,9,99,0,9,99,0, 2,0,1,0, 2,0,16,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,1,1,1,*,10,0,0,0,1,1,4
1022, 12615,9,4,8,0, 585, 5752,2, 1,1,1,1,0,*,0,1,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,9,99,0,9,99,0,9,99,0, 1,0,1,0, 1,0,12,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,9,0,0,0, 0,0,0,0,1,0,1
1023, 15062,9,1,2,0, 803, 5731,2, 3,1,1,2,0,*,0,1,0,0, 2,0,*,0,0, 6,0,*,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,9,99,0,9,99,0,9,99,0, 2,0,1,0, 2,0,12,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,9,1,1,*,10,0,0,0,2,1,5
1024, 21904,9,1,2,1,1130, 4867,3, 2,0,1,2,0,*,0,1,0,1, 2,0,*,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,9,99,0,9,99,0,9,99,0, 2,0,1,0, 2,0,18,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,9,1,1,*,11,0,0,0,0,2,4
1025, 14540,9,4,9,0, 141, 8015,4, 2,1,1,1,0,*,0,0,0,0, 2,0,*,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,9,99,0,9,99,0,9,99,0, 2,0,1,0, 2,0,11,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 6,0,9,1,2,*,11,0,0,2,0,0,4
1026,  4554,9,4,9,2, 123, 5930,2, 2,1,1,2,0,*,0,0,0,0, 2,0,*,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,9,99,0,9,99,0,9,99,0, 2,0,1,0, 2,0,13,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,9,1,1,*,10,0,0,0,1,1,4
1027, 16558,9,2,3,0, 885, 6511,5, 3,1,1,2,0,*,0,2,0,0,41,1,*,0,0,41,1,*,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,9,99,0,9,99,0,9,99,0, 3,0,1,0, 1,0,15,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 7,0,9,0,0,0, 0,0,0,3,0,0,3
1028, 22372,9,3,5,4,3581,  175,5, 1,1,1,1,0,*,0,1,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,9,99,0,9,99,0,9,99,0, 1,0,1,0, 1,0,12,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 9,0,9,0,0,0, 0,0,0,0,1,0,1
1029,  6969,9,4,8,0,1864, 2817,2, 4,1,1,2,0,*,0,1,0,0, 2,0,*,0,0, 3,0,*,0,0,21,0,*,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,9,99,0,9,99,0,9,99,0, 1,0,0,0,99,0, 4,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 1,0,9,1,2,*,10,1,1,0,2,0,5
1030, 18522,9,2,3,0, 751, 6581,3, 2,1,1,2,0,*,0,2,0,0, 2,0,*,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,0,0,9,99,0,9,99,0,9,99,0,9,99,0, 1,0,1,0, 1,0,13,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,9,1,1,*,10,0,0,0,0,2,4
