HHID,NWEIGHT,QMAIL,REGIONC,DIVISION,LRGSTATE,CDD65,HDD65,TYPEHUQ,KAVALKER,PERIODKR,ORIGKERQ,SCALEKER,ORIGKRC,ORIGKERS,KAVALEL,PERIODEL,ORIGELQ,SCALEEL,ORIGELC,ORIGELS,BEGINELR,ENDELR,KAVALNG,PERIODNG,ORIGNGQ,SCALENG,ORIGNGC,ORIGNGS,BEGINNGR,ENDNGR,KAVALFO,PERIODFO,ORIGFOQ,SCALEFO,ORIGFOC,ORIGFOS,TYPEFO1,TYPEFO2,KAVALPG,PERIODLP,ORIGLPQ,SCALELP,ORIGLPC,ORIGLPS,TYPELP1,TYPELP2 
3030,  4872,9,3,7,0,2400, 1620,1,9,9,9,9,9,99,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3031,  6969,9,4,8,0,1918, 2612,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3032, 17755,9,4,9,2, 721,  949,2,9,9,9,9,9,99,1,2,5,0,1,21,1,1,1,2,5,0,1,21,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3033, 13292,9,4,8,0, 376, 7091,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3034, 17137,9,3,6,0,1443, 4189,2,9,9,9,9,9,99,3,5,8,0,3,41,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3035,  9348,9,1,1,0, 352, 7673,2,9,9,9,9,9,99,1,2,5,0,1,21,1,1,9,9,9,9,9,99,9,9,1,2,8,0,3,31,2,9,9,9,9,9,9,99,9,9
3036,  4141,9,3,7,0,2151, 2673,2,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3037, 13412,9,3,5,0, 778, 5200,1,9,9,9,9,9,99,3,5,8,0,3,41,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
3038, 13670,9,1,2,1,1286, 4656,5,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,2,5,0,1,21,1,1,3,5,8,0,3,61,9,9,9,9,9,9,9,99,9,9
3039, 12826,9,2,3,0,1141, 5605,1,9,9,9,9,9,99,1,1,1,0,1,11,1,1,1,1,1,0,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,9,9,99,9,9
