HHID,NWEIGHT,QMAIL,REGIONC,DIVISION,LRGSTATE,CDD65,HDD65,TYPEHUQ,DOLLARKR,DOLLAREL,DOLLARNG,DOLLARFO,DOLLARLP,DOLELSPH,DOLNGSPH,DOLFOSPH,DOLLPSPH,DOLKRSPH,DOLELWTH,DOLNGWTH,DOLFOWTH,DOLLPWTH,DOLKRWTH,DOLELAPL,DOLNGAPL,DOLFOAPL,DOLLPAPL,DOLKRAPL,DOLELCOL,DOLNGCOL,DOLELRFG,DOLELFZZ,DOLELCOK,DOLELDWH,DOLELCDR,DOLELLGT
4222,  9394,9,4,8,0,3222, 1334,3,   0,1014,   0,   0,   0, 157,   0,   0,   0,   0,181,  0,  0,   0,  0, 397,  0, 0,  0,0,  86,  0, 193,  0, 19, 22, 72,   99
4223, 16277,9,2,4,0, 385, 8866,2,   0, 541,   0, 496,   0,  28,   0, 496,   0,   0, 79,  0,  0,   0,  0, 344,  0, 0,  0,0,   0,  0,  90, 74, 16,  0, 50,   59
4224,  9417,9,3,7,3,2504, 2851,2,   0, 761, 550,   0,   0,   0, 328,   0,   0,   0,  0,173,  0,   0,  0, 565, 49, 0,  0,0,  98,  0,  98,140,  0,  0, 69,  147
4225, 14955,9,1,2,1, 630, 7025,1, 374, 456,   0,   0, 123,   0,   0,   0,   0, 374,102,  0,  0,   0,  0, 197,  0, 0,123,0,  96,  0,  61,  0,  0,  9, 42,   55
4226,  4425,9,1,2,0, 882, 6137,2,   0, 793,1022,   0,   0,   0, 829,   0,   0,   0,  0,189,  0,   0,  0, 569,  4, 0,  0,0,   0,  0, 224, 67, 61, 48,  0,   55
4227, 17755,9,4,9,2,1364, 1490,2,   0,1281, 551,   0,   0,   0, 247,   0,   0,   0,  0,231,  0,   0,  0,1015, 73, 0,  0,0,   0,  0, 266,  0,  0, 72,  0,  306
4228,  4481,9,2,4,0,1226, 5387,2,   0,1145, 791,   0,   0,  24, 551,   0,   0,   0,  0,240,  0,   0,  0, 667,  0, 0,  0,0, 261,  0, 193, 82, 27, 21, 71,  137
4229, 18285,9,1,2,0, 948, 5821,2,   0, 339, 783,   0,   0,   0, 690,   0,   0,   0,  0, 71,  0,   0,  0, 203, 22, 0,  0,0,   0,  0, 136,  0, 22,  0,  0,   33
4230, 14767,9,2,4,0, 272, 8783,2,   0, 666,   0, 623,   0,   0,   0, 623,   0,   0,161,  0,  0,   0,  0, 458,  0, 0,  0,0,   0,  0,  47, 55, 68,  0, 73,   60
4231,  6091,9,3,5,0,1886, 3193,2,   0,1464, 588,   0,   0,   0, 588,   0,   0,   0,358,  0,  0,   0,  0, 705,  0, 0,  0,0, 313,  0,  88,  0, 86, 68,108,  141
