HHID,NWEIGHT,QMAIL,REGIONC,DIVISION,LRGSTATE,CDD65,HDD65,TYPEHUQ,FUELH2O,ZFUELH2O,WHEATOTH,ZWHEATOT,WHEATSIZ,ZWHEATSI,WHEATAGE,ZWHEATAG,WHEATNEW,ZWHEATNE,WHEATSEL,ZWHEATSE,WHTSAME,ZWHTSAME,WHPRICE,ZWHPRICE,WHAVAIL,ZWHAVAIL,WHEFFICT,ZWHEFFIC,WHREBATE,ZWHREBAT,SHOWERS,ZSHOWERS,UAUXH2OF,ZUAUXH2O,FAUXH2O,ZFAUXH2O,CENACHP,ZCENACHP,COOLMAIN,ZCOOLMAI,COOLUNIT,ZCOOLUNI,AIRCOND,ZAIRCOND,ACHOUSE,ZACHOUSE,ACROOMS,ZACROOMS,USECENAC,ZUSECENA,FUELCOOL,ZFUELCOO,ACOTHERS,ZACOTHER,AGECENAC,ZAGECENA,ACNEW,ZACNEW,ACSELECT,ZACSELEC,ACREPLAC,ZACREPLA,ACWORK,ZACWORK,ACPRICE,ZACPRICE,ACREPUTE,ZACREPUT,ACEFFICT,ZACEFFIC,ACREBATE,ZACREBAT,NUMBERAC,ZNUMBERA,WWHTPUMP,ZWWHTPUM,WWACAGE,ZWWACAGE,USEWWAC,ZUSEWWAC,LGT12,ZLGT12,FLRLGT12,ZFLLGT12,LGT4,ZLGT4,FLRLGT4,ZFLRLGT4,LGT1,ZLGT1,FLRLGT1,ZFLRLGT1,OUTLGTNO,OUTLGTEV,OUTLGTNT,OUTLGTTI,GASLIGHT,OUTLGTHI,OUTLGTLW,OUTLGTDK
1022, 12615,9,4,8,0, 539, 5914,2, 5,0,0,0,3,0,5,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,2,0,0,0,99,0,9,0,9,0,9,0,0,0,9,0,99,0,9,0,99,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,99,0,9,0,9,0,9,0, 0,0,99,0, 3,0, 0,0, 2,0, 0,0,0,0,1,0,0,0,1,0
1023, 15062,9,1,2,0, 964, 5546,2, 5,0,0,0,2,0,1,0,1,0,9,0,1,0,3,0,1,0,2,0,3,0,2,0,0,0,99,0,0,0,0,0,1,0,1,0,2,0, 1,0,9,0,99,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0, 1,0,0,0,4,0,1,0, 1,0, 0,0, 2,0, 0,0, 2,0, 0,0,0,0,1,1,0,0,0,0
1024, 21904,9,1,2,1,1358, 4707,3, 1,0,0,0,3,0,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,2,0,0,0,99,0,0,0,0,0,1,0,1,0,2,0, 3,0,9,0,99,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0, 4,0,0,0,4,0,1,0, 0,0,99,0, 2,0, 0,0, 0,0,99,0,0,0,1,1,0,0,1,0
1025, 14540,9,4,9,0, 144, 7473,4, 5,0,0,0,1,0,6,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,2,0,0,0,99,0,9,0,9,0,9,0,0,0,9,0,99,0,9,0,99,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,99,0,9,0,9,0,9,0, 3,0, 0,0, 2,0, 0,0, 1,0, 0,0,0,0,0,0,0,0,1,0
1026,  4554,9,4,9,2, 126, 5898,2, 5,0,0,0,3,0,2,0,2,0,1,0,9,0,2,0,2,0,1,0,3,0,2,0,0,0,99,0,1,0,1,0,0,0,1,0,1,0,99,0,1,0, 5,0,0,0,2,0,2,0,1,0,9,0,9,0,2,0,2,0,1,0,3,0,99,0,9,0,9,0,9,0, 0,0,99,0, 3,0, 2,0, 1,0, 1,0,1,0,0,0,0,0,0,0
1027, 16558,9,2,3,0, 802, 6657,5, 5,0,0,0,2,1,6,1,9,0,9,0,9,0,9,0,9,0,9,0,9,0,3,0,0,0,99,0,0,0,0,0,1,0,1,0,1,1,99,0,9,0,99,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0, 1,0,0,0,6,0,1,1, 0,0,99,0, 1,0, 0,0, 3,0, 0,0,1,0,0,0,0,0,0,0
1028, 22372,9,3,5,4,3483,  203,5, 5,0,0,0,2,0,6,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,1,0,0,0,99,0,1,0,1,0,0,0,1,0,1,0,99,0,3,0, 5,0,0,0,2,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,99,0,9,0,9,0,9,0, 0,0,99,0, 0,0,99,0, 2,0, 1,0,1,0,0,0,0,0,0,0
1029,  6969,9,4,8,0,1885, 2738,2, 1,0,0,0,0,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,3,0,0,0,99,0,9,0,9,0,9,0,0,0,9,0,99,0,9,0,99,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,99,0,9,0,9,0,9,0, 0,0,99,0, 2,0, 0,0, 0,0,99,0,1,0,0,0,0,0,0,0
1030, 18522,9,2,3,0, 912, 6356,3, 5,0,0,0,2,0,2,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,2,0,0,0,99,0,1,0,1,0,0,0,1,0,2,0, 5,0,2,0, 5,0,0,0,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,99,0,9,0,9,0,9,0, 2,0, 0,0, 4,0, 0,0, 4,0, 0,0,1,0,0,0,0,0,0,0
1031, 14540,9,2,3,0,1083, 5665,1, 5,0,0,0,3,0,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,1,0,0,0,99,0,0,0,0,0,1,0,1,0,1,0,99,0,9,0,99,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0, 1,0,0,0,5,0,2,0, 0,0,99,0, 1,0, 0,0, 4,0, 1,0,0,0,0,0,0,0,1,0
