HHID,NWEIGHT,QMAIL,REGIONC,DIVISION,LRGSTATE,CDD65,HDD65,TYPEHUQ,ADQINSUL,ZADQINSU,HINATTIC,ZHINATTI,WALLINS,ZWALLINS,WATERINS,ZWATERIN,PIPEINS,ZPIPEINS,DUCTS,ZDUCTS,STRIP,ZSTRIP,CAULKADD,ZCAULKAD,SETBACK,ZSETBACK,EQPTUNUP,ZEQPTUNU,TREESHAD,ZTREESHA,KLOWE,ZKLOWE,ULOWE,ZULOWE,KINSTWH,ZKINSTWH,UINSTWH,ZUINSTWH,KGRUNDHP,ZKGRUNDH,UGRUNDHP,ZUGRUNDH,KWATERHP,ZKWATERH,UWATERHP,ZUWATERH,KHTSTORE,ZKHTSTOR,UHTSTORE,ZUHTSTOR,KHPWHTR,ZKHPWHTR,UHPWHTR,ZUHPWHTR,KCOMBO,ZKCOMBO,UCOMBO,ZUCOMBO,KHALOGEN,ZKHALOGE,UHALOGEN,ZUHALOGE,KCFLUOR,ZKCFLUOR,UCFLUOR,ZUCFLUOR,DOOR1SUM,ZDOOR1SU,DOOR1GLS,ZDOOR1GL,WINDOWS,ZWINDOWS,WINDOWGL,ZWINDOWG,STRMPLAC,ZSTRMPLA,WFRAME,ZWFRAME,ORIGWIND,ZORIGWIN,WINDREP,ZWINDREP,WINDAGE,ZWINDAGE,WINDFAN,ZWINDFAN,PORTFAN,ZPORTFAN,ATTICEXH,ZATTICEX,ATTICFAN,ZATTICFA,CFAN,ZCFAN,NUMCFAN,ZNUMCFAN,HBUSNESS,ZHBUSNES,OTHWORK,ZOTHWORK,ATHOME,ZATHOME,DSMPROG,ZDSMPROG,DSMPARTI,ZDSMPART,ELPROG,ZELPROG,NGPROG,ZNGPROG,ENGAUPGM,ZENGAUPG,LDCNTPGM,ZLDCNTPG,LOADAC,ZLOADAC,LOADWH,ZLOADWH,LOADOTH,ZLOADOTH,CONSEPGM,ZCONSEPG,CONCFLOR,ZCONCFLO,CONSHOWR,ZCONSHOW,CONWH,ZCONWH,CONINS,ZCONINS,CONCAULK,ZCONCAUL,CONWIND,ZCONWIND,CONMAINH,ZCONMAIN,CONOTH,ZCONOTH,REBATPGM,ZREBATPG,MONAC,ZMONAC,MONWH,ZMONWH,MONFURN,ZMONFURN,MONFRIG,ZMONFRIG,MONCFLOR,ZMONCFLO,MONOTH,ZMONOTH,MONIMPOR,ZMONIMPO,FUELPGM,ZFUELPGM,TOU,ZTOU
1021, 21095,9,4,9,2, 279, 1299,2,1,0,1,0,1,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,2,0,1,0,20,0,1,0,0,0,1,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,6,0,0,1,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
1022, 12615,9,4,8,0, 585, 5752,2,2,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,1,0,0,0,1,0,0,0,0,0,9,0,0,0,9,0,0,0,9,0,1,0,0,0,0,0,9,0,0,0,9,0,16,0,1,0,1,0,2,0,2,0,1,0,3,0,0,0,1,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
1023, 15062,9,1,2,0, 803, 5731,2,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,1,0,0,0,1,0,0,0,0,0,9,0,13,0,2,0,0,0,2,0,1,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,6,0,6,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
1024, 21904,9,1,2,1,1130, 4867,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,1,0,1,0,1,0,1,0,0,0,9,0,12,0,2,0,1,0,2,0,0,0,9,0,9,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
1025, 14540,9,4,9,0, 141, 8015,4,1,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,1,0,0,0,0,0,9,0,0,0,9,0,17,0,1,0,0,0,2,0,0,1,9,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
1026,  4554,9,4,9,2, 123, 5930,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,3,0,11,0,3,0,0,0,1,0,0,0,9,0,9,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,6,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
1027, 16558,9,2,3,0, 885, 6511,5,2,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,0,0,0,1,0,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,1,0,0,0,0,0,9,0,0,0,9,0, 6,0,1,0,1,0,2,0,0,1,9,0,9,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
1028, 22372,9,3,5,4,3581,  175,5,1,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,1,0,2,0, 3,0,2,0,0,0,1,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,6,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
1029,  6969,9,4,8,0,1864, 2817,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,9,0,1,0,0,0,0,0,9,0,0,0,9,0, 7,0,1,0,0,0,2,0,0,0,9,0,9,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,1,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
1030, 18522,9,2,3,0, 751, 6581,3,2,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,2,0,16,0,2,0,0,0,2,0,1,0,9,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,6,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
