vintage_era,month,total_therms,equipment_count,avg_therms,year
1980-1999,11,3010662.0210425043,53715,56.048813572419334,2029
1980-1999,12,3785206.6234214944,53715,70.46833516562403,2029
2000-2009,1,5649027.691364907,73137,77.23898562102502,2029
2000-2009,2,4143169.9502355643,73137,56.64943804415773,2029
2000-2009,3,3544107.3988454686,73137,48.45847380731324,2029
2000-2009,4,2484124.090722465,73137,33.965353934704254,2029
2000-2009,5,1585182.600626327,73137,21.67415399355083,2029
2000-2009,6,408912.95892570936,73137,5.5910545814800905,2029
2000-2009,7,1219.1032777474209,73137,0.01666876242869438,2029
2000-2009,8,46478.897185374684,73137,0.635504562470086,2029
2000-2009,9,264259.9715220344,73137,3.613218637926554,2029
2000-2009,10,1793025.8191149356,73137,24.515988065068782,2029
2000-2009,11,3640566.0940189543,73137,49.7773506435724,2029
2000-2009,12,4578081.639877584,73137,62.59597248831076,2029
2010-2014,1,1570207.581318882,22504,69.77459924097414,2029
2010-2014,2,1151933.6728312091,22504,51.18795204546788,2029
2010-2014,3,985161.9167249356,22504,43.77719146484783,2029
2010-2014,4,690794.7722868156,22504,30.69653271804193,2029
2010-2014,5,440631.6323925565,22504,19.580147191279618,2029
2010-2014,6,113677.84649757345,22504,5.051450697545923,2029
2010-2014,7,338.9463456187407,22504,0.015061604408937997,2029
2010-2014,8,12922.55593289258,22504,0.5742337332426493,2029
2010-2014,9,73468.58110766199,22504,3.2646898821392636,2029
2010-2014,10,498559.00510891405,22504,22.15423947337869,2029
2010-2014,11,1012486.0606573896,22504,44.99138200574963,2029
2010-2014,12,1273079.7854623199,22504,56.57126668424813,2029
2015+,1,1144091.0194557253,20822,54.946259699151156,2029
2015+,2,839321.8943985917,20822,40.30937923343539,2029
2015+,3,717796.3495175093,20822,34.47297807691429,2029
2015+,4,503349.2490138654,20822,24.17391456218737,2029
2015+,5,321038.4708429866,20822,15.418234119824541,2029
2015+,6,82827.08372363262,20822,3.977863976737711,2029
2015+,7,246.97564895348822,20822,0.011861283688093758,2029
2015+,8,9415.807292273472,20822,0.4522047494128072,2029
2015+,9,53530.20359385985,20822,2.5708483139880824,2029
2015+,10,363249.76941142516,20822,17.44547927247263,2029
2015+,11,737696.6480405856,20822,35.428712325453155,2029
2015+,12,927532.5447827309,20822,44.545795062084856,2029
pre-1980,1,7224315.247014621,76424,94.52940499077019,2029
pre-1980,2,5298017.277431515,76424,69.32399871024174,2029
pre-1980,3,4535511.599764874,76424,59.34669213551861,2029
pre-1980,4,3178395.3516723183,76424,41.58896880132312,2029
pre-1980,5,2027778.567160021,76424,26.533269223804314,2029
pre-1980,6,523158.4986271991,76424,6.845473916926608,2029
pre-1980,7,1559.3133260996497,76424,0.020403450828269255,2029
pre-1980,8,59471.80541293495,76424,0.7781823172424231,2029
pre-1980,9,338075.4231225659,76424,4.42368134516076,2029
pre-1980,10,2293658.8846085533,76424,30.01228520632986,2029
pre-1980,11,4659273.684626147,76424,60.96610599584093,2029
pre-1980,12,5857698.816871379,76424,76.64737277388488,2029
1980-1999,1,4624745.33877229,53715,86.0978374527095,2030
1980-1999,2,3392540.1252380507,53715,63.15815182422136,2030
1980-1999,3,2901579.004146525,53715,54.01803973092293,2030
1980-1999,4,2034059.4400325543,53715,37.867624314112525,2030
1980-1999,5,1297341.7512043058,53715,24.152317810747572,2030
1980-1999,6,334652.6516595858,53715,6.230152688440581,2030
1980-1999,7,998.4814319631441,53715,0.0185885028756054,2030
1980-1999,8,38058.1258479775,53715,0.7085195168570697,2030
1980-1999,9,216304.79915099376,53715,4.026897498854952,2030
1980-1999,10,1467925.8189328809,53715,27.328042798713224,2030
1980-1999,11,2982291.4678437887,53715,55.52064540340294,2030
1980-1999,12,3748613.927229742,53715,69.78709722106939,2030
2000-2009,1,5602361.822055993,73137,76.60092459433656,2030
2000-2009,2,4109716.5491856174,73137,56.19203069835538,2030
2000-2009,3,3514766.956908398,73137,48.057302827685,2030
2000-2009,4,2464087.0374324443,73137,33.691387908069025,2030
2000-2009,5,1571921.4791184983,73137,21.49283507825722,2030
2000-2009,6,405475.8095933086,73137,5.544058542096457,2030
2000-2009,7,1209.3386583868714,73137,0.016535251082036063,2030
2000-2009,8,46105.170609948334,73137,0.6303946102512864,2030
2000-2009,9,262105.80826943376,73137,3.58376482860158,2030
2000-2009,10,1778637.3171841723,73137,24.31925451118001,2030
2000-2009,11,3610905.118836319,73137,49.371797022523744,2030
2000-2009,12,4542080.744158291,73137,62.10373332455927,2030
2010-2014,1,1556999.6211214394,22504,69.1876831283967,2030
2010-2014,2,1142163.6693666144,22504,50.75380685063164,2030
2010-2014,3,976892.9576693809,22504,43.40974749686193,2030
2010-2014,4,684969.0396890952,22504,30.4376572915524,2030
2010-2014,5,436911.4067298796,22504,19.414833217644848,2030
2010-2014,6,112723.31869379958,22504,5.009034780207944,2030
2010-2014,7,336.1132986924169,22504,0.014935713592802031,2030
2010-2014,8,12813.237157626467,22504,0.569375984608357,2030
2010-2014,9,72853.58556115026,22504,3.237361605099105,2030
2010-2014,10,494330.4569578941,22504,21.966337404812215,2030
