"PK_Envelope_ID","CK_SiteID","Ceiling Type","Ceiling Area","Ceiling Area_notes","Ceiling Accessible","Ceiling Insulated","Ceiling Insulation Type 1","Ceiling Insulation Thickness 1","Ceiling Insulation Thickness 1_notes","Ceiling Insulation Condition 1","Ceiling Insulation Condition 1_notes","Ceiling Insulation Type 2","Ceiling Insulation Thickness 2","Ceiling Insulation Thickness 2_notes","Ceiling Insulation Condition 2","Ceiling Insulation Condition 2_notes","Ceiling Insulation Type 3","Ceiling Insulation Thickness 3","Ceiling Insulation Thickness 3_notes","Ceiling Insulation Condition 3","Ceiling Insulation Condition 3_notes","Type of Area Above Ceiling","Ceiling Insulation U-Value","Ceiling Insulation U-Value_notes","Ceiling Insulation R-Value","Ceiling Insulation R-Value_notes","Ceiling U-Value for Heat Loss","Ceiling U-Value for Heat Loss_notes","Ceiling Heat Loss Rate (UA)","Ceiling Heat Loss Rate (UA)_notes","Ceiling Notes"
"Envelope_00008759","SITE_01299","Sloped / Vaulted (no attic)",697.7000,,"No","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",,"Unknown",,"Unknown",0.0760,,53.0100,,"N/A"
"Envelope_00008720","SITE_01300","Attic",1067.0000,,"Yes","Yes","Blown fiberglass",14.0000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",0.0253,,39.5500,,0.0250,,26.9800,,"N/A"
"Envelope_00008772","SITE_01301","Attic",288.0000,,"Yes","Yes","Blown mineral wool",5.5000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",0.0631,,15.8583,,0.0630,,18.1600,,"N/A"
"Envelope_00008773","SITE_01301","Attic",504.0000,,"No","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",,"Unknown",,"Unknown",0.1010,,51.0700,,"N/A"
"Envelope_00008689","SITE_01302","Attic",846.0000,,"No","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",,"Unknown",,"Unknown",0.1010,,85.7300,,"N/A"
"Envelope_00011949","SITE_01303","Attic",1326.0000,,"No","Yes","Fiberglass batts",6.5000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",0.0451,,22.1650,,0.0450,,59.8200,,"N/A"
"Envelope_00008710","SITE_01304","Attic",768.0000,,"Yes","Yes","Blown fiberglass",12.0000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",0.0295,,33.9000,,0.0290,,22.6500,,"N/A"
"Envelope_00008723","SITE_01305","Attic",1283.0000,,"Yes","Yes","Blown fiberglass",12.0000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",0.0295,,33.9000,,0.0290,,37.8500,,"N/A"
"Envelope_00008724","SITE_01305","Sloped / Vaulted (no attic)",592.0000,,"No","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",,"Unknown",,"Unknown",0.0760,,44.9800,,"N/A"
"Envelope_00008711","SITE_01306","Attic",138.0000,,"No","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",,"Unknown",,"Unknown",0.1010,,13.9800,,"N/A"
