"PK_WaterDetail_ID","CK_SiteID","CK_RoomID","Room Name","Room Type","Fixture Type","Rated GPM","Rated GPM_Notes","Measured GPM","Measured GPM_Notes","Primary Shower","Secondary Shower Usage","Notes"
"Water_00003033","SITE_01765","Room_00021619","Kitchen_1","Kitchen","Kitchen Faucet",,"Unknown",2.0000,,"N/A","N/A","N/A"
"Water_00003034","SITE_01765","Room_00021624","Bathroom_1","Bathroom","Bathroom Faucet",,"Unknown",1.5000,,"N/A","N/A","N/A"
"Water_00003035","SITE_01765","Room_00021624","Bathroom_1","Bathroom","Shower / Bathtub combo with diverter valve",,"Unknown",3.5000,,"Primary","Daily / Almost Daily","N/A"
"Water_00003036","SITE_01780","Room_00021719","Bathroom_1","Bathroom","Bathroom Faucet",1.5000,,1.2000,,"N/A","N/A","N/A"
"Water_00003037","SITE_01780","Room_00021719","Bathroom_1","Bathroom","Shower / Bathtub combo with diverter valve",2.0000,,2.0000,,"Primary","Daily / Almost Daily","N/A"
"Water_00003038","SITE_01598","Room_00019770","Bathroom_1","Bathroom","Bathroom Faucet",,"Unknown",2.0000,,"N/A","N/A","N/A"
"Water_00003039","SITE_01598","Room_00019770","Bathroom_1","Bathroom","Shower",,"Unknown",,"Unknown","Secondary","A few times per week","Dual head shower"
"Water_00003040","SITE_01598","Room_00019776","Bathroom_2","Bathroom","Bathroom Faucet",,"Unknown",1.7000,,"N/A","N/A","N/A"
"Water_00003041","SITE_01598","Room_00019776","Bathroom_2","Bathroom","Shower",,"Unknown",,"Unknown","Primary","Daily / Almost Daily","Also dual shower heads"
"Water_00003042","SITE_01598","Room_00019779","Kitchen_1","Kitchen","Kitchen Faucet",,"Unknown",2.1000,,"N/A","N/A","N/A"
"Water_00003043","SITE_01743","Room_00021429","Bathroom_1","Bathroom","Shower / Bathtub combo with diverter valve",2.5000,,2.0000,,"Primary","Daily / Almost Daily","N/A"
"Water_00003044","SITE_01743","Room_00021429","Bathroom_1","Bathroom","Bathroom Faucet",2.2000,,2.5000,,"N/A","N/A","N/A"
"Water_00003045","SITE_01743","Room_00021430","Kitchen_1","Kitchen","Kitchen Faucet",,"Unknown",1.5000,,"N/A","N/A","N/A"
"Water_00003046","SITE_01743","Room_00021433","Bathroom_2","Bathroom","Shower / Bathtub combo with diverter valve",,"Unknown",,"Unknown","Secondary","Never","Used for storage."
"Water_00003047","SITE_01743","Room_00021433","Bathroom_2","Bathroom","Bathroom Faucet",2.2000,,2.0000,,"N/A","N/A","N/A"
"Water_00003048","SITE_00924","Room_00015037","Bathroom_1","Bathroom","Bathroom Faucet",,"Unknown",2.2500,,"N/A","N/A","N/A"
"Water_00003049","SITE_00924","Room_00015037","Bathroom_1","Bathroom","Shower",,"Unknown",3.7500,,"Primary","Daily / Almost Daily","N/A"
"Water_00003050","SITE_00924","Room_00015041","Kitchen_1","Kitchen","Bathroom Faucet",,"Unknown",2.2500,,"N/A","N/A","N/A"
"Water_00003051","SITE_00924","Room_00015043","Bathroom_2","Bathroom","Bathroom Faucet",,"Unknown",2.5000,,"N/A","N/A","N/A"
"Water_00003052","SITE_00924","Room_00015043","Bathroom_2","Bathroom","Shower / Bathtub combo with diverter valve",,"Unknown",1.2500,,"Secondary","A few times per year","Unable get majority of flow through showerhead"
"Water_00003053","SITE_00954","Room_00015115","Bathroom_2","Bathroom","Bathroom Faucet",1.5000,,2.2500,,"N/A","N/A","N/A"
"Water_00003054","SITE_00954","Room_00015115","Bathroom_2","Bathroom","Shower / Bathtub combo with diverter valve",1.6000,,2.2500,,"Primary","A few times per week","N/A"
"Water_00003055","SITE_00954","Room_00015114","Bathroom_1","Bathroom","Shower",,"Unknown",2.7500,,"Secondary","A few times per week","N/A"
"Water_00003056","SITE_00954","Room_00015114","Bathroom_1","Bathroom","Bathroom Faucet",1.5000,,1.7500,,"N/A","N/A","N/A"
"Water_00003057","SITE_00954","Room_00015118","Kitchen_1","Kitchen","Kitchen Faucet",,"Unknown",2.0000,,"N/A","N/A","N/A"
"Water_00003058","SITE_00954","Room_00015120","Laundry_1","Laundry","Kitchen Faucet",,"Unknown",,"Unknown","N/A","N/A","Measured flow greater than 5"
"Water_00003059","SITE_01044","Room_00015421","Kitchen_1","Kitchen","Kitchen Faucet",1.5000,,2.2500,,"N/A","N/A","N/A"
"Water_00003060","SITE_01044","Room_00015428","Bathroom_1","Bathroom","Shower",2.0000,,2.7500,,"Primary","Daily / Almost Daily","N/A"
"Water_00003061","SITE_01044","Room_00015428","Bathroom_1","Bathroom","Bathroom Faucet",1.5000,,2.0000,,"N/A","N/A","N/A"
"Water_00003062","SITE_01044","Room_00015430","Bathroom_2","Bathroom","Bathroom Faucet",1.5000,,2.0000,,"N/A","N/A","N/A"
"Water_00003063","SITE_01044","Room_00015430","Bathroom_2","Bathroom","Shower / Bathtub combo with diverter valve",2.0000,,2.2500,,"Secondary","A few times per year","N/A"
"Water_00003064","SITE_01044","Room_00015432","Laundry_1","Laundry","Kitchen Faucet",1.5000,,2.2500,,"N/A","N/A","N/A"
"Water_00003065","SITE_00953","Room_00015101","Kitchen_1","Kitchen","Kitchen Faucet",2.2000,,1.2500,,"N/A","N/A","N/A"
"Water_00003066","SITE_00953","Room_00015104","Bathroom_1","Bathroom","Bathroom Faucet",1.5000,,2.2500,,"N/A","N/A","N/A"
"Water_00003067","SITE_00953","Room_00015104","Bathroom_1","Bathroom","Shower",2.5000,,,"Unknown","Primary","Daily / Almost Daily","Too much in way to measure."
"Water_00003068","SITE_01033","Room_00015373","Bathroom_1","Bathroom","Bathroom Faucet",,"Unknown",2.2500,,"N/A","N/A","N/A"
"Water_00003069","SITE_01033","Room_00015373","Bathroom_1","Bathroom","Shower / Bathtub combo with diverter valve",,"Unknown",2.7500,,"Secondary","A few times per year","N/A"
"Water_00003070","SITE_01033","Room_00015376","Kitchen_1","Kitchen","Kitchen Faucet",1.7500,,2.2500,,"N/A","N/A","N/A"
"Water_00003071","SITE_01033","Room_00015377","Laundry_1","Laundry","Kitchen Faucet",,"Unknown",3.5000,,"N/A","N/A","N/A"
"Water_00003072","SITE_01033","Room_00015381","Bathroom_2","Bathroom","Bathroom Faucet",,"Unknown",2.5000,,"N/A","N/A","N/A"
"Water_00003073","SITE_01033","Room_00015381","Bathroom_2","Bathroom","Bathroom Faucet",,"Unknown",3.0000,,"N/A","N/A","N/A"
"Water_00003074","SITE_01033","Room_00015381","Bathroom_2","Bathroom","Shower",2.5000,,2.7500,,"Primary","Daily / Almost Daily","N/A"
"Water_00003075","SITE_01033","Room_00015382","Bathroom_3","Bathroom","Bathroom Faucet",,"Unknown",3.0000,,"N/A","N/A","N/A"
"Water_00003076","SITE_01033","Room_00015382","Bathroom_3","Bathroom","Shower",2.0000,,2.7500,,"Secondary","A few times per year","N/A"
"Water_00003077","SITE_01033","Room_00015384","Family Room_1","Family Room","Kitchen Faucet",,"Unknown",2.0000,,"N/A","N/A","N/A"
"Water_00003078","SITE_01892","Room_00022912","Kitchen_1","Kitchen","Kitchen Faucet",2.2000,,2.2000,,"N/A","N/A","N/A"
"Water_00003079","SITE_01892","Room_00022916","Bathroom_1","Bathroom","Bathroom Faucet",2.2000,,2.3000,,"N/A","N/A","N/A"
"Water_00003080","SITE_01892","Room_00022916","Bathroom_1","Bathroom","Shower / Bathtub combo with diverter valve",2.5000,,2.7000,,"Secondary","A few times per week","N/A"
"Water_00003081","SITE_01892","Room_00022919","Bathroom_2","Bathroom","Bathroom Faucet",,"Unknown",1.9000,,"N/A","N/A","N/A"
"Water_00003082","SITE_01892","Room_00022919","Bathroom_2","Bathroom","Bathroom Faucet",,"Unknown",2.0000,,"N/A","N/A","N/A"
"Water_00003083","SITE_01892","Room_00022919","Bathroom_2","Bathroom","Shower",2.5000,,2.8000,,"Primary","Daily / Almost Daily","N/A"
"Water_00003084","SITE_01892","Room_00022919","Bathroom_2","Bathroom","Bathtub",,"N/A",,"N/A","N/A","N/A","N/A"
"Water_00003085","SITE_01897","Room_00022988","Bathroom_1","Bathroom","Bathroom Faucet",1.5000,,1.7000,,"N/A","N/A","N/A"
"Water_00003086","SITE_01897","Room_00022989","Laundry_1","Laundry","Shower",2.0000,,2.1000,,"Secondary","Daily / Almost Daily","N/A"
"Water_00003087","SITE_01897","Room_00022993","Bathroom_2","Bathroom","Bathroom Faucet",2.2000,,2.1000,,"N/A","N/A","N/A"
"Water_00003088","SITE_01897","Room_00022993","Bathroom_2","Bathroom","Shower",2.5000,,2.8000,,"All used about the same","Daily / Almost Daily","N/A"
"Water_00003089","SITE_01897","Room_00022994","Bathroom_3","Bathroom","Bathroom Faucet",2.2000,,2.2000,,"N/A","N/A","N/A"
"Water_00003090","SITE_01897","Room_00022994","Bathroom_3","Bathroom","Bathroom Faucet",2.2000,,2.1000,,"N/A","N/A","N/A"
"Water_00003091","SITE_01897","Room_00022994","Bathroom_3","Bathroom","Shower / Bathtub combo with diverter valve",2.0000,,2.1000,,"All used about the same","Daily / Almost Daily","N/A"
"Water_00003092","SITE_01897","Room_00022984","Kitchen_1","Kitchen","Kitchen Faucet",2.2000,,2.4000,,"N/A","N/A","N/A"
"Water_00003093","SITE_01710","Room_00021129","Bathroom_1","Bathroom","Bathroom Faucet",2.2000,,2.6000,,"N/A","N/A","N/A"
"Water_00003094","SITE_01710","Room_00021129","Bathroom_1","Bathroom","Shower / Bathtub combo with diverter valve",,"Unknown",2.0000,,"Primary","Daily / Almost Daily","N/A"
"Water_00003095","SITE_01710","Room_00021131","Kitchen_1","Kitchen","Kitchen Faucet",2.2000,,2.3000,,"N/A","N/A","N/A"
"Water_00003096","SITE_01711","Room_00021133","Kitchen_1","Kitchen","Kitchen Faucet",,"Unknown",2.2000,,"N/A","N/A","N/A"
"Water_00003097","SITE_01711","Room_00021136","Bathroom_1","Bathroom","Bathroom Faucet",1.0000,,1.1000,,"N/A","N/A","N/A"
"Water_00003098","SITE_01711","Room_00021136","Bathroom_1","Bathroom","Shower / Bathtub combo with diverter valve",2.5000,,2.0000,,"Primary","Daily / Almost Daily","N/A"
"Water_00003099","SITE_01008","Room_00015271","Kitchen_1","Kitchen","Kitchen Faucet",2.0000,,1.5000,,"N/A","N/A","N/A"
"Water_00003100","SITE_01008","Room_00015273","Bathroom_1","Bathroom","Bathroom Faucet",1.5000,,1.2500,,"N/A","N/A","N/A"
"Water_00003101","SITE_01008","Room_00015275","Bathroom_2","Bathroom","Bathroom Faucet",1.5000,,1.2500,,"N/A","N/A","N/A"
"Water_00003102","SITE_01008","Room_00015275","Bathroom_2","Bathroom","Bathroom Faucet",1.5000,,1.7500,,"N/A","N/A","N/A"
"Water_00003103","SITE_01008","Room_00015275","Bathroom_2","Bathroom","Shower / Bathtub combo with diverter valve",2.5000,,2.5000,,"Primary","Daily / Almost Daily","N/A"
"Water_00003104","SITE_01617","Room_00020066","Kitchen_1","Kitchen","Kitchen Faucet",1.0000,,1.1000,,"N/A","N/A","N/A"
"Water_00003105","SITE_01617","Room_00020067","Bathroom_1","Bathroom","Bathroom Faucet",1.0000,,1.0000,,"N/A","N/A","N/A"
"Water_00003106","SITE_01617","Room_00020067","Bathroom_1","Bathroom","Shower / Bathtub combo with diverter valve",2.0000,,2.2000,,"Primary","Daily / Almost Daily","N/A"
"Water_00003107","SITE_01617","Room_00020071","Bathroom_2","Bathroom","Bathroom Faucet",1.0000,,1.0000,,"N/A","N/A","N/A"
"Water_00003108","SITE_01617","Room_00020071","Bathroom_2","Bathroom","Shower / Bathtub combo with diverter valve",2.0000,,2.1000,,"All used about the same","Daily / Almost Daily","N/A"
"Water_00003109","SITE_01617","Room_00020074","Bathroom_3","Bathroom","Bathroom Faucet",1.0000,,1.1000,,"N/A","N/A","N/A"
"Water_00003110","SITE_01617","Room_00020074","Bathroom_3","Bathroom","Shower",2.2000,,2.6000,,"All used about the same","Daily / Almost Daily","N/A"
"Water_00003111","SITE_00989","Room_00015211","Kitchen_1","Kitchen","Kitchen Faucet",2.2000,,3.0000,,"N/A","N/A","N/A"
"Water_00003112","SITE_00989","Room_00015215","Bathroom_1","Bathroom","Bathroom Faucet",,"Unknown",3.2000,,"N/A","N/A","N/A"
"Water_00003113","SITE_00989","Room_00015215","Bathroom_1","Bathroom","Shower",,"Unknown",3.2000,,"Secondary","A few times per month","N/A"
"Water_00003114","SITE_00989","Room_00015221","Bathroom_2","Bathroom","Bathroom Faucet",,"Unknown",2.0000,,"N/A","N/A","N/A"
"Water_00003115","SITE_00989","Room_00015221","Bathroom_2","Bathroom","Shower / Bathtub combo with diverter valve",,"Unknown",3.0000,,"Primary","Daily / Almost Daily","N/A"
"Water_00003116","SITE_01057","Room_00015510","Kitchen_1","Kitchen","Kitchen Faucet",1.5000,,2.0000,,"N/A","N/A","N/A"
"Water_00003117","SITE_01057","Room_00015515","Bathroom_1","Bathroom","Bathroom Faucet",,"Unknown",2.1000,,"N/A","N/A","N/A"
"Water_00003118","SITE_01057","Room_00015515","Bathroom_1","Bathroom","Shower / Bathtub combo with diverter valve",,"Unknown",2.5000,,"Primary","Daily / Almost Daily","N/A"
"Water_00003119","SITE_00955","Room_00015129","Bathroom_1","Bathroom","Bathroom Faucet",,"Unknown",1.0000,,"N/A","N/A","N/A"
"Water_00003120","SITE_00955","Room_00015129","Bathroom_1","Bathroom","Shower",,"Unknown",2.5000,,"Primary","Daily / Almost Daily","N/A"
"Water_00003121","SITE_00955","Room_00015126","Kitchen_1","Kitchen","Kitchen Faucet",,"Unknown",1.5000,,"N/A","N/A","N/A"
"Water_00003122","SITE_01720","Room_00021214","Kitchen_1","Kitchen","Kitchen Faucet",,"Unknown",1.1000,,"N/A","N/A","Two settings 1.1 and 1.4 measured."
