"PK_Envelope_ID","CK_SiteID","Wall Type","Wall Sub-Type","Wall Area","Wall Area_notes","Wall Framing Spacing","Wall Framing Spacing_notes","Wall Framing Size","Wall Framing Material","Wall Thickness","Furred Wall","Furred Wall Insulated","Furred Wall Insulation Type","Furred Wall Insulation Thickness","Furred Wall Insulation Thickness_notes","Furred Wall Insulation Condition","Furred Wall Insulation Condition_notes","Wall Cavity Insulated","Wall Cavity Insulation Type 1","Wall Cavity Insulation Thickness 1","Wall Cavity Insulation Thickness 1_notes","Wall Cavity Insulation Condition 1","Wall Cavity Insulation Condition 1_notes","Wall Cavity Insulation Type 2","Wall Cavity Insulation Thickness 2","Wall Cavity Insulation Thickness 2_notes","Wall Cavity Insulation Condition 2","Wall Cavity Insulation Condition 2_notes","Wall Cavity Insulation Type 3","Wall Cavity Insulation Thickness 3","Wall Cavity Insulation Thickness 3_notes","Wall Cavity Insulation Condition 3","Wall Cavity Insulation Condition 3_notes","Wall Exterior Insulated","Wall Exterior Insulation Type 1","Wall Exterior Insulation Thickness 1","Wall Exterior Insulation Thickness 1_notes","Wall Exterior Insulation Condition 1","Wall Exterior Insulation Condition 1_notes","Wall Exterior Insulation Type 2","Wall Exterior Insulation Thickness 2","Wall Exterior Insulation Thickness 2_notes","Wall Exterior Insulation Condition 2","Wall Exterior Insulation Condition 2_notes","Wall Exterior Insulation Type 3","Wall Exterior Insulation Thickness 3","Wall Exterior Insulation Thickness 3_notes","Wall Exterior Insulation Condition 3","Wall Exterior Insulation Condition 3_notes","Wall Insulation U-Value","Wall Insulation U-Value_notes","Wall Insulation R-Value","Wall Insulation R-Value_notes","Basement Walls - Depth Below Grade","Basement Walls - Depth Below Grade_notes","Basement Walls - Height Above Grade","Basement Walls - Height Above Grade_notes","Basement Walls - Percent Below Grade","Basement Walls - Percent Below Grade_notes","Basement Walls - Additional U-Value from Soil","Basement Walls - Additional U-Value from Soil_notes","Wall U-Value for Heat Loss without Soil","Wall U-Value for Heat Loss without Soil_notes","Wall U-Value for Heat Loss including Soil","Wall U-Value for Heat Loss including Soil_notes","Wall Heat Loss Rate (UA)","Wall Heat Loss Rate (UA)_notes","Wall Notes"
"Envelope_00006497","SITE_01934","Framed 2x4","N/A",1946.0000,,16.0000,,"2x4","Wood","N/A","N/A","N/A","N/A",,"N/A",,"N/A","Yes","Fiberglass batts",3.5000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",0.0838,,11.9350,,,"N/A",,"N/A",,"N/A",,"N/A",0.0838,,0.0838,,163.0500,,"Upstairs and downstairs thats not cement"
"Envelope_00006498","SITE_01934","Masonry (Basement)","Concrete Block",972.0000,,,"N/A","N/A","N/A","Unknown","No","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",1.0000,,0.0000,,0.0000,,0.0000,,,"Unknown",0.2170,,0.4000,,0.2100,,204.0900,,"Basement. Some random patches if insulation, but for the most part uninsulated."
"Envelope_00006499","SITE_01935","Framed 2x6","N/A",1666.0000,,16.0000,,"2x6","Wood","Unknown","N/A","N/A","N/A",,"N/A",,"N/A","Yes","Fiberglass batts",5.5000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",0.0533,,18.7550,,,"N/A",,"N/A",,"N/A",,"N/A",0.0533,,0.0533,,88.8300,,"N/A"
"Envelope_00006500","SITE_01935","Adiabatic","Wall to other living space",731.0000,,16.0000,,"Unknown","Wood","Unknown","N/A","N/A","N/A",,"N/A",,"N/A","Yes","Fiberglass batts",,"Unknown",1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",0.0000,,0.0000,,0.0000,,"Cannot determine depth of shared wall (deeper than my probe can reach). I assume it would be doubled 2x6 studs."
"Envelope_00006501","SITE_01936","Framed 2x6","N/A",1827.0000,,16.0000,,"2x6","Wood","N/A","N/A","N/A","N/A",,"N/A",,"N/A","Yes","Fiberglass batts",5.5000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",0.0533,,18.7550,,,"N/A",,"N/A",,"N/A",,"N/A",0.0533,,0.0533,,97.4100,,"N/A"
"Envelope_00006502","SITE_01937","Framed 2x4","N/A",960.0000,,16.0000,,"2x4","Wood","N/A","N/A","N/A","N/A",,"N/A",,"N/A","Yes","Fiberglass batts",3.5000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",0.0838,,11.9350,,,"N/A",,"N/A",,"N/A",,"N/A",0.0838,,0.0838,,80.4400,,"N/A"
"Envelope_00002141","SITE_01938","Framed (Unknown)","Framed",2279.2000,,,"Unknown","Unknown","Unknown","Unknown","N/A","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",1.0000,,0.0000,,,"N/A",,"N/A",,"N/A",,"N/A",,"Exclude",,"Exclude",,"Exclude","N/A"
"Envelope_00002142","SITE_01938","Masonry (Basement)","Poured Concrete",964.8000,,,"N/A","N/A","N/A","N/A","No","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",1.0000,,0.0000,,0.0000,,0.0000,,,"Unknown",0.2170,,0.4000,,0.2100,,202.5800,,"N/A"
"Envelope_00006394","SITE_01939","Framed 2x6","N/A",1660.0000,,16.0000,,"2x6","Wood","N/A","N/A","N/A","N/A",,"N/A",,"N/A","Yes","Blown fiberglass",5.5000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",0.0644,,15.5375,,,"N/A",,"N/A",,"N/A",,"N/A",0.0644,,0.0644,,106.8400,,"N/A"
"Envelope_00006395","SITE_01939","Adiabatic","Wall to other living space",466.0000,,16.0000,,"2x6","Wood","N/A","N/A","N/A","N/A",,"N/A",,"N/A","Yes","Blown fiberglass",5.5000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",0.0000,,0.0000,,0.0000,,"N/A"
