"PK_WindowDetail_ID","CK_SiteID","CK_RoomID","Type","Sub-Type","Area","Area_Notes","Quantity","Quantity_Notes","Frame / Body Type","Glazing Type","Window Direction","Window Frame Category","Glazing Frame Category","U-Value","U-Value_Notes","Window UA","Window UA_Notes","Notes"
"Window_00006463","SITE_01747","Room_00021461","Window","Slider",16.5278,,1,,"Aluminum","Single","East","Metal","Single",1.2300,,20.2700,,"N/A"
"Window_00006464","SITE_01747","Room_00021461","Window","Slider",19.1667,,1,,"Aluminum","Single","North","Metal","Single",1.2300,,23.5100,,"N/A"
"Window_00006465","SITE_01747","Room_00021461","Window","Sliding glass door",50.4722,,1,,"Aluminum","Single","North","Metal","Single",1.2300,,61.9100,,"Sliding door"
"Window_00006466","SITE_01747","Room_00021462","Window","Slider",15.5833,,1,,"Aluminum","Single","South","Metal","Single",1.2300,,19.1200,,"N/A"
"Window_00006467","SITE_01747","Room_00021462","Window","Slider",3.6736,,1,,"Aluminum","Single","East","Metal","Single",1.2300,,4.5100,,"N/A"
"Window_00006468","SITE_01747","Room_00021463","Window","Slider",15.5833,,1,,"Aluminum","Single","South","Metal","Single",1.2300,,19.1200,,"N/A"
"Window_00006469","SITE_01742","Room_00021418","Door","Single",20.0000,,1,,"Metal","None","N/A","N/A","N/A",1.2300,,24.5300,,"N/A"
"Window_00006470","SITE_01742","Room_00021421","Window","Slider",13.0972,,1,,"Vinyl","Double","SW","Wood, Vinyl, or Fiberglass","Double",0.4400,,5.7800,,"N/A"
"Window_00006471","SITE_01742","Room_00021422","Window","Single-hung",6.3333,,1,,"Vinyl","Double","South","Wood, Vinyl, or Fiberglass","Double",0.4400,,2.8000,,"N/A"
"Window_00006472","SITE_01742","Room_00021422","Window","Fixed (picture)",6.3333,,1,,"Vinyl","Double","South","Wood, Vinyl, or Fiberglass","Double",0.4400,,2.8000,,"N/A"
"Window_00006473","SITE_01742","Room_00021422","Window","Single-hung",17.7083,,2,,"Vinyl","Double","West","Wood, Vinyl, or Fiberglass","Double",0.4400,,15.6300,,"N/A"
"Window_00006474","SITE_01742","Room_00021422","Window","Single-hung",6.8472,,1,,"Vinyl","Double","NW","Wood, Vinyl, or Fiberglass","Double",0.4400,,3.0200,,"N/A"
"Window_00006475","SITE_01742","Room_00021422","Window","Single-hung",6.8472,,1,,"Vinyl","Double","SW","Wood, Vinyl, or Fiberglass","Double",0.4400,,3.0200,,"N/A"
"Window_00006476","SITE_01742","Room_00021423","Window","Single-hung",9.0139,,2,,"Vinyl","Double","East","Wood, Vinyl, or Fiberglass","Double",0.4400,,7.9600,,"N/A"
"Window_00006477","SITE_01891","Room_00022890","Door","Single",18.9583,,1,,"Wood Solid Core","None","N/A","N/A","N/A",0.4000,,7.5800,,"To garage"
"Window_00006478","SITE_01891","Room_00022890","Window","Slider",3.2083,,1,,"Aluminum","Double","South","Metal","Double",0.6600,,2.1000,,"N/A"
"Window_00006479","SITE_01891","Room_00022891","Window","Fixed (picture)",4.8125,,1,,"Wood - bare","Double","North","Wood, Vinyl, or Fiberglass","Double",0.4400,,2.1200,,"N/A"
"Window_00006480","SITE_01891","Room_00022892","Window","Fixed (picture)",4.7917,,1,,"Wood - bare","Double","East","Wood, Vinyl, or Fiberglass","Double",0.4400,,2.1200,,"N/A"
"Window_00006481","SITE_01891","Room_00022892","Door","Single",20.2500,,1,,"Wood Solid Core","None","N/A","N/A","N/A",0.4000,,8.1000,,"N/A"
"Window_00006482","SITE_01891","Room_00022893","Window","Slider",6.7083,,2,,"Aluminum","Double","North","Metal","Double",0.6600,,8.7900,,"N/A"
"Window_00006483","SITE_01891","Room_00022894","Door","Double",39.4444,,2,,"Wood Solid Core","French door","N/A","N/A","N/A",0.4000,,31.5600,,"N/A"
"Window_00006484","SITE_01891","Room_00022894","Window","Slider",16.7639,,1,,"Aluminum","Double","South","Metal","Double",0.6600,,10.9800,,"N/A"
