"PK_Envelope_ID","CK_SiteID","Floor Type","Floor Sub-Type","Floor Area","Floor Area_notes","Floor Perimeter","Floor Perimeter_notes","Type of Area Below","Area Below Heated","Framing Type","Framing Size","Framing Spacing","Framing Spacing_notes","Crawlspace Vents Present","Crawlspace Vents Blocked","Basement Percent Below Grade","Basement Percent Below Grade_notes","Central Heating Equipment in Basement","Ducting in Basement","Slab Heated","Slab Insulated","Slab Insulation Position","Slab Insulation Type 1","Slab Insulation Thickness 1","Slab Insulation Thickness 1_notes","Slab Insulation Condition 1","Slab Insulation Condition 1_notes","Slab Insulation Type 2","Slab Insulation Thickness 2","Slab Insulation Thickness 2_notes","Slab Insulation Condition 2","Slab Insulation Condition 2_notes","Slab Insulation Type 3","Slab Insulation Thickness 3","Slab Insulation Thickness 3_notes","Slab Insulation Condition 3","Slab Insulation Condition 3_notes","Floor Insulated","Floor Insulation Type 1","Floor Insulation Thickness 1","Floor Insulation Thickness 1_notes","Floor Insulation Condition 1","Floor Insulation Condition 1_notes","Floor Insulation Type 2","Floor Insulation Thickness 2","Floor Insulation Thickness 2_notes","Floor Insulation Condition 2","Floor Insulation Condition 2_notes","Floor Insulation Type 3","Floor Insulation Thickness 3","Floor Insulation Thickness 3_notes","Floor Insulation Condition 3","Floor Insulation Condition 3_notes","Crawlspace Walls Insulated","Crawlspace Wall Insulation Type 1","Crawlspace Wall Insulation Condition 1","Crawlspace Wall Insulation Condition 1_notes","Crawlspace Wall Insulation Type 2","Crawlspace Wall Insulation Thickness 2","Crawlspace Wall Insulation Thickness 2_notes","Crawlspace Wall Insulation Condition 2","Crawlspace Wall Insulation Condition 2_notes","Crawlspace Wall Exteriors Insulated","Crawlspace Wall Exterior Insulation Type 1","Crawlspace Wall Exterior Insulation Thickness 1","Crawlspace Wall Exterior Insulation Thickness 1_notes","Crawlspace Wall Exterior Insulation Condition 1","Crawlspace Wall Exterior Insulation Condition 1_notes","Crawlspace Wall Exterior Insulation Type 2","Crawlspace Wall Exterior Insulation Thickness 2","Crawlspace Wall Exterior Insulation Thickness 2_notes","Crawlspace Wall Exterior Insulation Condition 2","Crawlspace Wall Exterior Insulation Condition 2_notes","Floor Insulation U-Value","Floor Insulation U-Value_notes","Floor Insulation R-Value","Floor Insulation R-Value_notes","Floor U-Value for Heat Loss","Floor U-Value for Heat Loss_notes","Slab F-Value for Heat Loss","Slab F-Value for Heat Loss_notes","Floor Heat Loss Rate (UA)","Floor Heat Loss Rate (UA)_notes","Floor Notes"
"Envelope_00004962","SITE_01925","Crawlspace","Unconditioned",1486.1000,,186.7000,,"N/A","N/A","Post and Beam","2x8 or 4x8",16,,"Yes","No",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","Yes","Fiberglass batts",7.5000,,1.0000,,"N/A",,"N/A",1.0000,,"N/A",,"N/A",1.0000,,"No","N/A",1.0000,,"N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",0.0391,,25.5750,,0.0391,,,"N/A",58.1075,,"N/A"
"Envelope_00004943","SITE_01926","Crawlspace","Unconditioned",1396.0000,,154.0000,,"N/A","N/A","Post and Beam","2x6 or 4x6",16,,"Yes","No",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","Yes","Fiberglass batts",5.5000,,1.0000,,"N/A",,"N/A",1.0000,,"N/A",,"N/A",1.0000,,"No","N/A",1.0000,,"N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",0.0533,,18.7550,,0.0533,,,"N/A",74.4335,,"N/A"
"Envelope_00004963","SITE_01927","Crawlspace","Unconditioned",1360.0000,,178.0000,,"N/A","N/A","Unknown","Unknown",,"Unknown","Yes","No",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","Unknown","N/A",,"N/A","N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",,"Unknown",0.1168,,,"N/A",158.8282,,"N/A"
"Envelope_00005260","SITE_01928","Basement","Conditioned",1196.0000,,144.0000,,"N/A","N/A","N/A","N/A",,"N/A","N/A","N/A",0.1000,,"Yes","Uninsulated","No","Unknown","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",1.0000,,0.0000,,0.1040,,,"N/A",124.3840,,"The basement is fully exposed on all but the north side"
"Envelope_00005261","SITE_01928","Crawlspace","Unconditioned",861.0000,,124.0000,,"N/A","N/A","Unknown","Unknown",,"Unknown","Unknown","Unknown",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","Unknown","N/A",,"N/A","N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",,"Unknown",0.1168,,,"N/A",100.5523,,"Can't access"
"Envelope_00005262","SITE_01929","Crawlspace","Unconditioned",2297.0000,,285.5000,,"N/A","N/A","Joist","2x10 or 4x10",24,,"Yes","No",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","Yes","Fiberglass batts",10.0000,,0.9000,,"N/A",,"N/A",0.9000,,"N/A",,"N/A",0.9000,,"No","N/A",0.9000,,"N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",0.1264,,7.9118,,0.1264,,,"N/A",290.3246,,"N/A"
"Envelope_00005263","SITE_01930","Crawlspace","Unconditioned",720.0000,,108.0000,,"N/A","N/A","Joist","2x8 or 4x8",24,,"Yes","No",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","Yes","Fiberglass batts",7.5000,,1.0000,,"N/A",,"N/A",1.0000,,"N/A",,"N/A",1.0000,,"No","N/A",1.0000,,"N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",0.0391,,25.5750,,0.0391,,,"N/A",28.1525,,"N/A"
"Envelope_00005363","SITE_01931","Crawlspace","Unconditioned",2011.0000,,224.0000,,"N/A","N/A","Post and Beam","2x10 or 4x10",,"Unknown","Yes","No",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","Yes","Fiberglass batts",10.0000,,1.0000,,"N/A",,"N/A",1.0000,,"N/A",,"N/A",1.0000,,"No","N/A",1.0000,,"N/A",,"N/A",,"N/A","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",0.0293,,34.1000,,0.0293,,,"N/A",58.9736,,"N/A"
"Envelope_00005364","SITE_01932","Floor over other area","Frame",520.0000,,,"N/A","Garage","No","N/A","N/A",,"N/A","N/A","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",,"Unknown",0.1429,,,"N/A",74.2920,,"N/A"
"Envelope_00005365","SITE_01932","Crawlspace","Unconditioned",451.0000,,85.5000,,"N/A","N/A","Unknown","Unknown",,"Unknown","No","N/A",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","Yes","Unknown",,"Unknown",1.0000,,"N/A",,"N/A",1.0000,,"N/A",,"N/A",1.0000,,"No","N/A",1.0000,,"N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",,"Unknown",0.1168,,,"N/A",52.6702,,"Insulation not visible, covered by foil liner"
