station,ghcnd_id,date,DLY-TAVG-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-HTDD-NORMAL,DLY-CLDD-NORMAL
KAST,GHCND:USW00094224,2010-05-28,54.8,61.8,47.7,10.0,-7777.0
KAST,GHCND:USW00094224,2010-05-29,54.9,61.9,47.9,10.0,-7777.0
KAST,GHCND:USW00094224,2010-05-30,55.0,62.0,48.0,10.0,-7777.0
KAST,GHCND:USW00094224,2010-05-31,55.1,62.1,48.1,10.0,-7777.0
KAST,GHCND:USW00094224,2010-06-01,55.2,62.2,48.3,10.0,-7777.0
KAST,GHCND:USW00094224,2010-06-02,55.4,62.3,48.4,10.0,-7777.0
KAST,GHCND:USW00094224,2010-06-03,55.5,62.4,48.5,10.0,-7777.0
KAST,GHCND:USW00094224,2010-06-04,55.6,62.5,48.7,9.0,-7777.0
KAST,GHCND:USW00094224,2010-06-05,55.7,62.6,48.8,9.0,-7777.0
KAST,GHCND:USW00094224,2010-06-06,55.8,62.7,48.9,9.0,-7777.0
KAST,GHCND:USW00094224,2010-06-07,55.9,62.8,49.0,9.0,-7777.0
KAST,GHCND:USW00094224,2010-06-08,56.0,62.9,49.1,9.0,-7777.0
KAST,GHCND:USW00094224,2010-06-09,56.2,63.1,49.3,9.0,-7777.0
KAST,GHCND:USW00094224,2010-06-10,56.3,63.2,49.4,9.0,-7777.0
KAST,GHCND:USW00094224,2010-06-11,56.4,63.3,49.5,9.0,-7777.0
KAST,GHCND:USW00094224,2010-06-12,56.5,63.4,49.6,9.0,-7777.0
KAST,GHCND:USW00094224,2010-06-13,56.6,63.5,49.7,8.0,-7777.0
KAST,GHCND:USW00094224,2010-06-14,56.7,63.6,49.8,8.0,-7777.0
KAST,GHCND:USW00094224,2010-06-15,56.9,63.8,49.9,8.0,-7777.0
KAST,GHCND:USW00094224,2010-06-16,57.0,63.9,50.1,8.0,-7777.0
KAST,GHCND:USW00094224,2010-06-17,57.1,64.0,50.2,8.0,-7777.0
KAST,GHCND:USW00094224,2010-06-18,57.2,64.2,50.3,8.0,-7777.0
KAST,GHCND:USW00094224,2010-06-19,57.3,64.3,50.4,8.0,-7777.0
KAST,GHCND:USW00094224,2010-06-20,57.5,64.4,50.5,8.0,-7777.0
KAST,GHCND:USW00094224,2010-06-21,57.6,64.6,50.6,7.0,-7777.0
KAST,GHCND:USW00094224,2010-06-22,57.7,64.7,50.7,7.0,-7777.0
KAST,GHCND:USW00094224,2010-06-23,57.8,64.8,50.9,7.0,-7777.0
KAST,GHCND:USW00094224,2010-06-24,58.0,65.0,51.0,7.0,-7777.0
KAST,GHCND:USW00094224,2010-06-25,58.1,65.1,51.1,7.0,-7777.0
KAST,GHCND:USW00094224,2010-06-26,58.2,65.2,51.2,7.0,-7777.0
KAST,GHCND:USW00094224,2010-06-27,58.4,65.4,51.3,7.0,-7777.0
KAST,GHCND:USW00094224,2010-06-28,58.5,65.5,51.4,7.0,-7777.0
KAST,GHCND:USW00094224,2010-06-29,58.6,65.7,51.6,6.0,-7777.0
